"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,7.47443985227194,7.10823255289548,6.66747611835924,6.98656221777045,7.79544775063337,8.05176455669383,8.31233157042605,8.61610641875547,9.19065778541028,7.21416021131579,4.72076693989996,NA,NA,NA,8.66208075416007,8.59125769159542,9.90275724236993,NA,7.93813007558765,7.53206445725955,8.19297176834245,7.246275178625,NA,7.93757695346528,7.71709082803347,NA,NA,NA,8.07224095367674,NA,1.69731089596136,9.04180351727641,NA,3.32496317192226,6.7445961776023,7.77900711717674,5.9369159045657,NA,7.69997126780407,5.81676233939061,2.68989494223128,9.40211065541481
2,6.68504092836794,8.65231634945992,7.85002873026114,9.18028129343014,7.57354599430792,12.1995754142864,1.16716970649831,10.1364292063188,7.27144358123085,9.69528144328567,NA,NA,NA,NA,9.55628561527744,10.9016189373272,8.75166539631738,15.578110214818,7.71679895145735,8.94695016010472,5.07714686590988,6.2389757652849,1.90703245065487,6.9829000853928,9.30205947378368,7.07914656856833,NA,NA,8.17752807474688,NA,12.4627511436899,7.42975332888382,8.97114718698037,NA,8.97372579648964,7.56076922748985,9.47982676292509,9.26260552250543,8.15793451649694,10.3831178582885,9.0030101744465,7.0046980882869
3,7.4132982309038,8.19213552426524,7.86908824706958,6.27065600321227,6.07329588115333,9.65033530105918,9.67253583166818,6.67349860255952,10.2798619752874,7.5897092910371,10.2088081205828,2.85913585593931,7.86809825374738,7.31846464468357,7.91749109541156,10.3364871406244,9.58023354488133,8.45239950090928,6.79618495538647,9.53315930006346,7.15864626738614,6.00032266416244,8.10538940529555,7.50883816316411,6.8737599612634,4.12546328756194,7.32347537158136,3.61920087481237,5.74416387528119,2.85913585593931,8.05136510931377,7.17306884540734,9.29436948793021,8.40570576436915,7.91067629896226,7.21033983053904,9.09861534518171,8.65501729241877,7.97306010927856,10.1948409450195,9.31962703805477,7.57701557807949
4,6.84605343635262,6.15260548373846,8.30427082199611,6.85062584129519,7.40999802976216,6.67898174992779,6.78618105253678,8.26124705441982,7.30737909609532,6.48130693407308,7.63242942740378,6.54627644451281,7.51369875899693,7.28215517255465,8.25786321223543,8.20296396540408,8.25512045556152,7.09028150342516,7.18507734688989,7.25633441983074,6.93420354845863,6.59259027200211,5.87542016944049,7.60382387690241,8.11557819768165,6.25123134300211,7.23312675823498,7.11790215373064,7.26354147205934,5.86617889494754,7.05255878393001,7.51968174437598,1.38892868831493,7.11874463111176,7.22494666945752,7.47288308521374,5.5304126312019,7.74994745884989,6.94218356105645,8.17240158791158,6.11571512519474,6.18030974535376
5,7.61228310255877,5.11730311620528,9.50013553445644,7.51361824534551,7.95974616773677,7.37071661357828,7.45073977808297,9.51372998764565,9.79030244903326,7.18872822517335,8.20431168095073,3.71423804904707,12.7370021737355,9.96934821151015,9.85199011797341,8.96396737157524,8.92909623829982,9.36298685328924,8.84925638972556,11.5247879251562,8.31725059052116,6.68768297119053,8.2572706442508,7.87782049106753,9.11812019731464,4.51666214361851,4.35791317451551,6.82554906787781,8.88070517775686,7.44574535454874,12.4706031463745,9.00773584617482,10.2055452782166,7.92839326571167,7.21048207923408,7.87543222217048,8.34308557749307,6.92716775703897,7.84255041017544,9.05759256759419,8.3848355722114,7.44466891070903
6,7.12063786262795,8.52479339157033,8.12537420779479,7.7092006026724,7.80722306739836,11.495858264684,5.73718253226459,7.88500461061709,6.97140139403063,5.83660411261727,4.40148603976955,NA,NA,5.84053171116709,8.72107794252624,6.49191458434749,11.2982503802112,10.8640428741737,6.89892147533374,9.00618560207176,8.3951310524521,6.64933024060102,14.2339631522862,6.51081496429074,8.69028744993284,NA,9.34937480712188,NA,7.97239572819051,NA,NA,8.38158653668663,9.19248101716421,NA,6.01729977084303,7.61612600641286,8.81759369437843,9.15523439420483,8.21336131493758,10.2829839791633,9.66800327993297,7.73932410309044
7,6.53759647368307,6.12001780771731,6.63184206531883,6.96505162489342,6.94595902443077,11.5619930347784,NA,8.88392883862701,8.89605694577359,8.10577308442467,8.692289140988,9.44270993213785,8.22684621839479,12.1182753036023,8.79655467582296,9.94882061403779,9.30664367043016,7.5521904906444,6.36059813534623,8.68173932067388,7.01007087928751,6.55299829883721,5.85098214713324,6.48786087256226,7.56871123821195,6.03026347287838,6.61612843884132,6.89491409826339,7.79451396460866,6.68027675791209,7.05386625716075,7.58962735716269,8.08382854276445,7.81703804309105,6.67983858034383,7.38570067002987,6.33399517870865,7.92879521642707,7.59510870680867,7.32244052920484,6.90533130201706,6.22225897359031
8,7.75179943722248,7.93256422735227,12.0232978624855,7.10401192676008,8.09594165340395,6.92741273423731,8.23789404139355,8.47563266299154,9.34746121563856,4.77367276005385,9.83078848063594,NA,NA,NA,8.51830006404308,6.71103829107582,10.6364493525248,1.97725372617031,7.47764164129,10.7032058463442,7.20080832522149,7.49678257663953,NA,7.10144512857938,7.42178872322364,NA,NA,NA,6.42550288593275,NA,NA,6.49340670891498,NA,NA,9.72152555910271,7.749663934752,15.4093438328271,NA,8.56217121279352,1.38892868831493,NA,8.76414556732506
9,7.33014811596764,12.3726637748772,8.2343127969096,7.61141854018266,8.26036260823241,9.63067526178471,7.02113788962517,9.66986378741573,12.0424314291886,7.8814798180229,7.26137364694012,14.2085812605276,9.65238408448367,7.19785474885907,8.64675188507877,12.3197142705158,11.9874381950196,8.40963062766521,7.62351466781821,6.86893087982373,7.05984110445129,6.83737328192708,8.91388838737359,5.90930797638534,7.58049854126296,8.2330539640861,8.62725668425061,7.88161476971375,8.07935376632902,10.435701863035,6.8643880159999,7.63203260464165,5.26226383171966,12.6215354921613,5.44439370634383,7.68404599620654,7.6807717182136,12.4920000925804,8.62744301196875,9.99736752222991,8.81404097635966,6.61152945310904
10,7.57887989884403,7.62293072736587,8.5998000617016,7.69920546305675,7.82260075265269,6.63479430139679,6.34043487243072,8.5678111321213,7.15992858636309,7.31113229143501,8.11540278862248,NA,7.34886930321783,5.86827097536941,8.34549582562533,10.9613991300692,6.74286385169297,NA,7.56858256099052,8.72329440013351,5.9877454146353,7.46380770618715,14.7902872747865,NA,7.24425393116371,NA,NA,5.75538344862594,7.94351339931255,10.7480396901571,0,1.95572491292564,NA,NA,4.75788017514953,7.39559782725689,7.92839326571167,NA,8.51817218935623,2.31840839402151,NA,NA
