"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,1735.52202353273,282.123491419573,1057.91535677823,202.233161724983,563.490274394672,74.6205275899749,490.086811570787,889.416527083528,735.215922508177,178.715848303523,716.321860959651,NA,NA,NA,1244.95071143396,490.226326861049,85.8698434259853,NA,1475.59374015707,980.126655598197,73401.9057725207,418.078187398794,NA,92.5258374930603,145.250862865397,NA,NA,NA,92.669064805968,NA,18.9310439926678,305.640440361023,NA,778.488614915709,89.6786749489077,487.763030744463,4452.41186227529,NA,303.911443889574,140.390439043294,167.401094211725,802.306943956365
2,6204.11004203888,261.296947982576,210.601614138567,294.257647311214,199.193250829725,93.308668479595,423.887286080405,159.665614222062,155.309811832365,126.190877834,NA,NA,NA,NA,3918.67173831055,2289.96787391879,3756.86515730484,442.916935156884,898.293923721167,187.732914004686,76.2030130709495,954.90954772634,18.8227671962977,65.4448251420511,136.413831471422,2.41725645289562,NA,NA,70.8690884746729,NA,94.3110178380162,296.638981932027,111.931060983947,NA,170.862882839895,308.695937737272,153.760446170349,147.771452425552,307.225937297052,149.487816358792,295.281683319436,2608.22492630755
3,1343.7005194022,344.018216680002,315.360660245408,154.195458443402,259.588047817702,126.216708334385,922.251283489367,249.467216659331,337.663402619343,312.772466986434,119.66171787307,447.452770521492,51.3855213376881,47.7644521087105,412.803916527532,218.865152295899,367.941230907303,219.146035368483,457.07218014839,190.296445559836,316.788939983149,366.60687489554,112.940287151118,271.608860953531,96.6249917029377,52.9300177700696,96.2404279892561,400.527478816627,182.434485127154,16.8856626695707,51.7562714674958,241.406338009833,238.051314729698,158.773065707096,359.468151685749,304.745758721336,166.209000000697,203.601630527348,256.206947679546,162.293402181689,227.122598278999,311.797408009373
4,110622.917822958,1086.59626987694,3506.72300480547,12510.4909604937,3080.32619896362,639.843436667884,1619.2758088981,3539.28990180849,1858.6231034136,869.860357265943,942.812869924171,302.806371065323,919.877606332003,343.941804531362,3556.88171335989,1071.79820323783,45559.8230059132,2196.07533961032,2769.68699031121,1063.40542177725,2441.21219735949,1567.96313005288,142.711134942291,1356.28709580297,394.333879284364,285.779072542812,560.312734933228,1230.77326075457,1286.88833386394,136.587893134262,773.590808072035,2609.21128582279,37.3453018255938,814.601487154243,210.446979073285,6475.89410068655,2493.28689469603,198.514575306526,2473.08856253835,273.757660429628,106.463155695045,503.87454333076
5,258.684536665347,144.383692162711,119.534767918006,189.079756971883,121.773097389392,93.2722217115272,192.269035778033,368.323802308284,476.122058931135,82.5876502528748,557.666730585861,1229.49548304662,612.484889053205,250.639437519397,276.603257539703,838.332397500457,360.288327938594,560.35616401888,305.373698796428,59.8816444686526,169.529811219275,216.160478545641,163.172431245846,267.722719645312,569.747282677725,30.0384331857334,57.002451694774,75.4161223902681,123.103816152305,3471.10014028448,116.037083316661,396.430980573532,139.702584326861,80.4585136635326,472.915927504836,133.12508948764,59.0245622355287,123.158715091824,242.167991271836,148.244829386143,114.820770408185,116.193337467677
6,38502.7559621145,1026.12438555068,3781.80753493281,165.389569081813,310.536028502841,136.744810715293,877.451597337643,334.613930884883,244.944683346528,975.276338872584,140.098990128343,NA,NA,202.656591016887,740.419105426028,360.468510200773,3016.14972056639,420.376147451077,474.750561498389,143.99178266414,95.7493163727816,337.562233621806,5.74952335045673,160.994931707949,369.442668296458,NA,48.2303578856017,NA,158.845817929123,NA,NA,598.604275200053,570.161335748515,NA,178.408622730744,473.539285378198,466.916086794167,469.586127300281,399.521789009991,172.137860492188,143.943923572459,3562.73544078611
7,1886.37379812573,614.072312435562,1112.27267664935,1016.16076243522,271.982325002767,635.067249204143,NA,1660.70997357989,216.068283245297,207.769284975396,640.611409326651,2712.90886435903,1373.14379014805,212.012382977379,980.828762838474,410.740647163548,771.201183973959,423.852021828287,20717.8523257327,241.574656941561,18457.4106550587,164.190951384963,363.461283463676,2871.29093905209,177.941316501764,103.194650806624,487.624040098037,649.012373919424,1049.42235278525,791.275619959591,556.580977239831,1359.97616136153,189.098758968822,724.458251888366,147.922279897551,2674.6746879683,599.506249000609,473.674251266628,640.440104017954,84.1868914649681,528.825354004872,222.184234718345
8,14502.5424814389,622.779499031098,269.931000500711,192.524060584056,978.644515667673,114.944341792358,94.3856676539222,841.40708690617,325.534031707335,1339.28106119112,371.00187462941,NA,NA,NA,1396.74505010814,80.593610810483,307.345472796008,93.6169394309812,8561.56061699379,2150.29477444694,1123.20362994562,101.727831861714,NA,495.610175798455,82.4957499131625,NA,NA,NA,1021.73664643122,NA,NA,1013.48942491106,NA,NA,14.7528700862422,218.885360659524,37.1959399836489,NA,949.670734175036,74.5086342037379,NA,2165.00324127036
9,224.896861504464,207.35009532762,221.875852485354,197.091722676572,193.202116150081,76.2177424545969,269.509760816362,170.203330245235,369.099136203394,710.573581945442,167.375801080921,211.625401038627,47.8830291798332,138.743573457601,153.338158198988,108.313581802084,85.6982755381879,64.8144796755305,291.249123465599,192.096803845575,171.646111607408,306.889106091633,70.9730109358001,211.870633776105,173.91455896508,170.049908350291,65.6887449887811,254.179259101232,595.89495031893,88.3183865926252,181.40545481039,244.343872500528,169.80262984538,335.868114077258,306.985595804736,122.601128111302,138.462650780863,32.9870765485646,253.832060349768,184.267586969755,126.885471030244,334.77644538981
10,1668.78325586464,1369.85642528469,1954.40038447707,1047.97446967284,500.176414579195,253.778293230644,350.113707476364,361.375608003301,129.610480856572,559.396345203546,146.484887445738,NA,286.709445618048,161.386923426581,711.897190795523,49.9439789643252,8034.02949210175,NA,691.309508686208,460.883457349609,573.856617268961,493.904788485791,76.6542154006397,NA,240.032866888028,NA,NA,11.2106737609815,169.529781766555,18.4305198836336,104.726384113559,73.4206546346476,NA,NA,47.8482987141518,543.528941058027,491.257281889375,NA,250.027675751499,85.1011151586113,NA,NA
