"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,156.955905004093,208.08018317192,219.656905883011,138.03478102959,143.170687679712,155.226211311663,118.781700164233,130.895162003821,167.825836073677,178.399325545638,125.96267217911,NA,51.1000436625705,153.562732550126,154.688023463171,61.4380877807123,64.2569801826944,NA,159.939323582563,184.04680199222,163.001534289946,112.322493832823,33.7286402957843,62.7237361015467,106.301339387653,NA,NA,99.7246053709086,141.244140841398,12.5888469563239,NA,828.726642509958,NA,NA,NA,150.688487924999,NA,NA,113.313513352153,77.4866135811612,NA,NA
2,187.402398766166,254.582705479789,382.966126339071,140.479930591712,157.634781467999,336.100016766716,134.657033090441,151.876306387557,222.169956583613,163.864373061672,120.883721075552,NA,239.535084227004,331.925993931929,176.208000920614,123.668283011336,263.946780897606,166.093221931765,180.626802829089,240.277894783439,175.554001945249,175.065494417657,391.838367147992,157.784207031659,130.326903272827,NA,NA,352.500582494272,135.877079239207,128.204576005362,31.3143559192292,157.763612446196,NA,NA,176.633986986174,225.031341750553,432.270770318903,NA,284.557561554363,329.921106017805,42.9873634486434,168.023941092948
3,675.044072541832,1537.83329425826,706.108370285347,1176.38001815892,441.473430328416,1332.8931754067,300.351739191921,290.433248921037,636.326767492874,1497.06061077903,273.646277640899,1134.0632693229,316.140651620403,338.605036651263,378.182865798251,164.336493464289,6267.18498561744,599.851934193906,531.827008592246,2259.23980458462,885.157457279676,1194.63058498991,1951.83779638343,666.743417403068,381.572325856113,212.711475196991,559.797535486529,188.663002569695,376.99770241148,365.711296281355,1133.49403917099,436.418778028527,446.018918092378,504.536065292233,1191.76096290867,8632.14547372083,344.777839148445,166.367878841134,1199.73183843776,886.813499791721,4356.99528445148,12930.8280918078
4,266.33867965287,528.782552915956,356.155193161564,224.691709470007,285.598958100449,4578.18148116826,222.811197070837,449.318819141109,608.714520352672,581.369250964405,250.116803610961,301.040677898807,544.225313323737,814.86938123513,937.01971211275,405.471656951169,558.161983582721,263.679286612592,473.31324638969,495.006507288272,276.226473030319,380.929182474834,669.47626450104,255.586196364411,170.644097589478,359.252922775901,3083.25723984874,308.730175075089,333.647155038351,5921.85139210967,305.068358947667,270.32442267405,726.990726470204,269.517450126806,274.468288521045,173.142988592847,291.386639590932,256.0629110743,172.826303760929,179.414763910105,207.15505327314,308.983337648109
5,731.996832065314,7258.30091095423,392.453584578375,402.363531435892,375.193410124006,308.210007216821,592.037178253711,461.942703633124,213.133987457263,185.522554714806,950.370559133811,77.3709388291023,278.434500617172,356.68321358738,345.566147335436,232.461991503231,534.410808842648,253.81889378014,359.207934761616,259.249442494793,344.60014677414,1632.29196521728,262.9230943986,853.023797738599,647.318055304575,420.302001993842,74.0559202460774,1793.99019413133,349.746371520203,287.644394246259,1773.8658373846,275.49192130419,225.081988852881,386.196958996705,92.5299694417688,513.712992805879,689.478057516798,48.8567826376596,3089.80708554582,324.116620193151,1154.73120874789,424.270185296203
6,305.316937443915,424.885780197524,591.606429999424,256.610660824938,226.911644910057,282.387117399472,234.265705693049,213.635752828752,197.717546501265,3997.45738436729,NA,NA,NA,82.6398174124268,204.842157262223,155.980210712355,229.321235337444,111.003999308787,238.600040048513,421.286761173739,671.763147584248,215.417179791778,242.179485057872,198.31331955597,169.861792889514,210.784740347625,297.003345895068,47.4749781997263,201.998251147657,NA,14.4905401863337,356.361972103593,183.53084164074,152.981001146411,437.115452087844,349.251395285296,1067.04527431218,257.516763754377,365.115315058826,243.147894125924,1291.78009981173,353.81840828858
7,245.16229457902,472.25039727824,692.016010736911,2913.30379953707,383.425695725547,1036.21000085199,NA,559.766124746217,41571.6227405731,1098.7467587157,39.3598145907846,715.000232202908,310.976055869723,283.616695950092,337.94377533468,415.815388857706,7631.2309899933,489.384597519404,341.291346635821,436.023612710193,327.21133514719,772.723133456862,693.074219096705,263.8203254206,221.669685129115,370.653134458878,1102.17353641188,448.330867141077,330.071330920231,3050.87749405764,411.942275248173,242.815420764971,257.192173227962,468.404205718454,307.104497065538,259.814226935727,486.763106711653,238.167502877763,372.94363928112,308.868067223576,659.596184052387,446.037942558075
8,267.257301483057,545.793728666977,489.265315153794,207.703162478702,239.183836661364,332.160751702565,200.269788960673,209.791442095996,474.569180127738,74600.5561628373,166.431907771633,782.919787605716,227.984960172779,309.676880948397,232.243173932119,204.637884494106,280.217650713199,389.309587376475,212.158101033221,398.941962999916,188.979506184059,199.384218854634,109.831858326446,170.001349630966,246.31268392713,860.727502583786,100.780428245172,205.121206625691,152.345442742845,NA,NA,292.073168907719,109.483614922015,57.3458613925747,250.908775965375,309.405147836014,255.524543696289,99.8693057421915,423.68331805025,302.238587030374,2082.73662375063,269.130329195618
9,263.927602738588,312.305969585925,238.285530466617,214.552533319667,246.530738736542,333.779322117322,241.127714584985,262.011145185933,306.518721545883,361.784488674775,228.027107627331,533.813131929686,374.078917093927,273.696288902093,254.95394653911,227.427739029306,321.21992654578,215.004022177562,294.675425653722,339.131079716015,217.993175069434,240.671042924269,561.018861142879,213.482218467823,162.34478559518,177.47474985227,148.854887553187,197.337921410222,203.612062540072,479.846066691488,186.156347390318,152.574271021904,114.910793560708,213.553850497532,162.069675412077,185.499493474714,152.098752598183,106.523104954175,155.239195172556,152.413952689462,129.550248444742,99.7825804552167
10,1670.8238407509,259.586678513413,238.382387192383,535.550086757465,389.97944152852,379.233652722438,419.038092143072,2092.64173985549,1345.66220716738,477.562701213672,496.331881331575,127.487139143122,925.627092168619,2994.73865431303,453.440039632803,225.571887839144,630.087128396737,168.477365381801,857.222314943159,430.397742341891,3381.38453713032,2019.43001228459,1363.96573072434,722.736154931262,322.762550738753,1954.06664900941,711.44595848792,1408.70103181869,747.275296959851,439.843081452846,81.1502318521199,309.74437591738,404.828736542357,89.8387513321891,577.581987774774,1977.18771876524,8840.89172452555,NA,1285.47101984642,928.912325765867,36500.1387128914,357.823325447145
11,204.257957984703,NA,NA,NA,NA,NA,NA,157.681668415132,NA,369.641897767109,NA,NA,67.7975083191512,NA,255.119585432642,181.646460136561,258.755573557606,173.383770105164,281.6331404512,247.147635006232,161.029064490926,NA,76.8545034687413,NA,NA,NA,NA,NA,NA,NA,217.527915654907,106.199090844568,NA,222.916309965831,135.806200358816,NA,NA,NA,NA,NA,NA,41.0406741142565
12,214.092914856042,246.41240955616,NA,110.128652007555,167.493328332539,167.423513158248,149.732981895225,177.259943029246,197.591776431634,38.0477906275849,133.614569751434,66.14154262277,NA,89.9375910068023,173.106857606432,124.283925725627,NA,NA,196.970222399833,264.918823727795,184.42100732667,214.093252086127,376.45480677169,182.770773285352,168.157255442845,NA,3.73340170721644,159.01584023876,142.332628254304,132.518225860943,10.3016528272795,408.370750246505,NA,NA,NA,205.950096501042,205.70884704956,90.5302250249042,290.709924596452,172.781460505409,84.4782726473838,260.37741880732
13,535.737346299729,602.088160625171,528.408547514684,11175.3186353999,256.464349945889,1265.82680975273,338.312246636671,2680.88497779344,540.648598896756,3959.70852214787,NA,1634.23630970421,801.223706488242,285.175702599828,721.74988477963,155.722594144041,653.222062626425,1839.03292123382,602.98890083067,1098.17837248386,540.737992895614,389.303185409436,2214.68032460756,5805.12350094832,9831.01346918542,2695.35240712531,2245.47360719978,696.791152283777,320.931832176239,436.234698690041,131.585001704189,506.706600798028,392.383814616055,1242.75479504631,612.484249260579,2160.41882632713,598.496993424998,247.340636908648,4351.86624089901,1310.50188566937,564.625507849522,21138.2721012889
14,167.264731464765,NA,507.577406019621,144.990827533997,269.732204951917,NA,220.798463869198,140.978310753372,194.970637260532,264.089649843782,NA,NA,231.746220493307,176.6015228194,193.953553425869,167.946943258427,341.626996062711,198.57287356667,224.391853144774,238.533967261957,175.80432134764,NA,84.8558197918504,NA,42.0717580578476,NA,NA,143.251090659553,85.3461778722511,NA,NA,145.686564636651,NA,111.521629386045,192.439132872681,118.202715289157,NA,248.676221782583,452.817411143498,NA,NA,142.378047233261
15,335.22591505288,297.118603365225,1110.19122140586,262.894475036008,297.319375421883,1082.98351523974,367.432447811347,329.240081007924,837.063355676507,953.303245202483,247.876203610714,969.284302992355,639.542449664452,335.949779565617,402.685035613687,366.494391828902,3311.01103018212,480.675466275121,409.588735818172,1250.61287277046,638.243981083923,571.965657774759,792.34078883872,642.443462056059,287.571513584226,359.949129932899,490.853730665708,336.443129221793,301.215309623819,467.049687972087,526.514196941415,253.781067392871,188.03010144127,382.046197672662,187.389448138451,249.780487785802,313.325566699462,212.995936267899,220.195192561854,391.701360474169,368.447796922029,345.723831149829
16,220.502668667501,301.806115704437,298.069918943152,311.152625461854,267.531157748705,312.041661086001,322.687466255466,277.629677869419,398.653947945518,2567.26115905414,219.85867216612,327.113993456959,334.96350809026,266.726192718622,270.010639832323,239.302643232948,545.950857523288,217.751687279132,381.353055432228,432.159081794142,232.433344386303,206.233025091563,2985.63908721595,233.484703090634,229.859847305679,191.199469025223,376.379837653933,210.858548411074,267.481206803317,279.833626584928,171.42085826358,138.038062900914,92.8330292328083,157.37075495568,202.581491343128,143.562818582159,156.699381087202,107.557773994124,203.879144229973,209.676904173071,170.58385199962,140.847584522899
17,316.770620692614,708.059075785202,564.912726963108,270.395862698329,247.89845499881,421.675689089889,238.472656009338,241.707460976536,339.589316772687,489.153160176532,211.795851752213,565.147129301568,348.489446936395,269.003991991302,304.111140610179,114.68444459428,475.363294000493,1563.71103288472,268.662566797796,426.034649430137,221.530756223509,293.940914733971,2085.42132392344,217.808156162071,339.296885423398,179.22859446969,239.931840207884,24439.6216131848,352.511596523281,334.879587381751,213.118603044594,779.940929555388,85.0221258577068,200.525110331235,575.788244990063,239.877216736235,237.751269187152,151.398630618888,250.343331367614,162.432756283726,338.425421811156,497.556780402756
18,375.264643214528,661.426956412528,436.452475873434,255.917701800215,306.847655048487,755.064784891016,382.054363648914,436.502220870516,1093.07113242136,720.484104652206,373.574461338694,551.59320839711,807.437222208829,484.229178639696,376.987666595988,376.38944365313,718.689167500838,463.449631336026,335.062948615283,831.557959528227,298.452978040897,416.296825522056,787.090305674956,1635.18393929434,358.228692908669,397.87002348774,1991.59366154569,428.006924507947,417.101368516647,1237.27642547617,364.291503906426,275.0137906265,341.712515514775,294.887821614366,343.56276902044,343.450195395841,594.594586929748,259.651304081915,370.166814943074,498.376397263528,436.099537541449,341.830281194241
19,190.449607638764,256.001674707536,207.123602829158,117.792990394921,185.517184695549,499.436384726751,463.718203755486,172.187295060514,4636.89940271416,178.764725450347,295.889264288892,NA,NA,NA,186.016843998163,280.212402136359,706.960382208371,NA,180.434849411986,703.321510195038,365.740133361189,173.263202292179,999.589804301277,23.4600946410009,114.017515623357,NA,NA,NA,148.129505737684,NA,NA,229.735646153667,NA,NA,62.6409835428166,236.68468162857,NA,60.9183806868259,184.596423048745,70.6052282999577,79.4608295287366,162.843844801091
20,574.723580247436,779.48940401474,23881.4162240709,297.452875237953,373.030277978496,505.604106551568,229.652680046252,426.358645985019,1718.08631141854,512.829734258903,474.587280755251,727.892343579113,417.655734796092,232.213400644414,264.876655547867,124.338665398077,623.967136089256,432.008805579364,442.773294426498,566.305783498834,750.855221683722,793.57047596578,76.4647483369718,460.08109279281,307.824345285265,79.9167477536398,1858.91712660717,85.8720053610805,288.982967358252,285.000961466107,218.007732409854,515.315159921754,292.684325398284,731.501650017872,309.395669818792,450.127636079048,4367.66780022084,136.928738517371,324.820727971303,364.428688111192,19567.2749968707,491.277913167737
