"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,117.782232761323,70.5384323302503,86.8649975836823,58.2913737097541,82.4848003946934,63.8440150252824,82.0161632089713,103.572113562788,124.738087719269,62.4987874097839,83.795173894226,NA,NA,NA,101.202384882568,138.112707519099,145.062195786859,NA,91.8715767056976,72.8866532311504,75.3016057535884,158.187714744918,NA,19.8354383458119,108.75391809706,NA,NA,NA,168.369353296667,NA,192.827524614497,164.499286192875,NA,47.9031582361259,177.643791834392,136.579676183335,111.32293728937,NA,143.537703110503,166.576079709123,143.345718923645,653.62145682114
2,114.634640563105,89.6262011176102,121.843155948878,32.6044372790082,83.4837734850619,79.9532899441452,77.5939962696708,141.432930523939,143.800850138097,48.0147441927328,NA,NA,NA,NA,124.636645757228,447.068495323621,108.243133490231,201.666628576526,87.1110807810768,79.4761920923372,108.840294022047,168.434674715487,86.6703140412119,72.4173393170265,180.475489146978,73.9085848096213,NA,NA,105.834878096798,NA,145.711831568243,168.450177183876,186.003974489971,NA,95.4507131485815,150.451924099227,169.703992591304,238.730454450436,271.396502587273,204.701464318746,207.590567437359,155.383614609855
3,169.187898366318,108.643806265846,146.397746576753,70.5059196350005,88.1287839252109,88.7668959683651,87.9201718555321,98.4388492917053,125.529296419877,59.3177444630634,78.356905926569,177.683081939563,67.0142804809681,100.859817700655,123.323997761978,181.659339298002,152.968827133213,113.733737253624,115.925030535532,131.785942430557,118.451471717129,209.627059954892,119.561558195463,76.6388617053043,170.310541937825,159.287018213925,103.426977908779,173.300089829474,310.569862156916,114.971044613856,96.1240359054941,200.57716994396,303.851223115755,178.677180675605,181.067436716463,200.105667741768,187.808383667853,196.869215601592,269.093582650228,311.211739569203,267.60361828683,182.633177962284
4,14.6847372167815,19.1317462491057,23.8463567100884,13.2010354502581,10.185305473451,9.58977287234235,10.3022626586995,10.5102075301274,10.5326659397095,10.1914878622812,7.99976715561768,8.09525347466073,9.80709160528203,8.05094309979948,10.892250284479,12.2244688413595,15.4774304194245,13.7552637211143,11.228196971316,11.7054385287079,13.0645409278466,15.0761638072107,16.590994183355,19.8889574204677,16.3853979431431,16.1468028543723,18.3113550627933,15.4096853760236,15.522042546583,12.3245685721423,19.345651998441,21.6671101895752,61.7781754526374,22.8332207933749,26.6305759596392,20.1890386297131,26.6725883771763,27.9228090214443,28.2003697369259,32.9094696845873,42.4460637861278,32.4480695852993
5,133.852480713241,85.4225015523127,116.323345393772,62.4185395825909,84.8375306563424,58.1531171471455,68.9914493985051,105.839292407399,73.5780303907916,56.5619488942814,60.4930033200499,39.3310127284902,82.6224143054107,75.7740345634708,107.545646430104,55.775904927136,67.119751111332,70.8915858574791,128.521854573861,85.9943695139312,96.710647628194,143.42064124221,106.279526927417,75.5105705598024,141.616796940615,67.0757993812466,71.1682754660602,104.591395646874,137.768155167193,92.6380768080903,104.301300275107,178.755427255833,205.962627422691,171.271954173549,125.048302046474,155.781685815133,112.239941464074,190.255394583293,224.413238195904,166.795781828903,191.213834161341,158.957898806519
6,129.059709618453,100.324644190914,101.141705963243,63.3301103059995,92.4487325178298,65.0018983097412,67.9368275952583,103.336791150973,107.169974205949,71.0526067244146,84.7637663053646,NA,NA,11.3602820581304,110.896573398751,79.0259758869413,96.2318937472178,104.290540589601,89.6487742765948,94.5920416191766,79.0920628349046,156.425232068883,173.575825712056,59.4218594299093,131.480002182003,NA,96.5519630212271,NA,146.718998707219,NA,NA,165.704737643499,275.781161441301,NA,184.740121379875,136.085640411392,135.449357632561,71.8141580579643,195.194075037343,203.647548108585,164.604695625035,121.888264127891
7,17.9552983872575,20.4879048315637,22.7258667209777,10.6045718847008,27.9503322779099,32.0674245435403,NA,15.5431220218121,18.9463493934091,11.4514834242538,13.2052999215055,14.6954596057054,15.2518773860757,28.3815737756228,14.8867991332403,19.3985196992622,19.231337168103,18.7001407735015,18.0814803339833,16.3215169998805,20.2869305721887,18.5573047698739,20.2369941107706,18.7719706162548,23.4676717362381,16.0806406842354,21.4490532368764,18.6114915739921,20.8955084674932,18.6931674708796,20.4313907870433,26.648075257778,36.764735051588,22.1387540883574,23.5003529733653,24.3709640308431,29.0997638166059,36.4356501946634,31.2872468096407,42.25344627799,28.3571497941376,25.0624552939669
8,117.96322371902,79.9863740589009,94.4230345558444,51.501461839668,82.6255057625932,90.2221639136126,61.0172907488096,94.0372017981835,70.7199536201878,69.8166923438266,70.2700962282463,NA,NA,NA,105.459063936581,98.6913098908423,86.1222004449456,79.5705957368706,89.9315898437099,108.489537835195,92.1250244719558,123.384585213643,NA,25.9329794445535,53.6617016043895,NA,NA,NA,120.557634512107,NA,NA,104.050192473394,NA,NA,214.413225974482,130.020107367611,92.4243462243553,NA,168.152533727191,24.6042539561214,NA,106.255554801518
9,134.181000009756,130.06138079501,110.864963665852,68.9101195363798,94.8875502697572,63.900643166433,55.6579811102306,87.3881829986052,101.94522284722,50.7554297681976,60.315868439646,79.8749961223444,73.1215082892877,62.65614097885,121.030971625308,167.83302203138,139.168078855533,86.6557392369083,88.0192944999636,90.8184015378088,87.1653403500047,140.461908734991,85.423866370709,65.1715341727366,138.552845452307,202.401981388427,177.186598618606,134.265801378761,117.112997018405,103.554651764235,118.411240939535,203.697289720814,1305.56874195043,127.646706748343,142.337622941882,171.988414582663,234.068825968704,235.634753475433,232.324528573575,188.185166307784,113.63966359442,166.477251546738
10,113.645254534528,89.3310265448187,158.34566515894,60.0594595063626,69.189210460995,59.5366975797653,55.9645891534303,84.3736098247604,101.945796519731,48.2791187982686,72.3029142206266,NA,54.4778904547888,50.9237890693663,96.7206802923202,87.6265233980587,49.6677058645718,NA,83.9104821784602,94.2352222097887,66.6692988289742,137.579926842263,44.5259147168115,NA,115.020501289921,NA,NA,12.2837263949103,116.145682974276,106.937986628606,67.9312815137526,79.9664546339673,NA,NA,63.9112327616895,135.084394091301,105.673196972435,NA,245.659032256187,53.7325621724792,NA,NA
