"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,2.31243834127275,2.35092571975091,2.35092571975091,2.49177985264491,2.18742176068697,2.14211190823691,2.35092571975091,2.18742176068697,2.0947125472611,2.31243834127275,2.23081417900093,2.18742176068697,2.11182497197034,2.35092571975091,2.0947125472611,2.01893198490369,2.14211190823691,1.99283576493974,2.2724413273866,2.04502820486763,2.14211190823691,2.35092571975091,2.31243834127275,2.45607444624249,2.25162775319376,NA,NA,2.29243983432967,2.14211190823691,2.20911796984395,NA,2.18742176068697,NA,NA,NA,2.20911796984395,2.31243834127275,NA,2.28771654148581,1.9378792776645,2.0947125472611,NA
2,2.2724413273866,2.2724413273866,2.23081417900093,2.45835522547041,2.14211190823691,2.04502820486763,2.2724413273866,2.14211190823691,1.9378792776645,2.31243834127275,2.18742176068697,1.87986358439691,2.26506161526078,2.14211190823691,2.04502820486763,1.87986358439691,2.0947125472611,2.18742176068697,2.23081417900093,1.99283576493974,2.14211190823691,2.14211190823691,2.18742176068697,2.42379204358752,2.18742176068697,NA,2.18742176068697,2.24136193477288,2.0947125472611,2.18742176068697,2.31243834127275,2.04502820486763,2.18742176068697,NA,2.14211190823691,2.14211190823691,2.0947125472611,2.35092571975091,2.0947125472611,1.87986358439691,1.87986358439691,2.18742176068697
3,2.23081417900093,2.23081417900093,2.2724413273866,2.31243834127275,2.0947125472611,1.87986358439691,2.0947125472611,2.04502820486763,1.75322890111027,2.23081417900093,1.9378792776645,1.75322890111027,1.9378792776645,1.99283576493974,1.9378792776645,1.81844645923207,1.87986358439691,2.04502820486763,2.18742176068697,1.81844645923207,2.04502820486763,2.18742176068697,1.99283576493974,2.35092571975091,1.99283576493974,2.04502820486763,2.04502820486763,2.23081417900093,1.9378792776645,1.90887143103071,1.9378792776645,2.0947125472611,1.9378792776645,2.14211190823691,2.14211190823691,2.0947125472611,1.99283576493974,2.04502820486763,1.99283576493974,1.87986358439691,1.99283576493974,2.14211190823691
4,2.38801132228465,2.45835522547041,2.40590168293608,2.52413757020033,2.23081417900093,2.14211190823691,2.36946852101778,2.18742176068697,2.04502820486763,2.35092571975091,2.18742176068697,2.14211190823691,2.14211190823691,2.23081417900093,2.0947125472611,1.99283576493974,1.99283576493974,2.18742176068697,2.2724413273866,2.04502820486763,2.18742176068697,2.35092571975091,2.23081417900093,2.49177985264491,2.18742176068697,2.31243834127275,2.2724413273866,2.31243834127275,2.18742176068697,2.14211190823691,2.23081417900093,2.23081417900093,2.0947125472611,2.23081417900093,2.18742176068697,2.18742176068697,2.2724413273866,2.18742176068697,2.18742176068697,2.18742176068697,2.14211190823691,2.31243834127275
5,2.31243834127275,2.2724413273866,2.44107363452896,2.49177985264491,2.18742176068697,2.14211190823691,2.2724413273866,2.14211190823691,1.9378792776645,2.33168203051183,2.14211190823691,1.96535752130212,1.90887143103071,2.04502820486763,2.04502820486763,2.04502820486763,2.36946852101778,2.2724413273866,2.23081417900093,2.04502820486763,2.16476683446194,2.23081417900093,2.14211190823691,2.38801132228465,2.0947125472611,2.06987037606437,2.14211190823691,2.23081417900093,2.0947125472611,2.18646304361892,2.04502820486763,2.18742176068697,2.16276336313102,2.23081417900093,2.14211190823691,2.18742176068697,2.18742176068697,2.15873476612711,2.14211190823691,1.9378792776645,2.118412227749,2.2724413273866
6,2.23081417900093,2.23081417900093,2.29243983432967,2.42379204358752,2.0947125472611,2.06987037606437,2.20911796984395,2.0947125472611,1.81844645923207,2.23081417900093,2.04502820486763,2.0947125472611,2.18742176068697,2.04502820486763,1.99283576493974,1.9378792776645,1.9378792776645,2.16476683446194,2.18742176068697,1.99283576493974,1.99283576493974,2.18742176068697,1.9378792776645,2.42379204358752,2.04502820486763,2.04377415610042,2.18742176068697,2.23441012422757,2.0947125472611,2.0947125472611,2.09012876281336,2.14211190823691,2.01893198490369,2.29243983432967,2.14211190823691,2.14211190823691,2.04502820486763,2.04502820486763,2.04502820486763,1.9378792776645,2.04502820486763,2.18742176068697
7,2.38801132228465,2.45835522547041,2.38801132228465,2.49124639783537,2.18742176068697,1.99283576493974,2.35092571975091,2.118412227749,1.81844645923207,2.2724413273866,2.09012876281336,1.87986358439691,1.99283576493974,1.78583768017117,1.99283576493974,1.81844645923207,1.87986358439691,2.0947125472611,2.25162775319376,1.87986358439691,2.14211190823691,2.31243834127275,2.14211190823691,2.45835522547041,2.14211190823691,2.14211190823691,2.23081417900093,2.2724413273866,2.14211190823691,2.04502820486763,2.14211190823691,2.18742176068697,2.04502820486763,2.18742176068697,2.18742176068697,2.18742176068697,2.14211190823691,2.18742176068697,2.0947125472611,1.9378792776645,2.0947125472611,2.23081417900093
8,2.2724413273866,2.35092571975091,2.35092571975091,2.47506753905766,2.14211190823691,2.04377415610042,2.23081417900093,2.04502820486763,1.9378792776645,2.2724413273866,2.18742176068697,2.14211190823691,1.9378792776645,2.0947125472611,2.04502820486763,1.87986358439691,1.9378792776645,2.0947125472611,2.23081417900093,1.9378792776645,2.04377415610042,2.18742176068697,2.0162959124628,2.42379204358752,2.14211190823691,1.96244589463227,2.30560690213725,2.23081417900093,2.0947125472611,2.14211190823691,NA,2.14211190823691,1.87986358439691,2.31243834127275,2.24993005097986,2.14211190823691,2.06987037606437,1.99283576493974,2.0947125472611,1.9378792776645,1.99283576493974,2.18742176068697
9,2.38801132228465,2.49177985264491,2.42379204358752,2.58590725287313,2.2724413273866,2.23081417900093,2.38801132228465,2.23081417900093,2.0947125472611,2.45835522547041,2.2724413273866,2.23081417900093,2.23081417900093,2.2724413273866,2.0947125472611,2.0947125472611,2.0947125472611,2.23081417900093,2.35092571975091,2.14211190823691,2.2724413273866,2.42379204358752,2.2724413273866,2.42379204358752,2.23081417900093,2.29243983432967,2.25162775319376,2.38801132228465,2.18742176068697,2.20911796984395,2.2724413273866,2.2724413273866,2.1162249827773,2.31243834127275,2.2724413273866,2.31243834127275,2.2724413273866,2.31243834127275,2.20911796984395,2.16476683446194,2.25162775319376,2.2724413273866
10,2.23081417900093,2.3502248317787,2.2724413273866,2.52413757020033,2.0947125472611,1.99283576493974,2.2724413273866,2.04502820486763,1.87986358439691,2.23081417900093,2.04502820486763,1.87986358439691,1.87986358439691,1.99283576493974,1.9378792776645,1.78583768017117,1.75322890111027,2.16476683446194,2.18742176068697,1.9378792776645,2.14211190823691,2.14211190823691,2.14211190823691,2.42379204358752,2.04502820486763,2.118412227749,2.18646304361892,2.31243834127275,2.04502820486763,1.99283576493974,2.14211190823691,2.0947125472611,2.04502820486763,2.09357005655227,2.23081417900093,2.0947125472611,1.9378792776645,2.14211190823691,2.04502820486763,1.9378792776645,1.96535752130212,2.23081417900093
11,2.38801132228465,NA,2.35092571975091,2.67201622142785,2.35092571975091,NA,2.45835522547041,2.18742176068697,NA,2.47396480689392,2.49177985264491,NA,2.118412227749,2.14211190823691,2.18742176068697,2.14211190823691,2.14211190823691,2.2724413273866,2.35092571975091,2.14211190823691,2.2724413273866,NA,2.31243834127275,NA,NA,NA,NA,NA,NA,NA,2.18646304361892,2.29243983432967,NA,2.2724413273866,2.35092571975091,2.35092571975091,2.2724413273866,2.31243834127275,2.18742176068697,NA,NA,2.29086994937592
12,2.2724413273866,2.42379204358752,2.45835522547041,2.58590725287313,2.18742176068697,2.18742176068697,2.35092571975091,2.14211190823691,2.04502820486763,2.31243834127275,2.118412227749,2.0947125472611,2.31243834127275,2.22993154403679,2.04502820486763,1.96535752130212,2.38801132228465,2.14211190823691,2.2724413273866,2.06987037606437,2.23081417900093,2.18742176068697,2.23081417900093,2.68485830516122,2.14211190823691,2.2724413273866,2.23441012422757,2.33168203051183,2.0947125472611,2.14211190823691,2.42379204358752,2.31243834127275,NA,NA,2.31243834127275,2.14211190823691,2.0947125472611,2.2724413273866,2.04502820486763,2.0947125472611,2.19797696230927,2.34458470223567
13,2.18742176068697,2.18742176068697,2.18742176068697,2.20911796984395,2.0947125472611,1.78583768017117,2.01893198490369,2.01893198490369,1.68374314399774,2.0947125472611,NA,1.75322890111027,1.87986358439691,1.81844645923207,1.9378792776645,1.68374314399774,1.81844645923207,1.99283576493974,2.18742176068697,1.75322890111027,1.99283576493974,2.14211190823691,1.99283576493974,2.31243834127275,2.01893198490369,1.99283576493974,2.0947125472611,2.0947125472611,2.14211190823691,1.75322890111027,2.01893198490369,2.0947125472611,1.87986358439691,2.06987037606437,2.0947125472611,2.0947125472611,1.9378792776645,1.99283576493974,1.9378792776645,1.75322890111027,1.87986358439691,2.0947125472611
14,2.2724413273866,NA,2.49177985264491,2.52413757020033,2.42379204358752,2.42379204358752,2.38801132228465,2.44107363452896,2.14211190823691,2.49177985264491,NA,NA,2.2724413273866,2.38801132228465,2.23081417900093,2.16476683446194,2.14211190823691,2.2724413273866,2.35092571975091,2.18742176068697,2.2724413273866,2.35092571975091,2.31243834127275,NA,2.14440249870771,2.2724413273866,2.49177985264491,2.42379204358752,2.28771654148581,NA,1.9378792776645,2.2724413273866,2.31243834127275,2.23081417900093,2.31243834127275,2.27162626013684,NA,2.33168203051183,2.14211190823691,NA,2.14211190823691,2.33022632483562
15,2.2724413273866,2.38801132228465,2.38801132228465,2.45835522547041,2.23081417900093,2.0947125472611,2.23081417900093,2.18742176068697,1.99283576493974,2.2724413273866,2.18742176068697,2.0947125472611,2.0947125472611,2.18742176068697,2.04502820486763,1.9378792776645,1.87986358439691,2.04502820486763,2.2724413273866,1.9378792776645,2.0947125472611,2.31243834127275,2.18742176068697,2.49177985264491,2.18742176068697,2.18742176068697,2.2724413273866,2.31243834127275,2.14211190823691,2.14211190823691,2.18742176068697,2.20911796984395,1.87986358439691,2.18742176068697,2.16476683446194,2.18742176068697,2.14211190823691,2.18742176068697,2.0947125472611,1.99283576493974,2.0947125472611,2.23081417900093
16,2.31243834127275,2.45835522547041,2.45835522547041,2.64412076105863,2.2724413273866,2.18742176068697,2.38801132228465,2.18742176068697,2.0947125472611,2.45835522547041,2.2724413273866,2.14211190823691,2.18742176068697,2.31243834127275,2.0947125472611,2.04502820486763,2.04502820486763,2.18742176068697,2.35092571975091,2.0947125472611,2.18742176068697,2.29243983432967,2.2724413273866,2.42379204358752,2.23081417900093,2.2724413273866,2.2724413273866,2.35092571975091,2.23081417900093,2.18742176068697,2.23081417900093,2.14211190823691,2.14211190823691,2.18742176068697,2.18742176068697,2.23081417900093,2.118412227749,2.18742176068697,2.14211190823691,2.04502820486763,1.99283576493974,2.29243983432967
17,2.2724413273866,2.35092571975091,2.31243834127275,2.42379204358752,2.14211190823691,2.04502820486763,2.23081417900093,2.0947125472611,1.87986358439691,2.31243834127275,2.04502820486763,1.9378792776645,2.04502820486763,2.04502820486763,1.99283576493974,1.87986358439691,1.99283576493974,1.99283576493974,2.23081417900093,1.9378792776645,2.0947125472611,2.23081417900093,2.18742176068697,2.45835522547041,2.04502820486763,2.16476683446194,2.16476683446194,2.31243834127275,2.0947125472611,1.99283576493974,2.0947125472611,2.16476683446194,1.87986358439691,2.18742176068697,2.23081417900093,2.118412227749,2.0947125472611,2.23081417900093,2.0947125472611,1.99283576493974,2.14211190823691,2.2724413273866
18,2.35092571975091,2.40590168293608,2.38801132228465,2.44107363452896,2.23081417900093,2.14211190823691,2.25162775319376,2.14211190823691,1.99283576493974,2.31243834127275,2.18742176068697,2.04502820486763,2.0947125472611,2.18742176068697,2.04502820486763,1.9378792776645,1.9378792776645,2.04502820486763,2.2724413273866,1.99283576493974,2.0947125472611,2.35092571975091,2.14211190823691,2.45835522547041,2.18742176068697,2.18742176068697,2.23081417900093,2.2724413273866,2.14211190823691,2.0947125472611,2.14211190823691,2.18742176068697,2.04502820486763,2.23081417900093,2.18742176068697,2.23081417900093,2.14211190823691,2.18742176068697,2.0947125472611,1.99283576493974,2.14211190823691,2.23081417900093
19,2.31243834127275,2.42379204358752,2.38801132228465,2.58590725287313,2.18742176068697,2.04502820486763,2.33168203051183,2.18742176068697,2.0947125472611,2.2724413273866,2.14211190823691,NA,NA,NA,2.04502820486763,1.99145374126607,2.18646304361892,NA,2.2724413273866,2.04502820486763,2.22993154403679,2.23081417900093,2.0947125472611,2.41828795573654,2.20911796984395,NA,NA,NA,2.0947125472611,NA,1.9378792776645,2.23081417900093,NA,2.42379204358752,2.38801132228465,2.18742176068697,2.18742176068697,2.19797696230927,2.2724413273866,2.14211190823691,2.14211190823691,2.35092571975091
