"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,12.3459511028752,11.7432273343458,11.1895895401995,11.8291426070626,11.885519550272,12.5851218975014,11.5588085506267,12.4077471827478,11.2992172605958,11.5167808094941,NA,NA,NA,NA,11.8703677145037,12.2000148600084,11.9235187349283,12.6092417865998,12.3662440216977,11.8300423858242,11.2379624862235,12.3883908690026,NA,NA,12.6484326873494,NA,NA,12.0777687088087,11.8819865826158,NA,NA,11.8758754794561,11.4839276367413,9.64378375011269,10.6307462633086,11.4718617746858,12.5724642296642,NA,11.5015926772749,NA,10.9960751404119,12.1325854037894
2,12.3617865840465,12.2582304661298,11.726303084494,11.5986408701947,12.2833058718642,10.2496407082635,11.3550217514508,12.5073209127695,12.1385315428613,11.497933647254,12.6372055003975,12.5650231983182,12.9466528793304,11.8071992361377,12.3127003579751,11.7180876969027,11.6946530450212,11.6984817843431,12.3715786094135,10.7986772149195,12.2870056303039,12.37135654898,11.81292931166,11.2910361269576,12.3486913729903,11.2264160382116,11.2700286167423,12.3662218695105,12.1425848623618,12.619443122218,12.0428263928081,12.211364618334,8.78287504710046,NA,12.429763247201,11.8180067366115,11.769178355211,10.3298135523773,12.1586355497824,12.0708198004139,12.1466720519359,12.4226651857677
3,12.3722622238068,12.3083060769729,11.9799722270289,12.6112130566602,12.4522324783626,12.1422570630379,12.5373743953483,12.447245865735,12.1533897773223,11.8734551154451,12.3602141824769,11.5903921530413,11.2927969455468,12.4399440956672,12.3414004237067,11.5660709297805,12.1159225296974,12.4566725964258,12.5146831818879,12.2335418875434,12.5321139454585,12.3883908690026,11.7675180697701,11.8769179098299,12.3515417493131,11.7644869738958,11.3777920382144,12.5100143114476,12.1247084166209,12.3738556952209,11.8938574144879,12.352618481716,11.7061558450385,11.6387964945224,11.6731293128531,12.3651306930971,11.8181635253199,11.3320748259898,12.3698854997726,11.7155875584465,11.761268817367,12.4095365473838
4,12.4642208554382,11.8553598924061,11.8076708708486,12.4529545982377,12.484628197718,12.2083081449633,12.4008193367432,12.5173120522548,12.0071673995294,12.475940722924,11.8839564658747,12.4554607752595,11.8424114578187,12.4279497953124,12.3712633028007,12.2882939015413,12.4525654685471,12.4603904647532,12.4612077656785,11.7520652379133,11.8593876356708,12.3883908690026,12.3883908690026,12.3883525348067,11.4528635288662,11.5047279571267,12.2912746470745,11.701311926395,12.4098131697141,12.2356274153759,11.2778544816657,12.4352380291787,12.5788657905481,11.4085647141601,11.5389599539995,12.1602716094902,12.582181234835,11.6444462504119,12.4884968567043,12.5262132210895,12.4981719476563,12.5337810758512
5,12.42592030154,12.3312154010434,12.4221682128714,12.6710156705654,12.4522872026732,12.3292331964188,12.6851859058149,12.6275252695165,12.3398760011885,12.4808579105413,12.3880524772935,11.8180692496119,11.833159704408,12.4465531350797,12.5361928574176,11.9622358730155,12.3010671026011,12.4328224863744,12.5269906811607,12.1208393232573,12.1354086346894,12.3842439352185,11.9834739457964,12.2738001807467,12.4599393695023,12.2403630320908,11.9694685246801,12.6075953258169,12.3722411073939,12.2706592905317,11.939706639658,12.4704917205195,12.1040288457372,12.2149213797741,11.8755894046962,12.5143445232486,11.7734911900173,11.5439084953298,12.4165653107887,11.7116468145094,12.4127745532666,12.4615346774279
6,12.3671773755372,11.7807088655722,11.6467953003931,12.3898481448546,11.9346457330886,12.1494153621179,11.9301135036554,12.2681305926083,11.8830308609088,11.4535521565572,11.6395288409214,11.9560724872542,12.7442360616859,12.3538096588605,11.8667940748837,12.556085285692,11.70695817776,11.8088256758817,11.8917714347074,12.6133401283958,12.2941065939395,12.3883908690026,12.3324902953983,12.3883525348067,12.343929771107,11.006058661667,11.930947304429,12.3087192029162,11.7115435097983,11.7841579823491,11.3501900415895,12.3590666566925,11.1371725456096,11.8671590312193,11.7044957820385,12.3245582394758,11.738843874331,11.3143787594574,12.3793433668214,11.3963431458649,12.5875332709106,11.8956349500252
7,12.3467367895136,11.8338633807255,11.8180402844784,11.2858090323608,12.0493977826658,12.2327788392845,12.0044948721679,12.3116067461415,11.7447478287416,11.6792376757551,11.6482077402827,11.6989501567575,11.5164193543238,11.1774639176263,12.2356451243734,11.4493891082784,12.5217136975133,NA,12.380423326395,11.5473285886169,11.487446435324,12.3883908690026,12.3883908690026,12.3531675012052,12.3501470151594,12.3172060658824,10.6605704072878,12.5827921763624,11.7690179742081,11.3136705026552,11.3837219412745,12.3574812836991,12.3344201248833,NA,12.0106273413946,11.4648312586761,11.558220441367,12.6158816386384,11.6670953165667,11.2170901411061,NA,11.1343963051644
8,12.1414658554241,12.2925640540473,11.4705981714978,11.9559329555866,12.3652926804864,12.2830299829772,12.6979209333627,12.3676718012433,12.2302017446414,12.2150740114315,12.4629170884041,12.1649068419415,12.3263308376997,12.418786293158,12.4115376481119,12.2878056162329,12.4351839472054,12.496182269108,12.2866269833343,11.7700947203127,12.3343312185422,12.3467988381904,12.3765112685011,12.3883525348067,11.8269008195301,11.9209507338982,11.1550967844408,11.3280429026171,12.4240396214837,11.7434497118802,11.584630767757,11.6380565333042,12.159773177029,11.848644470975,11.7672287810118,12.392577023753,11.8674537064402,11.7111835812853,12.354344363811,12.3138143239885,11.7101766370255,12.2655314115524
9,12.0797287278664,11.6495343287259,11.546932611164,11.908038508253,12.4112526134864,11.9462806699313,12.4745933050785,12.4264780515598,12.1344606328285,11.5768387908019,12.3418141652254,11.9233860748008,12.0528463968566,12.1052352186305,12.3384893658202,12.3253035214684,12.5107637409278,12.4083912551796,12.3550648612488,11.9502741790009,12.2289763419143,12.3883908690026,12.0383779921452,12.3883525348067,11.6583750061423,11.6814721430572,11.6586452761943,11.3774388202773,11.6964353842587,11.7073732016298,11.8017964777582,11.3210528417533,12.1920726763767,12.3322998322835,12.380373791328,12.3861583714,11.97827829604,12.0076585667222,12.4230880740829,12.4087018264263,12.6386508491397,12.4913479757167
10,12.5434244951911,12.3360986514786,12.2826631774733,11.8549401296336,12.4259452446988,12.3960473074974,12.6592416137174,12.5146702187709,11.9202420021828,12.4613584717106,12.5523383747757,11.8324549809139,11.8194979841562,12.5306776008495,12.6044916547625,11.7618334445798,11.9236159755899,12.5280865770753,12.5385972821452,12.3851489421766,12.5728183767174,12.3883908690026,11.6445360140321,11.9768564513238,12.5005749075393,12.6038402823199,12.0922519992616,11.7657023789134,NA,11.8104994507825,12.6038705905259,12.5420626105673,12.0436189167489,12.2176383723057,12.473241277473,12.52750300091,11.7588500130238,12.230616954465,12.4317471212042,11.7796506348163,12.4657733659263,12.4552191700646
