"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.0564281355182956,-0.0661323063379015,0.00338795021249934,-0.070849533576742,-0.0605862425924557,-0.104787727511708,-0.0623570843853819,-0.0634217433869846,-0.0673101227045123,-0.0773937438780097,-0.0539371978971296,-0.142825738625102,-0.0449255197759063,-0.118797496522635,-0.066410864313618,-0.095023734299038,0.0949734351504972,0.148156035329801,-0.0656486453395161,-0.0523914831513854,-0.100671235632877,-0.0411299604998963,-0.191541207225407,0.119745189825274,-0.0930585536306865,NA,NA,-0.0926642023690215,-0.0584880319111581,-0.0702871875040821,NA,0.189160224368338,NA,NA,NA,-0.0842297972541807,-0.0134671700179714,NA,0.0185357676258819,-0.0844709305264866,-0.0098539404289204,NA
2,-0.0657897287371868,-0.0725130600953174,-0.0925509368376781,-0.0695891494304444,-0.074138672136186,-0.0739402915891708,-0.0774823789877258,-0.0727073624414848,-0.106807963456721,-0.0517747977758766,-0.0719129841061524,-0.0977453026119744,-0.0910423863195725,-0.0701083306026258,-0.07403363316707,-0.0642663151214126,-0.0177332896892628,-0.0591255554342342,-0.066546665359361,-0.0832530736202752,-0.0746205479438875,-0.0755833686888539,-0.119442297068563,-0.0440505274269457,-0.0622130907399229,NA,-0.194962036433009,-0.118198619417293,-0.0719314415580061,-0.148656415300449,-0.0967680348013441,-0.0783479258764335,-0.000703870633238817,NA,-0.131576656488616,-0.0690992076812366,-0.0915036431321229,-0.185980754441591,-0.0861639856624517,-0.127481708141526,-0.0311699102501991,-0.082950942748289
3,-0.0582927007458273,-0.0870771342654994,-0.089556075205482,-0.0433436595123096,-0.0620184515086119,-0.0820198847302254,-0.0835579061500384,-0.072920470990815,-0.0808115986348612,-0.0768832185877983,-0.0540706815066619,-0.129820430714455,-0.101701006340137,-0.0765247087333151,-0.0689351613340482,-0.0719844358783045,-0.0851580768498013,-0.0927210257207905,-0.0710613107711051,-0.0972378579281539,-0.101122782674608,-0.0733562903120755,-0.112066949335692,-0.0657789227278937,-0.0394569736443542,-0.0659050639341489,-0.0872413408383055,-0.0603032650980602,-0.0869717733367339,-0.10756001057631,-0.0852137426550836,-0.0699882775210103,-0.0862411936437905,-0.0864037568087597,-0.0874538190215387,-0.0689880310717514,-0.0865049762962768,-0.0841703109490922,-0.070166503702357,-0.0887512484653853,-0.0827144010123156,-0.0877833293590146
4,-0.081199941524764,-0.0406785169364644,-0.0945499639669959,-0.067220024942301,-0.0469260886604804,-0.0905212934064141,-0.0392568400233229,-0.088334717053014,-0.0591271008353031,-0.0527891016363414,-0.0628910547107706,-0.0916361486204372,-0.0659471546397155,-0.0165809722602105,-0.0501060923687472,-0.0832373276836689,-0.0747276800410964,-0.0797756911028273,-0.0610235905742145,-0.0722608768867264,-0.0749715451743576,-0.0548843824769556,-0.0930015842284575,-0.0480225972021492,-0.0506861761829876,-0.0833662597485119,-0.0565995287774614,-0.073385168336098,-0.0548119685172479,-0.118627483820314,-0.0606397901327127,-0.061719879707031,-0.0947720992308318,-0.0771608869885795,-0.0674617445758199,-0.0579824823056769,-0.11175306443921,-0.0573828263187917,-0.10236102673694,-0.0434765390755691,-0.101027811601215,-0.0776742362635572
5,-0.0530088270094368,-0.0479173583704074,-0.0796505959363488,-0.0450737991536505,-0.0591351486499525,-0.0959080022303426,-0.0716730802129769,-0.0558207257591074,-0.0774126540716982,-0.0713883886047836,-0.033487513964395,0.0113598561291962,-0.0193539254884967,-0.0858377667190458,-0.0828504800610107,-0.114149029499937,-0.0151313416870054,-0.0514711710671737,-0.0512342629859737,-0.10498800108753,-0.054105474869795,-0.0689679612545854,-0.0735155356110918,-0.0552559783394551,-0.0563414648177429,-0.103543937943541,-0.0611628322190714,-0.0806010756190008,-0.0772704872697967,-0.0258527398814033,-0.0471380556557896,-0.0282227896662028,-0.10202071625442,-0.0508734695416525,-0.0862466989595564,-0.0562939075899398,-0.0282769903824988,0.158148632716103,-0.0690957478237294,-0.0472188313651486,-0.141555181857796,-0.0895072786641066
6,-0.0563200232918454,-0.0857490203474228,-0.0922139061633059,-0.0537873397623701,-0.06394972877164,-0.0845725162662505,-0.141808440949205,-0.0557663373908883,-0.0774956889309282,-0.130188320603369,-0.142290559969996,-0.168462470616456,-0.014251342798747,-0.140719969083042,-0.0668105666816576,-0.0468446539304696,-0.104254248402356,-0.0444597823095876,-0.0712107032388323,-0.073455812154716,-0.120453977388766,-0.0690490049902479,-0.0522306276958861,-0.0720326471964831,-0.0938687363951119,-0.107626114172085,-0.0619214647144741,0.205104792956861,-0.0660414523843972,-0.00152125271966892,-0.0703652563559991,-0.0660023029734792,-0.0705326102266392,-0.00608559108878999,-0.121943014324746,-0.0702754643317,-0.0761777987807107,-0.10339991242852,-0.0686040826574354,-0.0899443105883305,-0.0607324752965554,-0.066546116351465
7,-0.0890093719803074,-0.0890207338633136,-0.0888865402798682,-0.0212604688508901,-0.0626042388727123,-0.0857323506345877,-0.152158835384074,-0.0607460111040505,-0.0779047622102684,-0.107440095425312,0.122580669681495,-0.0317610595647934,-0.0691902328739954,0.00108100122145703,-0.0848947902944331,-0.0851325518213433,-0.0810348912170794,-0.0673269897034086,-0.0178731484534996,-0.0834490615669735,-0.0844993320460179,-0.0382368635091087,-0.0944369987553529,-0.0504404313883188,-0.0848091666185495,-0.0917513883997094,-0.0849752735585549,-0.0623240040565423,-0.0802796221068227,-0.0702909518053379,-0.0969686837992035,-0.0668602027180226,-0.0852231320350911,-0.0850798021258347,-0.0900934010168246,-0.0609745259339255,-0.0901329807288125,-0.0862340017831743,-0.0710534623621273,-0.0769633879477467,-0.0873801135737971,-0.0895995111546776
8,-0.0661261562982158,-0.0890585183468229,-0.103169602677258,-0.0608574320649055,-0.061634848582395,-0.0950703631895687,-0.0820381219647954,-0.0751545727740087,-0.0862371962178356,-0.104926446976384,-0.116983425875349,-0.0885744774823257,-0.0824270259869495,-0.0582547791116252,-0.0687580963807028,-0.0723772980095958,-0.11389752528821,-0.0433085197978473,-0.0696421244646672,-0.0792851295191578,-0.0585183556747052,-0.0577026092315965,-0.0848587549498606,-0.0536593861859696,-0.0737348934544686,-0.132511138623223,-0.0952180770110331,-0.0796033137314076,-0.064760081631217,0.0426213225464368,NA,-0.0665352406172424,-0.163381107362943,-0.12768420498458,-0.0398054203391087,-0.0701816515513527,-0.083984851124935,-0.0807126856663709,-0.0628677815896517,-0.115176053614276,-0.106639522733069,-0.0742770495174091
9,-0.0415748874861606,-0.0710020846535854,-0.0929826107196534,-0.0499103044892962,-0.0279039081858565,-0.0535628801271582,-0.0277190172027834,-0.0426577555420816,-0.0574482803349575,-0.0703052259895332,-0.0179179974883426,-0.0696240087247427,-0.0513867752373614,-0.0143966171818109,-0.0452844265492788,-0.0585391922998742,-0.0599366053203316,-0.0590350802811098,-0.0347006503148183,-0.0615473421296399,-0.0612285572583964,-0.0368775698990232,-0.10115695811691,-0.0592020390683472,-0.0458629184175093,-0.082682848352267,-0.0822828764757788,-0.0648166842239237,-0.0535394616157878,-0.0753402117816505,-0.083336637770268,-0.0892097594211825,-0.0297554440815285,-0.0901230136718791,-0.0624885425257372,-0.0570825234472317,-0.0700201296502475,-0.0190286047939835,-0.0633527942208072,-0.0616700508658735,-0.072338413536225,-0.0420378599074059
10,-0.0733152437323337,-0.0939999315882301,-0.0922337210452096,-0.0759149752093856,-0.075457331071047,-0.110545391571493,-0.0631525090419409,-0.100894191994964,-0.0688553033991988,-0.0847508565437665,-0.0374422409543856,-0.0919854530885388,-0.094309528541673,-0.0663902621910346,-0.0461712102987087,-0.10595287214889,-0.0723008399881156,-0.0798683053855535,-0.0547699836954084,-0.0683437035397592,-0.082733979790429,-0.0681615054111765,-0.0820206035272824,-0.0471930155604759,-0.0776947366697476,-0.0982769022831424,-0.0907647965644573,-0.0656517846084041,-0.0485936676233963,-0.0805852268774025,-0.0811017623438698,-0.0626177287261062,-0.0599962428205178,-0.154154149164252,-0.141508296889341,-0.0510007153093512,-0.100610223617049,-0.140442124310228,-0.0830007523100356,-0.0919399127587446,-0.0838831514242504,-0.0866791548995727
