"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.0857590232563508,-0.0750524742252073,-0.0919696726189657,-0.0940910247934544,-0.090847659594801,-0.110404515372694,-0.0907442877160221,-0.0876914054712,-0.0842741375918748,-0.0731251688587548,-0.0944008978465084,-0.140807234526448,-0.0367899326747711,-0.100016107936086,-0.0916641642681511,-0.0786398724254149,-0.116570620577107,-0.00787796499506813,-0.0872173340715823,-0.0831445660079485,-0.0528656250439763,-0.0845372330619077,-0.0656432979917136,-0.0320217579211184,-0.0907001676630775,NA,NA,-0.0589285005334049,-0.0921938204759793,-0.0554025987978288,NA,-0.15083615739463,NA,NA,NA,-0.0590230261185404,-0.00611355631488849,NA,0.00208376629906672,-0.0823736287530032,-0.0266755920984626,NA
2,-0.088626730301917,-0.0805135086188139,-0.0462321713086694,-0.0970112480412374,-0.0870043111604714,-0.104305335334788,-0.0796256364133081,-0.0902655954548393,-0.0877617685732627,-0.0761593662471825,-0.098784392395446,-0.0610566393670904,-0.105278620362748,-0.09210973398924,-0.0940536564708898,-0.0835093785633176,-0.02860419780682,0.0509582971247443,-0.0894090567685456,-0.103289010161883,-0.0926600110122179,-0.111665605361026,-0.0990519488251085,-0.0675975088491698,-0.0596838897666921,NA,-0.120663523046836,-0.0979639680750316,-0.0942293606879977,-0.142443254818892,-0.0370778778381318,-0.0992534885371933,-0.0458414140800489,NA,-0.1112885083281,-0.0953080359789401,-0.146991994965437,-0.00997796936174991,-0.0781143596081409,-0.0910789476792572,-0.027056110886788,-0.05875406737777
3,-0.0892617718250527,-0.0880734117167113,-0.0953574885614737,-0.063647466454742,-0.0840566045373573,-0.0911279133465785,-0.0565560928859915,-0.0829911428061943,-0.0896010342116787,-0.0876848008548718,-0.0301122426085913,-0.105654578697978,-0.079605436158654,-0.106608810351729,-0.0800423211764473,-0.0885942007087966,-0.08350583845702,-0.0838722734317037,-0.0907336978733929,-0.0793256286218938,-0.0870506261842799,-0.088642413865905,-0.101820430829826,-0.0517818825351231,-0.0906920982139988,-0.0727383196888307,-0.102376870011485,-0.0361020635990337,-0.109384763393534,-0.0958417944258893,-0.112513395782626,-0.0938931055388234,-0.101153800130755,-0.117379393203511,-0.105068464232576,-0.0901641736103839,-0.0838464570966297,-0.110096916325049,-0.0922387036642477,-0.0890391636238234,-0.0888721092733279,-0.0894559390468487
4,-0.0853580033265019,-0.105052743918906,-0.101178618199044,-0.0788190210572167,-0.0840081104224292,-0.0743061942573487,-0.105176836810178,-0.0793901121781929,-0.0804060761730436,-0.087333329416669,-0.0544997382163136,-0.100095651192465,-0.0871649322856793,-0.0844575968745669,-0.084559184716601,-0.083396332275097,-0.0839435182550787,-0.0763397655112311,-0.0673369681339377,-0.0786950903228391,-0.0800642085434912,-0.0773302233212916,-0.104375335113016,-0.0453727457318192,-0.093489752036675,-0.080208431545174,-0.0984791606014181,-0.0957933099202902,-0.0926015006325037,-0.0785017543802827,-0.0836654951541349,-0.0891466686043635,-0.131509233975388,-0.093092924760853,-0.0946722154085761,-0.0659138246628917,-0.107767584124828,-0.0783639598631097,-0.094727528575059,-0.111742919075654,-0.0512571449594201,-0.097726957866656
5,0.358713767023703,0.529749594740148,0.12471113675039,0.566542721418611,0.393138540192049,0.232023582616181,0.591646178951768,0.294814012830269,0.138144353381997,0.176667901811563,0.173254979673556,-0.0125351678910563,-0.134681465230138,0.10735076304906,0.324257567575,0.00944164448998808,-0.0207737805026518,0.274965975088105,0.268847318410317,0.237865547900013,0.368940190040056,0.293126801174829,0.692923929525508,0.367950699447016,0.219726982973766,0.0740280640122147,0.0357229726199355,0.50830535180771,0.168308470775619,-0.0035545660076878,0.306485975764804,0.267891529874118,0.573016107276107,0.311019010981468,0.574793020736816,0.287399348676816,0.0458101634012409,-0.127703934644537,0.259415945585105,-0.00121318742675219,0.142793342087517,0.608942459301816
6,-0.0814118148339133,-0.102487155569122,-0.0971887578085524,-0.0895348018234925,-0.081986932055312,-0.108898304917173,-0.0298569733121233,-0.121562021762368,-0.0921491443364168,-0.0489296112065712,-0.081111089577829,-0.128147885543988,-0.0393860307034943,-0.0706866713095502,-0.0620802041738611,-0.0509517719857617,-0.0438170973859006,-0.0379441543457207,-0.0868493361687855,-0.111804084355315,-0.0680527973074992,-0.0863817005486407,-0.133403207578654,-0.0838196148087047,-0.0750623238369719,-0.0794518265676361,-0.0563739037798412,-0.0920616876661847,-0.0988207068252145,-0.0671327534973461,-0.0967932245393402,-0.0872262690681333,-0.102861665641325,0.186680569986979,-0.111055004271275,-0.0898578007384019,-0.0784699462156525,-0.121292271407744,-0.0960026941486351,-0.0878131240593245,-0.0941188486658274,-0.0861124378443644
7,-0.0860589170809256,-0.104914674179822,-0.0925629901577939,-0.111867624194858,-0.0885976990960839,-0.137041997945804,-0.101517299902096,-0.0803234201159333,-0.0787411082899292,-0.094304776898024,-0.0871410637341938,-0.0561390279327735,-0.103967849589176,-0.0841817110674219,-0.0784065773211234,-0.0785347734857426,-0.0831556736555743,-0.0768011101155043,-0.079238788068634,-0.0905379953174089,-0.0906119911231195,-0.0883045531877254,-0.114433427272356,-0.0571081516270194,-0.0881933684964731,-0.0971199046894198,-0.0867427989187008,-0.0966815514431851,-0.102198520189728,-0.100754236957505,-0.0859931959545942,-0.0831601284310133,-0.0922843363216889,-0.0881987856187635,-0.0835303979976159,-0.090279779439092,-0.10536007372669,-0.0962596191473503,-0.0825788303795575,-0.102156544213766,-0.0967390440703286,-0.0923349572975602
8,-0.0914165438210518,-0.0956101662090292,-0.113465243883554,-0.0786469302268279,-0.114212884478292,-0.0550845518633705,-0.0942918525119186,-0.0808976834634022,-0.0908216351535032,-0.117373018204547,-0.152058868843357,-0.0690370929691738,-0.117171345469962,-0.136682650619633,-0.0890656480065623,-0.0877135917807336,-0.111292619405103,-0.115063953729873,-0.0952798634958415,-0.0897548060858405,-0.0840479632330769,-0.0808008716953893,-0.0928708856627128,-0.0896971991100745,-0.104308174152364,-0.0925585233881724,-0.147821576156419,-0.13430825441041,-0.134291682309201,-0.172605222884127,NA,-0.0766810457943567,-0.0335177125311865,-0.1155505699842,-0.147165086613206,-0.100792982464379,-0.0971711512809032,-0.0873744489286331,-0.0825160463759226,-0.0944715107510428,-0.109929961777504,-0.0814280181046624
9,-0.0730843436459826,-0.0970433802726827,-0.0680514742251564,-0.0639292699410211,-0.0731416160592996,-0.0757770024424967,-0.0817804492033972,-0.0805411153869015,-0.0809321081091284,-0.0704630162728029,-0.0779495850414228,-0.0710044437842821,-0.0757042563142605,-0.0696791138519038,-0.0795049852571178,-0.0745370590705582,-0.0741536124968863,-0.06856616308046,-0.0635077257422112,-0.0766818243251843,-0.078921902829311,-0.0916115339656802,-0.0733535201928745,-0.0922921470070559,-0.0848346926876985,-0.0887857403266009,-0.070133048279959,-0.0839919431099826,-0.0812554031929712,-0.117706519422157,-0.0379080901413949,-0.0923061065158549,-0.0480812590357573,-0.120065933657108,-0.0693654016746973,-0.0845888836942681,-0.0716608249475937,-0.0903619157614774,-0.102093044953275,-0.0469045044954252,-0.107412149234563,-0.0917533449570768
10,-0.108271685789674,-0.118924763425357,-0.101333946243404,-0.0818622399445109,-0.0998265531264111,-0.0842829632576387,-0.101232145539531,-0.0860545107424933,-0.0778477683280479,-0.0387024901497005,-0.10364030023244,-0.0698002249794221,-0.0904482878327915,-0.0652311855447485,-0.114916873811877,-0.107427579450274,-0.0980826439416218,-0.0732700391976675,-0.0677726132480859,-0.0761284733530099,-0.102051579687299,-0.0778152028626733,-0.131295584279276,-0.068857638820063,-0.0850183515804055,-0.0970026988982929,-0.0994923507069139,-0.0783900745898682,-0.0824731224203934,-0.0968368584801849,-0.0338261377355116,-0.0794549727968626,-0.0603481848442561,-0.0715087694568063,-0.105339739842483,-0.0798750440997427,-0.115529894201984,-0.0702025778972911,-0.0941196265139232,-0.0774377023141312,-0.0800920961763659,-0.0738021474894698
11,-0.0681490352911125,NA,0.0591200592964679,0.114968420186337,0.210920169608285,NA,-0.177838475346504,-0.027975054956304,NA,-0.0614922486212519,-0.112988935540431,NA,-0.0662373686707004,-0.0101530230607332,-0.0775604528573142,-0.0884360668921056,-0.07760664445954,-0.0656918182233901,-0.0743918001527213,-0.101196025525919,-0.0880932734056351,NA,-0.107429440062671,NA,NA,NA,NA,NA,NA,NA,-0.14285820363054,0.0321184822631151,NA,-0.105419058435531,-0.0782871100925362,0.165689146086699,-0.0184022709309401,-0.127367611879077,-0.166680596589408,NA,NA,0.155422695071395
12,-0.086751394993072,-0.101661549164609,-0.163457593651061,-0.0439324546258179,-0.0865691859057788,-0.0840747275962759,-0.113717629883192,-0.0869486007464323,-0.0610019942973598,-0.0949079140836643,-0.0427227680773849,-0.100549531472809,0.132601332407973,-0.135229263070316,-0.0809976159981851,0.00132382493768155,-0.122357944394501,-0.00945883444700147,-0.090512341722916,-0.0858090341880876,-0.122108351221095,-0.0948562857860564,-0.132408572886181,-0.0511707657083531,-0.0962906897113463,-0.155741660895829,-0.162030360392603,-0.0276786247962726,-0.0751932392430895,-0.141009405803165,-0.00551358238315269,-0.0455992164300127,NA,NA,-0.0711144867466801,-0.092400482504375,-0.114479509432578,-0.0486375193976181,-0.101430001912288,-0.077625399165576,-0.0112936953941898,-0.121491388881616
