"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,0.227791906993918,-0.0990277133260935,-0.0142465609273096,-0.0232645118419889,0.224181450513838,0.00375455220296297,-0.0155514409033704,0.166049664858988,-0.0198493633629751,-0.0620215973435312,0.197416306082409,NA,0.0341663938803372,NA,0.111839080342042,0.0881724913105568,-0.034444795329272,0.551637154560127,0.208148156830265,-0.0301211107379025,-0.0689637512616764,0.16072812506824,NA,0.00344784713156265,0.13373264391036,NA,0.0846314795850212,NA,0.150798428404087,NA,0.108621195627057,0.214264914257389,-0.118378149726756,-0.189383160939457,-0.141800442815339,0.159935719538483,-0.0924023447330629,0.134471111553354,0.140369043372125,0.0638839140488318,-0.0713676584730612,-0.0957973482867869
2,0.260628870754444,-0.0634896067083909,-0.0471175803607953,0.00536026027788984,0.290275806701471,0.0156183661905961,-0.035423032326983,0.0461266485081947,-0.0144947594151912,-0.137729500192456,0.509412327832771,NA,0.0644865210165788,NA,0.0669890487454337,0.000451836440239175,-0.0182281686008112,-0.0997119641139761,0.209767262358676,0.162384864141436,-0.0808166426373377,0.131790083402897,-0.0951510466066961,-0.046269065592844,0.185729802531822,-0.021754396685902,-0.0874362729758788,0.0232758604737967,0.124385053443085,0.136434497390941,0.22751028309758,0.21178141368616,0.178018426769807,0.191924096031976,-0.0209337804233714,0.214494368268993,-0.0118278396079951,-0.0459810745341385,0.1464081464005,-0.017167300132291,-0.0154133477922535,-0.0405625236592922
3,0.217691579129354,-0.0509845155138199,-0.0527193088485586,-0.0959432925823684,0.141681982960827,-0.0214506537057397,-0.131589207702021,0.104220349379242,-0.0193401434050739,-0.0542823606606253,0.0308251324595903,0.0345203263106858,0.0539031446020093,-0.0363592586903436,0.0982399247838045,-0.0146907110564368,0.0211294232032512,-0.0601036347002171,0.116513774677227,0.00280869839355613,-0.0696314392401595,0.197525452952474,0.0747364650645124,-0.0329333165517025,0.191490325582975,0.0206352744264755,-0.0717070556632448,-0.0978278357234757,0.141529101802872,-0.0700862588490505,-0.0127700300207474,0.174610830917118,0.0449407505813921,-0.0234478180539871,-0.0127346518552704,0.205214438586698,-0.0264069383272948,-0.0162074890860807,0.140179403358873,0.0127820738949672,-0.023118388629662,-0.0434053510849104
4,0.189222958692638,-0.0375762885790255,-0.0652605745200931,-0.0256016837792338,0.180023333301362,-0.0309110617217463,-0.028886279448106,0.152928584796925,-0.0140173032080937,-0.028118317358182,0.15339942731716,-0.0218587991566829,-0.00491076442643644,-0.0484175255948475,0.120605525861001,-0.016682702509222,-0.014474410554047,-0.0506246247601319,0.147566474975283,-0.0250800750718026,-0.0493990329533179,0.0672799365171963,-0.0642547697059851,-0.0246459284323802,0.166169876344983,0.0327179826469458,0.0852408650552114,-0.033484343716394,0.125475392462388,-0.011754677948511,-0.022845483529824,0.186116924052028,0.419488738797651,-0.0472944150496606,-0.0290851022603826,0.177418136486684,-0.0637700176407847,0.00489416515546798,0.158617746083086,0.0121168642163719,0.0189033634463432,-0.0344461475524291
5,0.241995187139592,-0.0370710305497343,-0.0446183524361326,-0.0350649855353821,0.218024415561595,-0.040283239418427,-0.032629204217629,0.182140608771303,-0.00727444357343268,-0.0954778528419024,0.14036773790428,0.164119465567638,0.153953803704545,-0.0390592403615957,0.178423597050662,0.263803912736615,0.182887069073611,-0.0559379354410604,0.18774837327708,-0.0406500137229306,-0.0184348646725164,0.184359018948045,0.288823650162381,-0.0516869980335513,0.152800220969047,-0.00260572302054839,0.0120700950025514,-0.0332160008584327,0.101924750707261,0.0405862428337686,-0.0743318527481246,0.183606702542889,0.167657170908798,0.25504089047575,-0.037132514321478,0.171177415291534,-0.023038633490139,-0.0378103966245848,0.16865015005151,0.00697614124696879,0.00158712608538319,-0.0439396509002612
6,0.231319463227693,-0.0403433966287647,-0.0691506604153172,-0.0131034241071477,0.147655028922751,-0.0401355884497074,-0.0805348672051018,0.226020698766881,-0.0267329887862127,-0.0741062764495932,0.204733879430153,-0.0275647839037869,NA,-0.055880559019772,0.118179057799156,0.0543215763291615,0.0223802509641295,-0.00113200789497926,0.16802251760946,-0.0660574332146256,-0.0308209942202398,0.192698386693697,0.205458890786743,-0.0267754974385296,0.161979626364221,0.109277364209632,0.00391928464502441,-0.00671260158714947,0.10336398817087,NA,-0.0351197969963045,0.164911856007104,0.0838738064798267,-0.0131285621297688,-0.0505212641308287,0.189560648061537,-0.0555521521281914,-0.0765055404011167,0.153067633128074,0.00130010517941421,-0.0159508485113911,-0.0327954574136769
7,0.14234944090106,-0.0701244259988037,-0.0116601484800452,-0.106698426056742,0.15663538112021,0.0122879854936859,-0.0238270401314775,0.244270559091893,-0.0424287859054437,-0.0387130084492531,0.150755239625864,0.0140644696745364,-0.0364890362114183,-0.0130479463020922,0.101582137021904,-0.0286079911345153,-0.0213029007297592,-0.0688818523857369,0.168881199360263,-0.0568194717095216,-0.0783233804476651,0.105276714451853,-0.0214573129921883,-0.0380397350990045,0.180158795711716,-0.0196766106861598,-0.0372132951222936,-0.0361477424348596,0.111145981935979,-0.010454404652963,-0.0260842337036441,0.153368302914975,0.0823900893114545,-0.0459827665006566,-0.0307318530978592,0.16753260639464,-0.056323313937659,-0.0589501127401719,0.169747052787044,-0.0277834105638409,-0.0590069422679248,-0.0601949876365672
8,0.242690051242238,-0.0483517692499603,-0.104269291889909,-0.024596772705206,0.212311542988746,-0.0271483569169345,-0.0885446357717303,0.157039536370619,-0.00019248276830072,-0.0294654705231108,0.0889420113623269,NA,0.0385418473103177,NA,0.121890583739066,-0.0741755256357275,0.05109015454584,-0.0676294244421068,0.208378354800004,0.0290743592252033,-0.0446579577410212,0.235947910639437,0.717198230938571,-0.0954326748837115,0.112991340123293,NA,0.0876355540972907,NA,0.212558402022525,NA,NA,0.0582317516347158,0.0834125366337839,-0.120634457047001,0.0198902186021547,0.19798182187489,-0.00170501611472899,0.027388444566481,0.321904236493506,-0.027304851343049,NA,0.073149504953161
9,0.237240698026905,-0.0851081258983512,-0.0975125450834816,-0.0652045094800115,0.17160202030454,-0.0408183495545129,-0.0498422585063545,0.156648605761775,0.0476802627147529,-0.0466703449978638,0.20111915457334,0.0931299477276106,0.0230950104504213,-0.0718759531121051,0.122504165980592,0.14776618002399,-0.0742791488156321,-0.04593336470792,0.174344034289071,-0.0152770604297519,-0.0766721444446916,0.144135516496999,0.0705206400380385,-0.0306842097286503,0.168023357920555,0.0730752094217511,-0.0452149391761732,-0.0722247762795904,0.145839465535417,-0.00275035384069368,-0.0854893222074545,0.136917756621496,0.0248886102082266,0.0338879424125471,0.0673225526552104,0.215470800570089,-0.0729340280248318,-0.0386689816538543,0.165625822051232,-0.025182529757985,-0.0382099444274782,-0.0453900209812367
10,0.222102834169295,-0.057251293989577,-0.0840176314268209,-0.0305558338265859,0.191187234010463,-0.00865209168751389,-0.0490372958338994,0.167819306163861,0.064111031244979,-0.101639873191668,0.154457682816866,NA,0.202817633600211,-0.0674843921985254,0.121913513249292,0.0246959984034968,0.0151574499843696,-0.180087474403243,0.199458842927371,-0.0150781669856089,-0.0441888878688372,0.305308263942976,-0.0806644869488682,NA,0.251053639647427,NA,-0.148537767343068,0.011167611223823,0.184659347856125,-0.126554988234954,0.0308600016144268,0.0592213839325965,NA,NA,0.0589123406585378,0.174056870114537,0.185813013074021,0.166658093212539,-0.0159521581453387,-0.0178241545303284,-0.0973693130614654,0.103207953694333
