"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,459171.5,278961,113634,274017,496091.5,222963.5,326888,580217,339543.5,387240.5,414328,749576,219356,592790,411802,468270,424555,512171,571711,282229,304556,599998,234274,599975,584981,NA,NA,79953,422319,93421,NA,651625,NA,NA,NA,318727,631333,NA,135270.5,693601,37427,NA
2,579507,455014,299331.5,294928.5,520684,464772,416305,610388.5,550356.5,325133,602738.5,287164,492061,179157,491365,236696,467476,182246.5,592950,306813.5,331659.5,599998,157901,333471,671355,NA,235838,228305.5,579451,256373,437006.5,560147.5,574968,NA,241760,302077,197500,229152,572502,524047,460224,291900
3,584524,492129,333049.5,419442,584743,573099,703885,660303,558290.5,362081,747714,334282,323072,668267,581639,299322,363897.5,438276,593420,338787,485804,599998,414432,299548.5,578291,321160,143263,470971,380959.5,560774,323973,577141,325891,291537,336852,579185,377988,200282,578415.5,276148.5,314919,597186
4,643330,314071,400578.5,615642.5,646707,290725,677714,635813.5,625950,617438,584264,277724,643956,658854,627864.5,499149.5,713335,668204,649131,410868.5,629523,599998,584220,599975,612026.5,361327.5,220510,348170,586650,579275.5,365901,647585,182768,611047.5,261235.5,635785,200129,245127,602373,631824,508277,680605.5
5,585398,336730,303208,501734,384868,457863,429645.5,574831.5,484707,171407.5,275950.5,389887.5,925499,587245,357897.5,664577,340863.5,713770,348356,592380,525139,599998,520038,599975,576987,458299,312951.5,550245,320294,444969,212454,580629,405373,200630,225754,457654.5,718597,366742.5,593090.5,244338,556508,635993
6,606955,527981,319334,373847,617083.5,781524.5,451449,632317,447315,607476,50856,1048576,357644,204962,569317.5,240851,779118,320861.5,585791,831183,521327.5,599998,75471,365742,476578.5,432826.5,660623,921748,579634,798445,518035.5,504203,494221,331950.5,368329,557749,263619,283816.5,388051.5,340848,317637.5,334738.5
7,627751,275149,364732.5,657974.5,630148.5,671410,738718,673321.5,619645,672143,411484,694729,657797,706946,702312,647946,696392,689337,672656.5,581499.5,697327,599998,572919,599975,624077.5,541581.5,322746,313581,628566,265356,324439,551750,407159,557049,394245,613027,342839.5,305191.5,584893.5,318577,356486,635697
8,591519,560788.5,325463,640094,467808,490335.5,659871,621100,340081.5,606650,585342,241241,781291,609952,574862,215882,344456,730857,593187.5,278768,705291.5,599998,338451,340831.5,597716.5,438791.5,553849.5,726702,582103,37030,NA,360395,319818,38564,224612.5,402628,389623,139161,471447.5,334658,362860,304575.5
9,592415,409253,272703,291266,592853.5,366687.5,409046.5,582588,327875.5,329788.5,382485,322576.5,393031,429991,476279.5,379732,618805.5,471883,575707,324528,262683,599998,599998,599975,303750,568369,206225,244801,330085,269258,301590,445540,529243.5,269561,422219,294113,677019,325951,380958.5,692796,668721.5,657152
10,659811,737463,651951,662011.5,603726.5,536479,633427,689330,443330,617702,468736,276186,385650.5,577028,724543,170463,114315,548425,643362,681412,758485,599998,556900,599975,737407,311550.5,300682,753291.5,629712,389649.5,759536,714122.5,245192,671646.5,643444,668414.5,478934,234198,610928,314651,701047.5,689678
11,316720,NA,302680,69989,199428,NA,803783,806777,NA,216816.5,1048576,NA,210303.5,689481,410179,335168,407478,402877.5,360943,238071,264290,NA,599998,NA,NA,NA,NA,NA,NA,NA,404499.5,376831,NA,510385,183792,376724,61742,246661,619238,NA,NA,504898.5
12,408469,350418,157885,300652,403796,262466,285225,395282,446300,337369.5,270639,200247,764299,353893,401792,171866,1048576,130360,520084,343589,185610,599998,479433,350115.5,289804,336205,369442,292279.5,378125.5,158191,420745,107967,NA,NA,68627,375957.5,234703,369175.5,586205.5,200379,332340.5,230878.5
13,672715,597092.5,658918,806320.5,727008,550672,710631.5,830751,589359,696181,NA,342834,650463,611208,654270,299673,586022,646798,652617,677970,698925,599998,480204,599975,641537,439014.5,288910,741126,668263,642741,298969,657377,405836,656390.5,370432,644732,354271,261271,640900,330733.5,613654,672466.5
