"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.251940622925758,-0.262030750513077,-0.366279929876328,-0.26155698299408,-0.263517111539841,-0.205756321549416,-0.38280388712883,-0.171580202877522,-0.220361694693565,0.425521090626717,-0.0654474943876266,NA,-0.410429328680038,NA,-0.217963486909866,-0.0965352691709995,0.131675034761429,-0.0434329137206078,-0.197502039372921,-0.342744946479797,-0.293719619512558,-0.164909347891808,NA,-0.272777274250984,-0.429275512695312,NA,-0.0443186685442924,NA,-0.312996804714203,NA,0.929879322648048,-0.273290425539017,-0.330949008464813,1.31849125027657,0.256920767948031,-0.270588725805283,-0.503740966320038,0.811058759689331,-0.30180361866951,0.207340031862259,-0.275580793619156,-0.653078079223633
2,-0.281939297914505,-0.468465864658356,-0.432276397943497,-0.617239952087402,-0.288030922412872,-0.492409601807594,0.108250200748444,0.0999329313635826,-0.432784169912338,-0.455513775348663,0.198364123702049,NA,-0.518701732158661,NA,-0.112615365535021,-0.740344822406769,-0.436273038387299,-0.426812216639519,-0.289304152131081,-0.347531259059906,-0.293372869491577,-0.331776827573776,-0.462273895740509,-0.415439233183861,-0.330006539821625,-0.395941764116287,-0.667793154716492,-0.549907326698303,0.211208686232567,-0.994216620922089,-0.0238541811704636,-0.282805562019348,-0.580643594264984,-0.651668787002563,-0.701551467180252,-0.32913213968277,-0.327271193265915,-0.515754908323288,-0.387644439935684,-0.49940013885498,-0.370678439736366,-0.337840139865875
3,-0.351364403963089,-0.459557175636292,-0.43663564324379,-0.410905003547668,-0.236814543604851,-0.515682816505432,-0.564397394657135,-0.294870555400848,-0.462521344423294,-0.419289916753769,-0.818928897380829,-0.400451347231865,-0.630846738815308,-0.319925159215927,-0.443318963050842,-0.436193108558655,-0.392999410629272,-0.347504079341888,-0.385078370571136,-0.474579229950905,-0.532241344451904,-0.418123930692673,-0.684467732906342,-0.390727370977402,-0.411232888698578,-0.243623610585928,-0.279333844780922,-0.528246700763702,-0.646427750587463,-0.493901565670967,-0.328748166561127,-0.421658247709274,-0.45172256231308,-0.364713460206985,-0.408523812890053,-0.414729461073875,-0.453048139810562,-0.430901527404785,-0.410358250141144,-0.424884930253029,-0.431862145662308,-0.448904454708099
4,-0.235408738255501,-0.292273163795471,-0.087918683886528,-0.0814938992261887,-0.274194151163101,-0.359461933374405,-0.229120254516602,-0.2522082477808,-0.31866854429245,-0.106421768665314,-0.248772159218788,-0.453164577484131,-0.296755030751228,-0.233452469110489,-0.224085748195648,-0.184972822666168,0.103826455771923,-0.0756568610668182,-0.0264952005818486,-0.213459447026253,-0.140473827719688,-0.150559335947037,-0.260103404521942,-0.0445484053343534,-0.288257539272308,-0.354362517595291,-0.0137106836773455,-0.233905673027039,-0.244674146175385,-0.442391127347946,-0.178328953683376,-0.0626653879880905,0.400653958320618,-0.223982125520706,-0.0499335248023272,-0.267487451434135,-0.349101960659027,-0.353146940469742,-0.229693979024887,-0.256993405520916,-0.265663266181946,-0.285781025886536
5,-0.391142278909683,-0.218995675444603,-0.301048174500465,-0.346190541982651,-0.392986238002777,-0.184844121336937,-0.384110599756241,-0.438978001475334,-0.517005622386932,-0.309317648410797,-0.511671870946884,0.0473157819360495,-0.0192363820970058,-0.381463259458542,-0.402864813804626,-0.473209962248802,-0.105280883610249,-0.441257551312447,-0.407650858163834,-0.0630666166543961,-0.399661868810654,-0.36451730132103,-0.444830119609833,-0.320332810282707,-0.444655269384384,-0.47702644765377,-0.408011734485626,-0.310563147068024,-0.37336628139019,-0.274404838681221,-0.124493774026632,-0.437927305698395,-0.659688532352448,-0.37663072347641,-0.315442651510239,-0.450011730194092,-0.328937694430351,-0.497463256120682,-0.470621183514595,-0.504665568470955,-0.399153754115105,-0.408609956502914
6,-0.287816286087036,-0.275952488183975,-0.340103104710579,-0.216731242835522,-0.261159121990204,-0.23537865281105,-0.162682354450226,-0.273137599229813,-0.180811360478401,-0.341389343142509,-0.821289241313934,-0.271422803401947,NA,0.0956575479358435,-0.351724892854691,-0.458336383104324,-0.192766547203064,-0.15381570532918,-0.331815525889397,-0.371108561754227,-0.418880596756935,-0.362603783607483,-0.656068921089172,-0.0987215526401997,-0.45485332608223,-0.691231310367584,-0.468851625919342,-0.368689507246017,-0.265634745359421,NA,-0.461345136165619,-0.319059461355209,-0.183013245463371,-0.857166230678558,-0.72882479429245,-0.36394739151001,-0.340647876262665,-0.80436697602272,-0.32600873708725,-0.412068098783493,-0.351181745529175,-0.35066781938076
7,-0.239105761051178,-0.261175930500031,-0.129988461732864,0.089664931409061,-0.164526864886284,-0.479648143053055,-0.889789879322052,-0.366941720247269,-0.48843389749527,-0.312115579843521,-0.337484538555145,-0.0612150654196739,-0.340434074401855,0.844992160797119,-0.249194905161858,-0.13229875266552,-0.0610828176140785,-0.052220419049263,0.155112747102976,-0.266274675726891,-0.179773479700089,-0.263837307691574,-0.377492189407349,-0.324373438954353,-0.28039824962616,-0.460597604513168,-0.215146750211716,-0.207439012825489,-0.178392693400383,-0.366816848516464,-0.313668876886368,-0.171680815517902,-0.228980153799057,-0.125388085842133,-0.111510142683983,-0.219053715467453,-0.397413656115532,-0.321093648672104,-0.316981971263885,-0.327460184693336,-0.309769302606583,-0.384003639221191
8,-0.266542315483093,-0.351747691631317,-0.309604108333588,-0.348329529166222,-0.235625073313713,-0.146869689226151,0.0279988013207912,-0.223698817193508,-0.295928478240967,-0.426382541656494,-0.396833091974258,NA,0.798059523105621,NA,-0.253415510058403,-0.109730213880539,-0.276755832135677,-0.445947512984276,-0.215527325868607,-0.227941587567329,-0.180924288928509,-0.313197255134583,-1.05909276008606,-0.21515991538763,-0.276642173528671,NA,-0.381607383489609,NA,-0.226727247238159,NA,NA,-0.485819160938263,0.34594589471817,-0.571159660816193,-0.573247350752354,-0.443868905305862,-0.345323026180267,-0.322874039411545,-0.359835594892502,-0.100976645946503,NA,-0.516778126358986
9,-0.413959622383118,-0.177611380815506,-0.59204375743866,-0.45139417052269,-0.348520934581757,-0.438537806272507,-0.418496385216713,-0.310481131076813,-0.25221985578537,-0.307560577988625,-0.54124528169632,-0.465762570500374,-0.407406717538834,-0.331933692097664,-0.445994764566422,-0.601880580186844,-0.484984308481216,-0.397719502449036,-0.389655560255051,-0.413327589631081,-0.529408678412437,-0.388297945261002,-0.384357288479805,-0.346646010875702,-0.494419515132904,-0.494114696979523,-0.526841282844543,-0.434090986847878,-0.435024067759514,-0.466334208846092,-0.349433071911335,-0.446701183915138,-0.518085956573486,-0.685100689530373,-0.660791218280792,-0.372331559658051,-0.576064705848694,-0.853701651096344,-0.43529424071312,-0.451009094715118,-0.482887133955956,-0.346774488687515
10,-0.269270434975624,-0.311446696519852,0.550666451454163,-0.430066764354706,-0.244586139917374,-0.293294832110405,-0.277840688824654,-0.146865546703339,-0.250371336936951,-0.0863512344658375,-0.226175904273987,NA,-0.24336913228035,-0.525990515947342,-0.191630065441132,-0.225256897509098,1.45798993110657,-0.53675240278244,-0.19097600877285,-0.178398549556732,-0.416899904608727,-0.144244447350502,-0.266561761498451,NA,-0.450627878308296,NA,-0.220016628503799,3.44836294651031,-0.427176535129547,-0.305450059473515,-0.222360130399466,0.329434771090746,NA,NA,-0.0465238888282329,-0.422104209661484,-0.318325757980347,-0.845954775810242,-0.315820127725601,-0.113429449498653,-0.104313641786575,0.813878834247589
