"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.29691955447197,-0.336858689785004,-0.266949266195297,-0.454172000288963,-0.37914302945137,-0.60127779841423,-0.460920453071594,-0.278372675180435,-0.398140877485275,-0.594865560531616,NA,NA,NA,NA,-0.294435620307922,-0.351022720336914,-0.674264907836914,-0.891021430492401,-0.305650860071182,-0.344050645828247,-0.446415364742279,-0.286936968564987,NA,NA,-0.252612590789795,NA,NA,0.453016608953476,-0.542377471923828,NA,NA,-0.389956742525101,0.606152817606926,-0.0284144263714552,-0.733724594116211,-0.302929520606995,-0.459344744682312,NA,-0.503108590841293,NA,0.599122181534767,0.952143788337708
2,-0.217225328087807,-0.586499512195587,-0.272785782814026,0.288176940754056,-0.463711619377136,-0.291508205235004,-0.260737210512161,-0.323674008250237,-0.319664977490902,0.468918770551682,-0.538780212402344,-0.332907825708389,-0.384977102279663,-0.48894402384758,-0.395841151475906,-0.289657205343246,-0.131250265985727,-0.276624977588654,-0.335251808166504,-0.367905855178833,-0.653982192277908,-0.375996500253677,-0.426084041595459,-0.355648547410965,-0.43390479683876,1.23217856884003,-0.194205015897751,-0.671962320804596,-0.470531031489372,0.160780023783445,-0.665733456611633,-0.333620101213455,1.99694001674652,NA,-0.464294165372849,-0.348236605525017,-0.539666652679443,-0.35551244020462,-0.432068884372711,-0.464722022414207,-0.470516487956047,-0.171180486679077
3,-0.325907170772552,-0.364219158887863,-0.389925301074982,-0.549626648426056,-0.357226073741913,-0.455711930990219,-0.289777129888535,-0.369897112250328,-0.39170278608799,-0.40431635081768,-0.846678018569946,-0.369510337710381,-0.449007526040077,-0.290012195706367,-0.291147947311401,-0.418832525610924,-0.379496723413467,-0.343837589025497,-0.407395243644714,-0.344345033168793,-0.357510790228844,-0.441236227750778,-0.463147282600403,-0.325925767421722,-0.473622471094131,-0.348305940628052,-0.446149855852127,-0.350234746932983,-0.594227731227875,-0.865432262420654,-0.664180755615234,-0.396116822957993,-0.392533212900162,-0.426250085234642,-0.474793672561646,-0.407084047794342,-0.437946915626526,-0.405091404914856,-0.419308736920357,-0.423053219914436,-0.408617258071899,-0.430879160761833
4,-0.214980646967888,-0.369047552347183,-0.288244560360909,-0.308521121740341,-0.29403167963028,-0.297958821058273,-0.256971083581448,-0.346997559070587,-0.248835377395153,-0.314200699329376,-0.447077006101608,-0.364686340093613,-0.313244491815567,-0.330646216869354,-0.192588075995445,-0.419026643037796,-0.327284902334213,-0.350100114941597,-0.280543833971024,-0.338904485106468,-0.252691805362701,-0.427695512771606,-0.700883507728577,-0.303330808877945,-0.375232219696045,-0.0398360006511211,-0.353978708386421,-0.308800369501114,-0.249555483460426,-0.105035532265902,-0.254728496074677,-0.102850966155529,-0.75010359287262,-0.409430056810379,-0.411308363080025,-0.38940167427063,-0.389091864228249,0.0896873567253351,-0.168834313750267,-0.28808119520545,-0.415326982736588,-0.256954997777939
5,-0.291346952319145,-0.348488673567772,-0.333855599164963,-0.321884468197823,-0.371672242879868,-0.394324988126755,-0.369347125291824,-0.279901385307312,-0.433963239192963,-0.381138235330582,-0.257112741470337,-0.456156581640244,-0.403352439403534,-0.421364054083824,-0.431971728801727,-0.428121849894524,-0.398864462971687,-0.363470852375031,-0.244883142411709,-0.404257088899612,-0.299731433391571,-0.43562987446785,-0.401331067085266,-0.296693056821823,-0.53387463092804,-0.51027113199234,-0.464414268732071,-0.539448976516724,-0.187635079026222,-0.282019227743149,-0.302819281816483,-0.354167640209198,-0.500956237316132,-0.630799472332001,-0.409463703632355,-0.380521446466446,-0.51837146282196,-0.524271070957184,-0.352636754512787,-0.478397369384766,-0.436095163226128,-0.497239246964455
6,-0.420348942279816,-0.217980742454529,-0.505789577960968,-0.41922515630722,-0.361419230699539,-0.367395222187042,-0.373790249228477,-0.480264514684677,-0.19831433147192,-0.447952687740326,-0.431772872805595,-0.273170754313469,-0.787453949451447,-0.472350776195526,-0.353440880775452,-0.636455118656158,-0.562082707881927,-0.275611460208893,-0.456831082701683,-0.527295887470245,-0.44356481730938,-0.436540812253952,-0.305698424577713,-0.420282125473022,-0.314921781420708,-0.616058945655823,-0.456736952066422,-0.403294280171394,-0.469839572906494,-0.268265694379807,-0.575456976890564,-0.454613238573074,-0.243679225444794,-0.491984367370605,-0.296827048063278,-0.445552945137024,-0.763983935117722,-0.171967193484306,-0.434944719076157,-0.432777002453804,-0.35479947924614,-0.502400100231171
7,-0.275885820388794,-0.229865819215775,0.17925126850605,-0.47841215133667,-0.350502878427505,-0.443439513444901,-0.310664921998978,-0.307924956083298,-0.478238135576248,-0.17062671482563,-0.379966214299202,-0.321008414030075,-0.599728047847748,-0.227482527494431,-0.313289284706116,-0.276026397943497,0.327802509069443,NA,-0.344982802867889,-0.415403127670288,-0.235443711280823,-0.316578209400177,-0.227536380290985,-0.512607544660568,-0.422794282436371,-0.383706450462341,-0.271143343299627,-0.565989345312119,-0.421456351876259,-0.425525039434433,-0.418504528701305,-0.0625934302806854,-0.471398025751114,NA,-0.383565038442612,-0.359630227088928,-0.279107004404068,-0.898837804794312,-0.384409710764885,-0.509700983762741,NA,0.363911777734756
8,-0.307682693004608,-0.400113135576248,-0.326152205467224,-0.64944189786911,-0.318157732486725,-0.353906184434891,-0.0621506534516811,-0.301369965076447,-0.254133820533752,-0.514413237571716,-0.412557333707809,-0.354553729295731,-0.3863485455513,-0.446212455630302,-0.274839639663696,-0.348326295614243,-0.323197036981583,-0.0930409952998161,-0.227788917720318,-0.362114042043686,-0.300404295325279,-0.294956266880035,-0.540306359529495,-0.225200735032558,-0.361917912960052,-0.404228717088699,-0.261644691228867,-0.223979339003563,-0.306728601455688,-0.35846546292305,-0.440909713506699,-0.340979754924774,-0.65612381696701,-0.369937598705292,-0.471774101257324,-0.297596290707588,-0.302783638238907,-0.356335788965225,-0.205670610070229,-0.349895596504211,-0.397388473153114,-0.280939638614655
9,-0.332215532660484,-0.403399169445038,-0.409358263015747,-0.25251230597496,-0.315522074699402,-0.354169547557831,-0.271556884050369,-0.234929278492928,-0.316877812147141,-0.266192197799683,-0.287885218858719,-0.361166208982468,-0.344624668359756,-0.377457737922668,-0.251423060894012,-0.327963143587112,-0.221343964338303,-0.390377342700958,-0.30004096031189,-0.345529526472092,-0.445207446813583,-0.229865700006485,-0.462132275104523,-0.18941555172205,-0.35787245631218,-0.437203124165535,-0.42119300365448,-0.42020745575428,-0.30106645822525,-0.380749464035034,-0.41435994207859,-0.126584127545357,-0.553920060396194,-0.325436294078827,-0.238963454961777,-0.429670870304108,-0.475573927164078,-0.0347209786996245,-0.220602013170719,-0.5020722001791,-0.502022206783295,-0.219581700861454
10,-0.404607117176056,-0.627857267856598,-0.383000701665878,-0.558568984270096,-0.405851408839226,-0.399290442466736,-0.600935995578766,-0.0919367447495461,-0.390382617712021,-0.2747642993927,-0.341386198997498,-0.800669491291046,-0.401033252477646,-0.525244474411011,-0.495949596166611,-0.539937019348145,-0.389724686741829,-0.544313311576843,-0.307252496480942,-0.39742323756218,-0.403472855687141,-0.401632875204086,-0.623178899288177,-0.226735278964043,-0.346862405538559,-0.597269728779793,-0.608328938484192,-0.335949003696442,NA,-0.521190583705902,-0.518031820654869,-0.365943819284439,-0.454634994268417,-0.584737718105316,-0.502078503370285,-0.45656643807888,-0.509607374668121,-0.413263022899628,-0.451092407107353,-0.492296442389488,-0.495124608278275,-0.390762180089951
