"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.437668919563293,-0.39832079410553,-0.307479381561279,-0.304750382900238,-0.415057525038719,-0.387067750096321,-0.389792442321777,-0.429473176598549,-0.455939456820488,-0.304380655288696,-0.390637338161469,-0.98758590221405,-0.256494555622339,-0.501143515110016,-0.371721088886261,-0.424948140978813,-0.321285396814346,-0.717944204807281,-0.387279361486435,-0.475421130657196,-0.442841649055481,-0.513579308986664,-0.494510859251022,-0.804656386375427,-0.544456750154495,NA,NA,-0.319136902689934,-0.427345246076584,-0.708351612091064,NA,-0.815152645111084,NA,NA,NA,-0.260362863540649,-0.270171314477921,NA,-0.34476463496685,-0.326704770326614,-0.883469343185425,NA
2,-0.381578356027603,-0.435835778713226,-0.39143118262291,-0.333359718322754,-0.406925797462463,-0.519559264183044,-0.369639843702316,-0.442918315529823,-0.438776835799217,-0.414452314376831,-0.31377200782299,-0.182076171040535,-0.15187880396843,-0.274746537208557,-0.366708308458328,-0.417089700698853,-0.588711440563202,-0.123164895921946,-0.385011106729507,-0.41970519721508,-0.370226562023163,-0.357234135270119,-0.692770957946777,-0.213352143764496,-0.541602611541748,NA,-0.334767073392868,-0.591070905327797,-0.313871383666992,-0.185408905148506,50.6717058718204,-0.403398454189301,-0.649825811386108,NA,-0.644288778305054,-0.432730957865715,-0.62204372882843,2.4924943447113,-0.477026760578156,-0.463144764304161,-0.105352282524109,-0.324933812022209
3,-0.271975308656693,-0.305417865514755,-0.346941933035851,-0.148539990186691,-0.19822084158659,-0.314053565263748,-0.170627653598785,-0.295999437570572,-0.326806902885437,-0.186378985643387,-0.139348402619362,-0.477168947458267,-0.435128003358841,-0.00622945418581367,-0.28010168671608,-0.318390995264053,-0.228248722851276,-0.250938922166824,-0.235506936907768,-0.311029702425003,-0.25612223893404,-0.177092410624027,-0.425180822610855,-0.108057219535112,-0.307189971208572,-0.294570207595825,-0.22582183778286,-0.21879754960537,-0.440230309963226,-0.350642025470734,-0.243245348334312,-0.27450242638588,-0.452868938446045,-0.438798427581787,-0.26780903339386,-0.319806829094887,-0.357783809304237,-0.2642702460289,-0.394760131835938,-0.404000028967857,-0.32735002040863,-0.257117092609406
4,-0.397361725568771,-0.280021190643311,-0.39574833214283,-0.196559928357601,-0.315782308578491,-0.236612975597382,-0.0554476389661431,-0.463933169841766,-0.31913335621357,-0.143657892942429,-0.333422169089317,-0.412201821804047,-0.196947813034058,-0.428684830665588,-0.249307461082935,-0.313422977924347,-0.310199201107025,-0.199943080544472,-0.311107218265533,-0.211746864020824,-0.240570388734341,-0.253075450658798,-0.318118691444397,-0.28758892416954,-0.347111314535141,-0.283600583672523,-0.443691343069077,-0.148806966841221,-0.390962705016136,-0.381982564926147,-0.137327045202255,-0.332278251647949,-0.227014854550362,-0.404900074005127,-0.116396762430668,-0.162447810173035,-0.411092102527618,-0.362617135047913,-0.261698424816132,-0.239502474665642,-0.357950657606125,-0.239325247704983
5,-0.366432324051857,-0.334464579820633,-0.390645489096642,-0.267523199319839,-0.375359028577805,-0.716649293899536,-0.232331685721874,-0.312114849686623,-0.111117877066135,-0.166156802326441,-0.432543784379959,-0.492515280842781,-0.323030732572079,-0.386153995990753,-0.295497626066208,-0.433621734380722,-0.386266626417637,-0.667082965373993,-0.394484013319016,-0.414984285831451,-0.369036316871643,-0.281676858663559,-0.646107852458954,-0.264732629060745,-0.348236382007599,-0.481660082936287,-0.406360372900963,-0.297703683376312,-0.0895388573408127,-0.523515343666077,-0.273164570331573,-0.373050153255463,0.0361410179175436,-0.236779034137726,-0.395762413740158,-0.372623905539513,-0.177935972809792,-0.502833798527718,-0.416279122233391,-0.279788047075272,-0.375534430146217,-0.230623200535774
6,-0.397726833820343,-0.423216968774796,-0.446053892374039,-0.241000637412071,-0.387815684080124,-0.540693014860153,0.0412024091929197,-0.189255252480507,-0.303931966423988,-0.1028912961483,-0.229665204882622,-0.253654450178146,-0.760220527648926,-0.245455875992775,-0.459735304117203,-0.434476256370544,-0.482116922736168,-0.693614274263382,-0.423548117280006,-0.210342511534691,-0.322795554995537,-0.354228228330612,-0.56610506772995,-0.254090048372746,-0.476577743887901,-0.727030545473099,-0.212086215615273,-0.103867143392563,-0.324993580579758,-0.946305215358734,0.176103383302689,-0.412495642900467,-0.375724077224731,-0.739820331335068,-0.483389258384705,-0.379784926772118,-0.378660067915916,-0.405883684754372,-0.457098320126534,-0.374436408281326,-0.502249956130981,-0.477430671453476
7,-0.234180748462677,-0.452873542904854,-0.318370342254639,0.119712585583329,-0.360982030630112,-0.401400208473206,0.346188247203827,-0.256303362548351,-0.35210545361042,-0.485038846731186,0.2826267182827,-0.37589430809021,-0.320762187242508,-0.494380459189415,-0.245622485876083,-0.37661001086235,-0.360161691904068,-0.190699532628059,-0.102237984538078,-0.364677026867867,-0.253900915384293,-0.190757036209106,-0.491776078939438,-0.359859645366669,-0.32268051803112,-0.381660282611847,-0.35906882584095,-0.193419978022575,-0.333647444844246,-0.432937979698181,-0.283108919858932,-0.375479698181152,-0.374181807041168,-0.3854079246521,-0.303708970546722,-0.278199315071106,-0.425787940621376,-0.393745735287666,-0.416615098714828,-0.389485597610474,-0.359596371650696,-0.295165985822678
8,-0.430953979492188,-0.368741497397423,-0.419665768742561,-0.389156997203827,-0.466643869876862,-0.256100870668888,-0.172675952315331,-0.391948848962784,-0.417164772748947,-0.25777131319046,-0.0410186611115932,-0.5162553191185,-0.316327303647995,-0.291263967752457,-0.38268256187439,-0.86925482749939,-0.359313935041428,-0.514481127262115,-0.432095140218735,-0.419300884008408,-0.441574081778526,-0.31027789413929,-0.363973200321198,-0.147296167910099,-0.363758474588394,-0.505790680646896,-0.223520249128342,-0.565026164054871,-0.423665955662727,0.167292207479477,NA,-0.386734038591385,-0.166009485721588,0.604630649089813,-0.260596841573715,-0.443433851003647,-0.459560349583626,-0.13307198882103,-0.476007878780365,-0.451693505048752,-0.0485545992851257,-0.378891080617905
9,-0.279449164867401,-0.246475100517273,-0.585442662239075,-0.139440402388573,-0.297173351049423,-0.314588561654091,-0.112342175096273,-0.354373797774315,-0.317958176136017,-0.0891573876142502,-0.343114674091339,-0.378965497016907,-0.200122237205505,-0.261799558997154,-0.163093730807304,-0.289933145046234,-0.318757623434067,-0.195440322160721,-0.240345299243927,-0.285020053386688,-0.133502468466759,-0.244806513190269,-0.258631080389023,0.10439320653677,-0.444913864135742,-0.257337123155594,-0.339341267943382,-0.429487287998199,-0.377048701047897,-0.529701337218285,-0.0938981994986534,-0.155640155076981,-0.574912384152412,-0.336214393377304,-0.36027392745018,-0.137320592999458,-0.65873396396637,-0.20538067445159,-0.479154735803604,-0.395847156643867,-0.607384353876114,-0.203207105398178
10,-0.209111601114273,-0.1514041274786,-0.510048449039459,0.256566032767296,-0.320633113384247,-0.294247090816498,-0.0714321080595255,-0.12078370898962,-0.452383428812027,-0.333894401788712,-0.27632462978363,-0.238705262541771,-0.48953104019165,-0.163392968475819,-0.383478134870529,-0.196696117520332,-0.0936043858528137,-0.382064245641232,-0.313198983669281,-0.110508784651756,0.312621116638184,-0.218212097883224,-0.24847312271595,-0.0518230944871902,-0.203784540295601,-0.529003486037254,-0.216303795576096,0.0440405774861574,-0.277680158615112,-0.534551113843918,-0.11954490840435,-0.0269029880873859,-0.352030873298645,-0.23848835658282,-0.504701942205429,-0.13892725110054,-0.320217549800873,-0.885214686393738,-0.295559987425804,-0.374178946018219,-0.284664206206799,-0.33944097161293
