"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,235,55,6,13,250,19,22,216,9,10,18,1,4,10,378,12,6,2,294,25,20,165,4,5,85,3,4,7,93,3,4,24,2,0,5,143,5,2,64,12,1,5
2,272,123,100,21,55,17,7,26,38,7,3,3,2,6,129,24,27,12,96,49,38,172,13,43,55,2,7,2,25,2,1,151,46,3,19,313,137,23,599,232,72,129
3,275,111,337,14,111,51,28,92,76,64,5,2,13,10,113,36,65,55,158,63,55,55,14,45,4,2,2,0,2,0,1,96,11,4,26,90,20,19,95,25,98,123
4,90,30,65,8,6,4,1,24,10,10,0,1,35,3,59,495,1932,139,37,219,128,25,69,11,30,7,31,20,26,6,41,185,14,136,103,90,13,30,34,13,56,37
5,31,66,70,20,46,108,17,33,106,110,17,23,60,14,41,33,39,26,21,74,18,9,10,38,8,3,4,0,0,3,6,21,8,5,7,18,31,9,45,28,50,35
6,242,10,11,142,113,8,206,140,5,14,0,1,0,2,48,2,2,4,56,5,45,32,3,47,13,0,2,7,5,1,0,60,4,3,9,57,3,0,113,9,8,90
7,12,165,39,22,9,73,29,5,119,7,7,39,16,43,15,53,14,2,7,93,20,49,44,154,39,89,54,38,7,46,11,5,48,1,22,36,277,23,34,580,31,62
8,645,20,28,2,225,6,9,156,6,10,2,0,2,0,152,2,12,0,555,6,7,33,0,0,7,0,1,0,5,0,0,12,0,1,2,74,1,0,26,3,5,1
9,47,19,10,79,352,220,293,302,210,134,202,74,191,456,589,161,84,99,269,171,159,11,8,6,19,4,7,36,34,9,4,12,1,10,6,24,4,4,3,0,4,9
10,123,8,30,11,85,40,35,60,46,11,71,9,10,37,56,5,6,8,61,14,22,109,17,62,98,18,20,31,24,16,6,62,15,4,7,144,18,2,339,61,38,75
11,175,54,2,25,502,28,52,758,74,16,132,3,7,16,421,10,3,3,393,61,45,11,5,7,10,0,0,1,31,4,1,3,0,0,2,22,2,0,11,1,0,0
12,126,13,20,10,14,12,5,81,11,32,1,0,34,6,150,436,1065,83,124,153,139,10,10,4,7,1,5,2,17,0,12,65,0,36,37,38,0,1,9,3,8,6
13,80,49,1,12,189,32,42,218,39,4,40,7,2,2,152,5,0,0,219,61,7,120,7,4,91,4,4,0,81,11,1,0,0,0,0,70,7,1,11,6,0,0
14,11,1,5,2,5,1,2,9,1,1,1,0,0,0,2,0,5,2,4,3,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,3,3,2,13,3,12,9
15,74,18,8,18,43,24,7,67,33,34,29,11,46,30,164,277,427,123,102,219,167,13,23,2,26,6,3,18,24,11,11,26,0,30,24,30,2,5,6,2,7,8
16,86,56,11,6,105,87,20,235,236,21,36,16,8,13,89,16,0,3,115,88,20,21,14,4,10,4,1,1,18,12,1,3,0,1,0,15,2,1,8,5,5,3
17,77,31,13,23,86,128,20,204,128,34,98,91,114,80,340,423,292,113,133,407,181,51,42,26,65,13,10,48,98,26,16,42,1,30,31,81,6,10,9,3,6,10
18,241,20,0,7,473,21,22,817,31,13,23,0,0,0,254,3,0,0,384,11,16,11,0,0,8,0,0,0,37,3,0,3,0,0,0,34,1,1,5,1,0,0
19,151,22,10,65,243,65,121,371,120,190,69,13,89,76,880,403,277,182,564,264,426,4,11,8,21,5,2,14,27,3,7,16,0,7,11,45,4,6,6,2,4,4
20,138,51,29,190,110,78,238,153,85,456,48,26,232,175,441,371,644,522,487,403,347,28,28,15,31,5,13,67,34,10,22,41,1,52,17,35,2,6,8,1,5,11
21,588,22,47,4,54,3,1,19,1,2,0,0,0,2,75,0,11,2,165,6,7,140,1,2,11,0,1,0,8,0,0,75,0,0,1,220,13,1,147,10,4,16
22,29,30,7,25,301,87,51,388,176,15,437,73,95,166,622,113,21,31,106,88,48,26,13,12,121,27,25,113,107,57,20,48,3,17,13,55,20,19,25,4,10,14
