"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,33.5752747314219,31.3710688866148,43.4674591128773,35.2514756099384,32.8462525360343,33.7421896249363,33.829283511963,29.6270628212242,32.8348198486086,35.8804777457147,35.4099435383145,NA,37.8339053566598,34.3215698776106,33.4458352290093,32.5682884183331,34.6414640200844,4.77434257166481,32.70127481288,33.7592819898753,34.9227107464481,33.1165809003154,38.9460015512694,29.6128442164592,32.1687171882085,43.831020734052,37.9018346388306,34.6222993211272,34.0332029299841,39.2238436166059,43.7402095881515,36.0937849070819,0.929614436368482,NA,41.3090211839983,34.334279633,33.7625294243819,0.327794543912352,33.6960843725231,35.1737684268614,NA,37.3030071351799
2,31.1289409907257,33.1536674611185,31.2856031587733,34.8835868758403,32.919231829936,34.1718995955889,26.5026847852328,23.0039891783783,35.8345417727343,38.4998310687324,3.47712161095149,43.7163610619334,38.1469273196769,30.0350492562582,32.926486541271,34.2642927658524,33.1367960976138,32.9259645849443,30.6077555516164,28.0808493496218,32.2975990636652,33.2305818636995,37.5883157955911,34.1620875224981,33.1140871973758,42.7170152706937,35.8063163515246,42.0492877365776,32.6780981383346,2.67845179729643,NA,32.7676923619302,35.1852230833487,6.43945120325302,30.0916508987799,32.3901071811013,33.6320814275637,36.0229901567913,34.0875686953625,34.9451065186428,29.8633674518785,31.9055102374356
3,34.0419875052558,33.465354855306,34.6685434047189,35.2531618683699,33.208614135095,34.8359602931964,32.7331561901487,29.8656744283653,32.367471919602,34.3897769517759,22.8805606800291,48.5825399567688,24.2199199917178,34.7700675391497,32.5590564879698,33.7551557315628,34.0469634127395,34.1119093266648,32.845504491557,34.4795485708978,33.6282009376112,31.8506945469297,33.0902859837469,35.356309330686,25.1665645154428,8.54910410916301,4.27295763469931,NA,4.15908984523109,NA,NA,33.9028761367349,5.15060805608505,3.47391995560507,34.7225192205672,34.138412503552,34.0882051625238,34.6089595430203,34.6162364807046,35.0421484829025,34.9727500859832,34.0988926458214
4,33.1731482592867,28.300436846294,35.5801984258321,38.5594435273501,20.9856533001772,37.2741722653706,NA,31.7231060584192,33.857066822392,28.0224374868919,NA,NA,34.2743032837989,0.134668355887266,29.7088493469461,33.1086443223515,31.3913635178877,27.3079011863595,33.0231375012819,34.462282020736,31.7135252117171,33.1929651780942,34.2071886734745,35.9827701270107,33.1390430737299,26.4126184140745,35.3046307609401,33.1788723057681,35.6248228316246,38.7977164014821,35.0006452807523,34.4149131120463,36.7220280404876,34.6224389820143,35.0870798532468,34.4221413604568,38.0998734871046,35.8932868171574,33.4692614465193,33.556864090053,34.6978581776744,34.3997180642722
5,33.7017870213947,33.9381710597018,32.0687900096564,16.2876598400362,34.6212881994697,35.0226639714316,26.4437341016578,33.6310633277929,34.427570119376,30.7015183421449,35.8324575698132,33.245106331537,34.284649404781,31.0710532566792,33.6685925436879,34.2758114221262,32.4260514098538,27.1348338973645,34.2791708841309,34.3400502655243,33.1215933844208,18.5758216247408,38.9356145544099,28.6142902244898,31.5281141320587,4.2866174198219,35.2123517613769,NA,NA,37.2542325344473,23.5107580259074,26.7238943366652,29.1157660718524,34.7940513844733,34.9123914311795,27.6802500079373,29.5902191288297,35.2975671199638,31.6533283271786,29.6950207745545,26.7595130617921,31.3577783348566
6,34.4452179339477,33.873434675334,34.810435602975,32.3773411673527,34.312535834589,33.029578123026,34.7201898740022,34.0359696670141,39.8730085483207,35.3815229211391,NA,NA,NA,4.58665651534587,34.148610192822,5.19686456380903,1.70997974469755,36.266210018657,34.349369229957,40.4372558847018,34.6128252776587,30.5548358050032,31.4553681386873,30.5551767515087,27.2174700994828,NA,3.16488447414653,39.1178111339375,43.0184712363971,NA,NA,34.0350434130414,36.3424025388812,5.38750294988854,27.0756412013745,35.2771092695798,39.5230084093694,NA,34.0258666284322,35.9751447549282,35.3348848130248,34.799506591457
7,34.842682863011,33.977316151851,30.6196874263986,28.3291561890414,24.7380046519555,33.9595609292794,33.7005130650909,33.6089397230243,32.7862276525568,37.9493605621962,34.531488700941,31.7916475253239,35.1042463698453,27.1857965558861,29.1688957364273,35.1461051797928,30.1618296152157,1.02819238022088,40.0206449829868,32.1159115026672,32.585905285579,27.2655467410633,34.8063132322199,32.6550815982939,31.4018108126925,34.7462646316434,33.8377217563539,32.750259236306,36.4985541991555,33.703199484114,36.4650267627329,33.3966967183654,34.0590563785221,NA,31.4658845554567,31.3960573760963,34.0656085800463,35.8893064381488,28.5930216567611,34.4672277709599,28.9324104707023,33.5084144330101
8,34.399224020135,34.4232614235632,35.1515830510053,39.8344717810529,33.8721736830883,34.1513684437386,35.7371105803579,33.3937159878995,31.980888598399,27.776095940689,41.7979249700078,NA,43.1913198811602,NA,34.2797676607087,42.9385213070436,35.3658182160583,NA,33.9086616843132,31.9297221887606,31.0614670025667,29.2267938602081,NA,NA,30.544554151549,NA,NA,NA,38.2841233817482,NA,NA,35.2936239094773,NA,NA,43.8235501494505,33.986801749321,NA,NA,35.7914863391907,43.6741192519533,37.0388268576031,NA
9,34.5595307837042,36.3894893107924,38.8526560629593,33.4088786106034,31.6294264508234,34.335675868546,33.1085189957188,32.5273225252523,34.2330523189691,34.0295369520818,32.9269707681124,35.1998216234075,34.0877965138259,34.3697721871155,33.5075975734558,35.3701934372526,31.3142549932277,34.086847306168,32.3068472387952,34.6726760761041,34.5376673580173,32.0270757653017,35.7098657607911,32.5691556550379,33.2760208524824,44.2931327269771,32.3860826601027,34.4809451226586,33.9083968714605,35.3938580585529,30.4248213359535,32.7885271685918,NA,33.9036755682875,35.4176317456099,35.1286199492062,29.8590262669009,39.0056616186066,33.1449217920532,NA,37.3429676103301,32.9655135534567
10,30.0815908863203,36.0091614155839,32.100181187696,31.2786552726065,32.6758701592591,33.5552233810568,30.3611991115702,27.1972044694635,35.1728558635186,28.7830510244953,35.1841969082233,29.023770986463,35.2268489308916,29.7750125772398,26.4407387664446,33.8789302823212,40.6201917140338,25.0141521387517,30.7212679387586,34.7734082383137,29.1813838746759,28.9813045330724,33.2760126820347,32.4218616771552,25.6946659645382,34.5538826805715,34.7534905026606,27.491123815756,30.0794908591845,35.6420840685362,35.8468379928176,29.8007340133773,32.6188514438855,37.3731929586971,30.0520660428031,30.7198925248119,36.8716754415888,1.23893244758338,32.0940244188435,33.7279995653206,35.844163080462,29.2892755541048
