"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,742.393784813793,143.484668206098,92.9894297298417,643.681341814836,1028.04537839353,117.495706168882,132.105029484465,1044.84905021991,797.79075262306,90.5622791112388,177.047684552188,NA,95.8152481634475,90.7673527539023,532.731719270918,42.4635138536434,173.225883952067,39.5811643551638,718.371529314881,107.937716619531,129.971264454662,316.475773885581,48.8768298057833,244.111253511854,631.473806267206,97.9591177862244,587.295249428923,117.593281684848,244.455646795886,55.1940443977478,72.5422502938938,505.730245751412,8.21557704084531,NA,41.0790052788034,466.530466148898,723.041307330291,608.403036206483,479.160595773187,1495.95571595746,NA,282.34367432803
2,722.928804492695,113.147663540636,160.464431454148,930.258981918978,231.864851715335,46.5633558913074,52.494563576288,160.880241731112,195.977951839198,122.893070782346,182.564233172871,48009.4935967508,15.6000459925049,533.463217100041,419.833605364725,96.7011961845817,345.180212110456,184.956434469981,518.884222978034,311.671100941701,101.887489431084,488.240833006543,449.540195934409,592.799313356969,248.625376876724,171.7348522059,2575.25969064397,139.462317078422,129.771027343717,11.5668797181536,NA,569.484582134928,198.27925580574,27.8043024049255,116.067663948742,273.231092514399,115.43561409884,88.503037487164,312.844152534096,252.171587858744,125.065970827615,91.6236246761764
3,2611.01483432732,184.100622595177,203.4179735572,142.682564921768,179301.593871461,106.6953886716,122.954876791583,422.952913844007,105.507376676508,261.627849578506,85.7439178942948,204.636648912963,48.972842693456,258.429928011812,511.362521010468,216.89732124202,222.474842056861,163.145800529356,638.828215957071,110.60792071085,158.914329290965,581.250067221482,100.409882639091,859.696487886926,631.27101344328,128.295343599666,68.5940886323809,NA,379.188990985562,NA,NA,272.70781911174,535.994464984749,138.385103174619,146.254629890861,2072.5407647214,67.0797366453802,168.477189710356,222.105832123853,184.477627124441,164.927420840131,164.996989588777
4,2535.05462703375,554.386353927337,319.31144627606,708.782271995696,485.458073948518,3617.90808538292,NA,187.908534818272,51.7014689932768,113.030408154507,NA,NA,239.170539980321,123.643909651512,2823.25583456853,275.019309117975,312.538047508604,295.036463428683,386.663400420709,405.599113393264,256.281540156745,437.977075491956,160.984623118064,575.426200151319,157.759632365011,38.1295680306317,91.761386288461,140.40163019885,612.931064873826,242.901617728446,3289.08034964186,953.744575494918,125.281053499423,222.089338764554,213.872951627383,426.122045968793,101.509104070676,533.774306409985,196.788162049367,133.531417930873,241.067710082119,277.095831293447
5,746.41066106503,83.480467554236,374.604513861526,3282.55192571847,278.546984483675,208.644816519042,273.95000106531,478.925804008866,291.200800376997,131.821054199293,19052.5170599737,62.0395392694671,229.981071388275,82.2640817769445,153.312364090889,134.248244132691,252.890323164445,190.54648527091,1723.72719968536,217.777640050164,274.782405417162,60.95616898,159.64593705948,228.332307922515,198.825877715364,26.3509344785197,45.6865234726836,NA,NA,54.2772824903033,229.7521729228,244.084824798696,292.479785553975,3345.59481005464,406.983502669461,539.870980844827,1360.16702867826,3839.64185132084,156.473819272277,261.697181820368,183.952163410101,150.362841595357
6,727.233239693007,185.99269940673,79.2004356936861,2587.59918669316,373.297762883461,242.256188499933,491.845538430692,1098.60014352822,225.748891404291,390.553034941561,NA,NA,NA,25.5191857356606,2489.08219504885,119.251424915437,258.831731999696,51.6866103142073,988.642634967132,654.652877906173,367.497652144766,399.725610501766,53.8098174567455,976.991309053568,686.858226731931,NA,42.5734088344803,133.399090686917,97.0086501797165,NA,NA,3146.91226831128,71.6019965702728,389.620741472841,151.859771212081,1771.16895502543,6579.90885725074,NA,314.919241277289,3895.51720255551,591.914532005392,652.665290239535
7,525.980270951454,197.501046707915,113.59651785095,395.384078715279,99.6846512875476,147.870088741388,231.20298667064,113.167752411134,126.165040378034,193.091928140308,64.1339932088504,125.794941325121,57.9891645609693,134.791655671368,471.789565262059,198.083995820723,52.9634986459786,347.648143896994,13418.9003764729,282.330720749845,160.125207058048,198.128386827014,136.965035597309,234.903479088897,195.499449286918,129.784380038913,105.60613590832,137.567135638824,318.765817040998,152.77224648993,171.571018191796,1019.68208294913,321.673716786704,NA,116.378345759402,142.15612561788,143.746149228218,75.5974132513212,1125.19247288853,233.668605473095,81.6009682141343,124.594526849879
8,846.330039498551,154.501847745712,504.753461789409,361.078760240136,780.091771393412,90.8377974260095,46.7150351872639,632.59410734494,1847.58164763364,65.2192808819457,188.777908761295,NA,50.2769808956803,NA,403.855165814513,74.1058699378851,146.781386616048,NA,764.286341602329,186.203863072633,127.336132299594,328.604153784023,NA,NA,110.766415420358,NA,NA,NA,2378.60958898944,NA,NA,1008.21032459707,NA,NA,234.374687853995,330.295270935805,NA,NA,277.967784439061,462.633291239073,74.8379740152179,NA
9,378.112035569534,147.33467063282,143.468182160475,692.100321436608,917.143365515643,706.562071945879,833.944837357674,1264.17193056454,635.32654269662,1690.76740395366,713.87210946166,1562.83332009776,772.931878480468,1095.02587094463,29744.3182893935,876.906715575512,134.808741117892,607.007477146231,1355.12791254841,855.615688983338,455.557646447476,433.866797888966,76.473411172796,157.643255895009,730.822208943273,257.476736448841,96.4294952918448,331.987782779243,551.389428672736,142.127667453702,1718.7867721214,1130.83558131135,NA,393.921857106354,123.59291128484,275.663709028791,398.060023607712,62.2097764211547,5466.19540685975,NA,593.337637197469,1248.31270489148
10,465.49741779264,195.57813019743,120.713516436997,240.825431746734,203.15996578438,107.367877900432,194.067097467111,180.39594806772,165.228684526597,177.852769978968,1266.9086681637,555.823154462897,495.867356841709,83.2834927258702,329.625842906396,2666.00672681398,636.7370364383,51.6754453296452,330.370902484734,70.051256818503,80.2239507562611,333.952826283688,260.408020308183,187.203158555337,507.173109796695,209.81063729614,83.3250552440572,232.827725638874,424.556447469274,79.0408198604955,1064.27927781245,697.700043575872,137.715504870879,231.866125946256,54.6451736223845,681.533316775976,140.087785092686,8.31754518373234,228.09089043097,116.867558044148,309.965280991305,337.430314057632
