"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,15.8981565536867,21.239297629626,11.1382841992903,18.6772759363382,25.0482439474346,31.0617579389394,38.1019687933019,22.1493383468199,32.665726573024,21.6795717490717,33.2318569166998,NA,46.1569137947825,59.9147587968451,21.6064631606506,18.1095992387215,9.68408116800222,30.2478051280856,17.2383056559669,29.1510335579751,15.5787922709266,32.4610941415674,70.6152968096918,38.4681542976052,51.182355676776,86.7108269811101,34.360780556421,77.1033612663957,38.2896951262656,110.277017843304,56.2137079883808,17.1009344340551,41.1776270829338,NA,24.8636630959212,29.0956218746517,23.2143818474666,15.8494151612165,26.2400808131236,50.467828328145,NA,19.9345874383527
2,16.0030738265381,23.2869293868519,21.3912232852451,17.7335846353347,24.1351247682353,22.2654306161263,21.8288251313401,21.3563651103218,27.1375641651916,8.62719454383008,17.1229472140508,71.1403425947474,17.3514547728108,27.4094482002141,20.0153057681095,25.3652627038096,25.4873333707068,28.3758778832447,19.011156139901,31.3244212902174,15.9231602468922,24.2883058199973,35.4447967175362,35.6708014701113,38.5387294492379,28.6926436567772,94.1579337785918,68.0942327492608,28.7841960046679,17.6676248401334,NA,21.9131921095155,26.541880138193,22.2660643500963,34.0597310372749,23.0515695445853,24.867417885398,39.2583788377589,25.8391453757505,32.126321969282,21.0258574534608,22.8358555213585
3,19.6277562627095,18.6171073416244,17.3367272519933,33.8038124913239,23.3011981304608,24.9018347176186,22.1475328341771,22.5562246267223,21.3311956869141,21.425416063359,20.6579367998818,10.0685742764505,39.3529304205369,33.8779998436923,22.1754435230241,25.0822677204928,19.7824029044293,24.6108124189959,19.6412981722654,24.773221922255,20.613455158166,20.6857665727699,28.4463546727202,41.2475201384522,44.1962827395376,115.662524609767,81.7052737997427,NA,83.4683531300934,NA,NA,27.2987492772196,23.133526502399,12.007154625784,24.302707895516,28.0622064901859,25.9682559371206,31.3540703914727,30.20082859001,27.8309462634851,24.7615295305687,24.6499775843626
4,26.5384754337222,28.0081802656819,27.6287859681635,41.2333791779291,52.9261290328629,42.4000894262448,NA,25.4543710409839,44.686694528399,35.7349438310529,NA,NA,53.6878532444884,17.2123392581057,54.3578648251103,34.8248788478397,39.3288868286896,38.5738107730647,27.8366722659454,35.3953378765682,35.6700404031937,55.7084609479589,60.4924466909205,46.4184938109553,64.1033416761245,140.302914639625,62.887589127229,100.449390779287,61.6580397666484,73.7152899689715,56.8750318143291,44.8632288332368,43.8023293701008,39.5069024343098,61.6332327809535,53.5075405359037,46.4448191707317,41.9316700928862,56.4141779109501,39.914112230467,42.6300998648116,38.069038393696
5,18.2974995473391,21.1719028848208,23.0859550541374,19.5939600657821,30.176823178419,39.0570904839093,32.6163771469951,29.4454131280955,31.7917400235718,22.7817681014427,44.1917062664156,41.6870109568205,48.8046707532718,27.9698911224494,28.1694908550565,25.3606189072747,22.8402518544585,32.0135973390216,18.4027759549239,22.7093207579164,20.2674066486651,31.9376867013565,27.9955502614151,35.7603095176857,44.2265170252946,60.6193948717991,70.530672614594,NA,NA,36.5588602564474,39.1556836445132,37.8200131104634,30.8210899306303,58.8070207127766,20.8831326586404,30.7612818097315,33.1997271140601,34.7096469022884,40.405836374739,35.4904605938252,30.7471803480724,21.4869961250564
6,91.3273033875474,113.381866913329,87.0483176005096,88.1597401831995,144.757402140068,76.3678228867447,109.288319085036,131.852695908121,140.32045835842,78.8024138531079,NA,NA,NA,142.803509306817,125.179587954359,77.5671290001541,75.6937235431876,91.1090729947208,95.2334355916078,142.314967611122,96.1008263777036,163.714497889237,263.83434339529,133.210703677295,146.209250051303,NA,185.532503841581,203.770847283057,119.8692213274,NA,NA,120.148525597696,110.1718960919,58.3636077798364,59.3053240126681,147.398795986437,140.813116006133,NA,132.925713039287,93.0654383010071,134.235607775157,104.622913431608
7,27.8822544637824,27.4083322818127,29.7290670968383,33.7472529998616,38.5523933043515,48.0397830789011,32.982367288198,29.54442338757,45.0829960439758,20.276534999055,50.9071102085887,78.9716401388067,55.3842366122963,72.0714581875702,25.5482400121671,26.5490912278361,31.5226505683868,11.5253205461518,25.383350687841,34.7519419143423,41.0461725851027,31.6162158662714,51.2080559339025,40.0927021001714,60.8409687006549,107.316412813503,78.0327640460507,89.975182484428,50.3499918395656,71.7594016783259,42.3158932879238,55.8561117210535,29.1660414144237,NA,30.451079732691,35.2723031894052,40.3378280612702,26.6109279214359,32.0092471122295,37.9100724126938,28.0798299128812,25.9041920432979
8,12.5527720234062,18.5025568552556,17.7880165385449,1.23757498421241,21.4225757773607,22.4325869750342,13.3338622397084,17.0751460928734,12.875919417746,20.3147036189796,22.1503871075896,NA,10.9117948027181,NA,19.8657604934609,3.80234917686726,19.3406837271967,NA,14.148978812726,18.8645456386491,10.0814866048946,21.1140527017051,NA,NA,55.850944141187,NA,NA,NA,12.0270497144804,NA,NA,18.3077554554272,NA,NA,0.984850654393228,18.0349730760823,NA,NA,19.0490767236017,17.8342025644961,13.7535938548222,NA
9,25.3701886741898,28.4537981507707,37.1194787666417,33.9256903047904,45.4093160830185,38.3115206650931,41.4463709054364,44.1886075553222,36.4659432679522,30.4057897194271,55.9413168165027,59.6307008411974,55.5468569534025,56.0200302158881,43.219053461053,37.6677687993482,41.4368316605413,39.9546738366674,32.3397259873383,32.9842288933787,36.0952358727331,59.9361506342355,81.2092229572762,59.6362969874594,79.4231522086256,61.7054614259005,48.2038306710991,82.8480200673072,65.4851516943349,108.24927105978,81.8732638597038,45.9643954209625,NA,43.0145654352092,61.2745753900491,47.4380119640988,25.1472780961569,30.4020439063223,32.8660682054968,NA,24.0299951497541,47.470579945379
10,69.8138241079387,81.2671560647533,105.216922260567,49.3609078620389,93.6240981077369,128.581510042848,75.0686027234107,93.7750170984622,102.949770919555,49.900418346346,156.640019309149,238.553965227276,79.3205435976096,111.002122518859,85.7349856145646,72.2705462911141,151.548642679878,76.1413316945092,72.4738739451174,141.663573073404,62.3619660363679,134.637739156492,109.386821654977,71.9409575822301,157.229105554148,190.873831086896,170.693183630592,181.743893908713,107.595276506208,112.664701467661,155.312947468997,93.3522640814207,122.646695995432,84.3088472494313,48.0471218112399,128.897476450581,98.5646224666077,64.6178489241516,121.251013027397,124.944320601818,110.784463551178,75.0084210257655
