"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,6.8739241365012,5.94548192459177,7.28627064253621,5.96718754752849,8.23909959328463,12.4162299297673,7.77344041208158,9.81878733233884,14.4629288794621,7.4632190980756,6.56302409896332,12.4643677860961,10.6845886625834,8.87556676979273,13.0899751940306,14.9072611480332,14.5078758749358,9.39929076824257,9.4461045982914,12.9211533274816,9.37723833308029,4.76299984555528,6.2841538177391,7.68620259767139,10.8684129987128,NA,6.57812794617651,10.1642815689467,8.3444988779004,NA,4.51860790615163,9.03357489155209,NA,11.8170946691714,5.59798070951743,12.2696727947798,NA,13.2876270792922,15.2379710187045,NA,12.4689693027578,7.7589912699252
2,8.39483837047838,7.68720986882617,8.82863743796591,5.55234996465201,8.86186579714077,15.6295298308107,7.92604702211521,9.52529510940814,18.845686069207,8.54844058428782,8.05003520871058,15.6870861840004,10.560583874404,11.4556803494371,14.2627328916248,18.2063076852571,15.3703606801673,9.35536098258808,10.6351146452557,14.5148747304578,9.08372605150742,4.85827808160677,7.40524878795466,6.34523535734353,10.2594611158851,12.031694386028,13.4883441928501,9.84092510162647,8.2570983986934,13.8930536849784,9.76075759999889,9.60630787089871,11.566835346843,12.6418278694738,8.74158842580461,13.2792921813181,9.07129247640006,12.9567192072357,13.0894632756019,16.324102387471,13.5267882735035,8.22804142581622
3,7.12855486553727,7.93046148441383,8.48164207316634,3.41190536730438,8.98985775320646,14.1412896061856,5.93858901189938,11.5560099026765,18.1831826067064,6.37519569092591,NA,17.6503567112402,13.1869974655905,6.91743938754895,9.94381773056581,18.4987186658686,14.1628464013237,8.88838643211518,6.77491687750172,15.3547386324721,10.7320138169229,5.27909069178414,5.81163602720662,6.9502610314993,9.17434548764162,8.55049551284005,8.89228898988816,NA,4.0369527946858,11.8764773273926,11.0453995545812,9.98040734337316,13.7742870031334,10.2042555828324,8.45414970120335,9.37800567276964,11.3679947214404,12.686966965141,12.8479378118802,16.5145845661174,13.7082381521575,8.6808317565308
4,6.8056434888834,6.70903087005386,8.85670834490973,3.74357333813823,8.43964686419116,10.2879239309952,7.33638050475096,13.6020805627842,18.3653894629509,3.43131509307108,NA,24.4133312302799,NA,NA,12.8151412454274,22.2448739050489,11.5051889902813,8.26310648454178,7.21141587540329,14.1966650268257,11.1455629586092,5.80100366934473,5.71233856238399,4.872251596853,7.86054391584415,11.46367895598,4.92991680595533,NA,4.09211513255294,NA,NA,8.53363032693502,12.9550485360905,9.40892934779194,7.82426255605696,9.84552169920724,11.3813713100714,12.9773029993708,13.4696146244062,15.7697666280547,15.0050303143851,9.05708670336937
5,7.384538856612,8.0833451203251,7.82970384414526,6.04791522102156,9.25824406849719,13.9729551882391,7.5470552859378,9.9677436922233,17.447416848658,7.6176826639573,9.04778623413355,15.0485474591557,10.7591195703909,11.3477932862561,12.3741366546476,16.3721019692071,15.0512858102197,8.45904730134487,8.93447369105072,14.7657315418995,9.39886884373096,6.39358685891262,6.19802120921408,5.52937002257356,11.6479018127668,10.3339270949384,6.26769392701519,7.36527571217371,10.880488491391,12.2363787103179,10.0240219572846,10.0574031270489,12.0670484218187,6.52923984072814,9.37165628499547,10.7743238248288,12.6965639683969,14.1728033657467,14.1121101997539,17.6831610446139,15.9161152377261,8.18822395456501
6,7.16146399789755,7.16700057575715,7.53356078729597,NA,9.65604781994542,18.4258482739864,6.861067699169,10.1422247353325,NA,3.06482230018283,4.95351020779028,NA,NA,NA,13.6672027977553,15.8621645605929,14.6337427517235,NA,8.56967929698511,11.1252248384722,5.50499261636537,5.76694857281304,NA,NA,NA,NA,NA,NA,6.46330075014145,NA,NA,10.7264512558794,NA,NA,3.88845443903645,10.8423801989394,NA,NA,15.2626330732014,15.7203512913173,13.6599541472296,8.40332231914796
7,7.39388982301564,7.02292404564576,8.32202280850179,7.12863021456398,9.14529976797663,13.3261150643648,8.29929271781491,8.804234821764,15.5148642900398,8.33015594659181,NA,NA,12.994197171239,9.44412945056553,13.1999865175875,14.8094821601821,15.0906579323219,8.31254636953712,8.85146722017106,15.721246373492,9.63196604288384,6.0414267751552,7.73824292446754,6.12101125942007,0.701152135553239,NA,NA,NA,11.0589315264091,NA,3.27365694117228,9.12468188997918,14.0525704023425,10.6049674578369,9.373770320311,8.04069287669126,12.3417520021837,12.3594046119649,12.3987264151285,14.3666901774718,13.9191182274523,9.11351672958738
8,7.68464194071076,6.31302485957148,7.54526516297057,7.87904433683636,8.4888213507455,9.86544881491417,7.98793342784793,13.6470422050432,21.2275810396193,12.7491118226598,7.46051360643567,NA,NA,NA,19.5412282626444,NA,NA,NA,1.67897657855701,13.227829614876,15.0875570216126,2.66049494356325,6.91615398405153,NA,9.25498669237967,10.2485960703556,NA,0.245980404301967,6.76710243346098,NA,NA,11.0361200011533,12.2309896674727,NA,NA,10.2119836583033,14.3937732364511,NA,17.5141492894692,12.4058348185785,19.2720008389845,3.93205928519039
9,7.46821746532112,5.99694790849898,NA,5.19551260681634,9.50577245586905,14.0761675097189,10.6323483431238,10.1205233068031,17.072385795754,5.83216043765513,11.2791082918028,NA,NA,NA,13.1593997840598,10.5930445239281,NA,NA,8.67062919043062,13.2839596067114,8.51830322722797,5.64735043607501,6.6153036667791,NA,9.12979766699853,NA,NA,NA,12.9038414380198,NA,NA,NA,NA,NA,NA,11.421445675146,NA,NA,18.0375857451907,NA,NA,NA
10,7.13015664266759,8.46798962084773,7.66257269713459,5.84750925298391,9.90981945070942,24.0139402532523,7.21532703885627,10.4463318573236,26.5829996530737,NA,NA,NA,NA,6.48612489395598,13.7033024395139,NA,17.4230754411111,6.88335589007448,8.20433829665689,7.77361437730151,8.84624663060161,5.91438658463909,3.4906988573823,5.153136359916,10.5049663813807,NA,1.04727242816213,NA,7.97005148896069,NA,NA,10.5762215981918,17.6705201516036,NA,4.79373739063337,9.84386131661108,9.58652421346311,12.3739766295332,14.1112350748043,18.1339256536469,12.5872958541527,8.15278072812836
