"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,78.3382227707712,63.7349811238359,89.7731004828312,73.9565288449708,85.8031678832884,106.880060886518,81.1157111901354,83.2989902299842,96.2686949899662,108.585786839453,65.4821061494684,103.861170579153,78.9157807840305,96.8486479100377,81.483696833737,86.224096421015,115.769409545157,86.5852311993828,85.9068391781012,90.2953096919993,91.7165984927014,97.8282209095566,61.4970892557223,172.505492727716,60.3777550969701,NA,356.527803103441,71.7574066950114,82.083504208192,NA,99.4584050781889,79.0690759246281,NA,74.2341306308086,66.5387237026037,50.1956362825754,NA,83.367419571866,101.680458405979,NA,96.2504508748532,82.7551481387915
2,112.917126799534,124.453421802045,122.5064979812,113.379420806473,249.331501842338,140.255594813224,197.231229490359,96.0424327047903,146.996834705102,186.564052452184,104.100973444001,194.680477178713,154.856612915932,170.191954759049,148.193487474739,163.026333304207,139.435880396977,110.783544619566,125.369871004857,126.474619356455,92.6400610755768,117.345241630176,147.270707249439,117.573750972544,147.367712905723,209.916852712462,127.482812856639,134.229641362499,195.590775766696,283.752190668559,195.830504651491,164.6414438753,142.126152045866,107.980172445876,123.795794967437,108.46676516798,82.4578122392446,121.448969462457,129.207523701413,121.561232140463,163.85565346373,112.017195042285
3,127.485396300747,207.390185308736,165.478052385717,462.487945260058,119.683229364157,151.710698468887,113.91585719518,152.384063366957,243.612390727167,130.307971678981,NA,187.357435343089,182.781223330382,28.017726299001,176.828956968373,320.134839580019,207.185396884868,149.606957743925,149.759752773579,170.608731200628,174.531827380603,137.697243800377,159.854639856098,152.462952114044,129.141852011982,172.108290778614,138.843464824779,NA,128.28229967068,728.332617145025,192.280999399087,185.628779503136,154.266159520644,322.241005338809,318.569209812175,117.435816479204,187.216041415441,200.489520168245,171.139718648216,279.763460469491,182.684657040516,181.534919055241
4,133.833187109716,299.560102742652,179.102982107677,113.034742586655,89.4014418565242,725.891530292579,291.406215098719,172.183432186129,243.247273455923,81.3826542324859,NA,442.75099475132,NA,NA,163.043901512414,260.56022828572,240.250752336226,118.702419145137,89.4677301595773,295.550124341948,347.894197456839,127.480909797752,272.484143465188,273.74322255184,112.209314735223,9.54195896016554,223.51418088826,NA,186.342160074564,NA,NA,163.634188666777,239.382893469907,159.750500401254,289.655824619709,114.85898588986,248.979306757084,313.865228315595,161.316016607126,331.248716603872,266.154029122998,219.3992467614
5,169.847404229272,189.57635198985,155.383182912494,207.626509548189,124.361542585519,250.719192470778,226.208725096413,188.119928422256,260.154479528591,276.844754254418,143.561119808923,157.221146095319,189.072927020396,277.423113790176,161.759743348157,239.746133420284,252.080567474181,200.597142663903,133.799153565991,239.362236621006,291.322322051961,103.986663567274,160.785466453794,164.963798001661,119.342227500373,337.935361652937,231.378805665268,148.489641177298,131.2023358258,150.558529549239,189.951455772388,139.105836766826,370.016576801391,309.938226813072,216.057906813497,132.15226169607,208.796113047012,139.758351776972,154.8755751447,291.414873894931,178.336774672178,200.056238139025
6,124.895234224616,109.851244695061,160.955559401083,NA,115.200818833968,60.6423164406239,158.477253597877,119.963213727376,NA,83.1037635934078,76.172207571072,NA,NA,NA,122.208779163521,154.741854810298,335.836862180709,NA,114.827481951861,65.443472735387,120.244254470192,109.705447133303,NA,NA,NA,NA,NA,NA,164.073316236218,NA,NA,137.8990939912,NA,NA,980.197261648748,116.997300547015,NA,NA,169.691492182123,131.610819057353,251.789753405982,23.3729241142179
7,149.698729150779,157.804911838839,175.467324485953,153.639097137946,146.384323663373,223.412094649583,204.660075371422,165.456144318786,271.716769775839,166.09157795966,NA,NA,259.430777852649,75.4930479987043,118.461888582936,262.725023226794,235.479768249576,179.786386117651,138.244597808918,271.331346398358,190.827789266318,102.24306372204,125.724571570128,133.456949685803,241.772379260311,NA,NA,NA,82.9686613893375,NA,369.658271727157,164.76260606725,222.218789603283,190.085254450308,201.222866171521,120.703690416651,200.892158143563,226.802648024965,180.388130447787,371.703478218819,229.995067785707,236.425600871167
8,38.7349066043464,296.140569138099,685.79475650911,86.8404355616513,84.1232038171382,169.696084590409,70.0650998841781,339.65576680351,444.322599271383,133.11803060962,96.8544241714938,NA,NA,NA,92.1533048792001,NA,NA,NA,676.494603911547,199.469172424595,166.943445946683,222.82502685066,340.118940399957,NA,216.623512648866,913.768749056535,NA,137.145507424256,21.9313992556842,NA,NA,129.376738101536,59.1791642062756,NA,NA,111.6400388341,212.977219694386,NA,138.568954664127,96.1564395203249,250.905954485277,53.8827279881329
9,123.270723899359,186.130764267426,NA,84.0568119275179,139.145839346953,202.450945101668,125.606465977569,170.261462297703,132.722167847544,419.613873054775,116.276435783336,NA,NA,NA,167.904778960943,111.413604277395,NA,NA,119.48146297083,173.910751831328,138.413296509194,151.106573994815,123.67821286511,NA,181.368562084017,NA,NA,NA,178.928502477367,NA,NA,NA,NA,NA,NA,192.167351187509,NA,NA,146.493773520358,NA,NA,NA
10,123.447272489126,133.495803735552,204.490176972067,160.071083477095,163.364109023706,56.2628951978929,118.087090186434,298.452317242328,3048.49209378861,NA,NA,NA,NA,72.870338200153,177.337093480457,NA,315.881222307885,127.811796427906,165.45143577258,320.575570640666,110.077096935486,135.394165390341,100.328327361474,141.521048774714,119.182261181525,NA,388.173650550403,NA,215.925623332175,NA,NA,143.154498696442,107.911280897098,NA,146.366241496405,128.539057411909,110.753965756192,167.034142527817,144.245440034342,141.986389827079,159.625715811582,173.710784057569
