"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,18.6511398224824,15.0550503031013,13.9899250007689,18.605554946643,17.6359999601865,25.0755054589809,17.8556974555574,21.7883007245458,15.157965707872,19.570989679943,28.540929038043,NA,26.6528415506246,10.7884291218718,20.9861201464921,26.7044048667904,21.5887847881835,5.74651860520494,17.5820733022125,26.6816743679805,17.7710506294931,14.5306868314747,27.0528287541883,6.0850088531696,16.4080171208609,25.9096333866034,14.1083809796991,24.26682176365,19.3959779972624,35.6336796887939,10.2155932630559,14.5745758758361,22.5489100513633,NA,13.1905979840382,17.7817389217884,15.7822087920688,11.0394317437462,17.0954548166257,23.8647226936245,NA,24.6381537079835
2,19.243332107091,27.4146575096785,22.7567476013396,22.1380682851728,17.6413430831693,28.4652958862185,13.7624248366745,32.9534686767878,33.760434855328,16.8203022329857,37.9836922822687,36.5802472074165,49.3700080483704,27.5896821191104,24.177781046113,28.0504321481862,26.3335657030729,14.7839494310465,20.4472648911989,23.0925709694524,25.4085968145995,17.5318762014378,21.7494739156113,16.2145227909436,18.0859918030007,31.4718896925999,31.723168590025,19.4144821465891,16.6271224125914,5.25529403721265,NA,16.3237805482934,22.6603291429901,60.6452128330139,21.1969285445718,21.8036996789992,27.3372830496677,25.2084847510217,21.3654455675362,31.9343123897501,28.0441189806187,19.3456980963245
3,17.0503868170017,17.74218253509,16.4105144115687,14.5655473805576,15.6010314301359,20.4179440593409,18.2581330931906,17.3085959417875,23.6103357242811,18.8975568713315,11.9379756580403,24.9432226445672,19.2252362590776,14.5399995300344,15.6231317754263,22.3999024897455,18.2562556535198,22.2182764322102,18.1513654748043,19.4234676509151,17.4709867723604,16.3379927966912,20.5510421512984,14.1063045494361,23.8639940914377,6.40262846429533,4.91493284118841,NA,7.06287474839146,NA,NA,15.0251251030573,14.3788577032003,5.76147889224234,13.0923656811308,15.4161300843434,15.9026729187813,26.3096491085317,13.3642688373806,14.8101042768494,18.8215564682117,12.8698797656039
4,32.4917722128143,33.0381051093641,36.3649522064374,17.7809115668769,31.3901558719573,29.1528315633849,NA,25.3212277205587,18.5708876938133,31.1797251074552,NA,NA,29.8416150670805,25.5875381373008,33.3566734561998,38.384592848251,35.8742433954235,32.6681522040549,38.5285822430031,34.8068503857362,33.2431284298271,32.2971749689547,39.139190167463,36.332203377725,47.2336718509488,20.0048248773567,38.8526740482233,41.4461093377072,34.3507781206775,18.2013795287398,35.3020110093865,35.0247928516072,65.7414842027149,38.3310648297078,40.4683118201035,41.0113105440937,60.4981696124778,43.8438710857989,47.2550176933898,51.3497073126775,42.8454388892918,33.1440225530618
5,17.8633185955678,28.0122617537866,24.3543649820958,16.221904887271,19.068702162683,24.6418545423231,20.4715437949963,19.081982686343,30.0771927556522,20.0653354888539,23.5909960291939,41.3708121619663,19.653146542798,23.9116551634341,16.6615447212235,22.9805246593907,26.322849064165,18.6175105764697,13.9129866308157,27.2414767519843,19.6499658319251,11.8449142777334,21.3887191543401,15.8653572458372,18.1372675366756,24.4936320728082,49.4668959825098,NA,NA,29.120956563299,23.7606560268133,16.2074469135442,24.9480561779936,12.5897708396303,16.7280066587853,42.6280788718003,26.3374832288685,12.7380572412379,18.9213942305574,26.1831509020881,22.7325906363721,20.6341761895051
6,27.9809924181402,24.8619704264396,18.337342431014,25.0938552573554,35.9218314106458,40.1719742661025,26.6622284655235,33.7361468517799,16.9757471518638,25.8317203251723,NA,NA,NA,30.4872125650115,31.1310415977217,20.2996478607832,88.0449504598691,17.3197585028201,23.0976464405516,40.7107045362357,29.8405865548978,32.0709289570918,27.9222139919229,25.4101025136528,35.5034727072897,NA,29.307104690302,16.1739671628067,40.4302287109555,NA,NA,30.8294771452569,17.9988965119367,31.1434219117426,12.8006243469209,32.7479586790076,25.9676719256546,NA,28.9276983949245,30.0169869274745,16.9413126933452,31.0182862678431
7,18.8353814029808,25.7279380413434,21.0686684602989,11.8083013349817,22.7876265262505,28.2222357794859,19.4452746238407,27.7605248272412,31.1754328751764,23.8239728464801,22.6948986677062,49.5031747511011,31.0233846382326,23.6254594728282,25.3685891477569,29.1972297497837,14.296357399488,19.4540947284318,17.4814289545721,31.3243838191068,28.6824391826384,22.568213202682,23.2659750568884,18.0879819867188,22.9218018672159,27.9352681832764,22.3501100983777,20.400031522397,19.0700713733714,29.7265063591559,20.5556588284299,18.7159116181852,23.9060120850542,NA,23.3838855956082,24.475391085374,23.6230860747382,22.1452837429013,22.9184321927734,24.2387957471872,27.352600939236,16.6960172532941
8,17.2490976360984,16.8036499053106,21.1372391396083,12.9143705104508,18.084845913894,16.674139289249,19.9389589699144,18.5977412137021,33.1291969850719,13.813690177175,11.156287125113,NA,4.63454011346347,NA,18.1130473039381,10.815578705685,17.1570462246713,NA,16.6072004196901,31.6853153354127,14.8887768894774,14.188636846766,NA,NA,8.97136597792478,NA,NA,NA,12.2253070036058,NA,NA,14.0952602054817,NA,NA,6.14031258553791,14.1553964166858,NA,NA,19.0306416336715,10.355328480223,17.3293755654241,NA
9,26.2530549921673,30.0605474976946,29.900321029459,26.933401609785,22.9567592572256,21.9962278555637,25.2298022553795,21.6567198544536,26.766200077194,23.5231320785309,20.7605660563854,23.8727222998955,21.7900437022227,19.9139476897605,25.3197757530556,29.141901340007,24.1071671017222,29.5253394196243,24.9480570795708,27.9652205615325,25.1474138757776,27.208196027584,18.6639869919022,38.202652557701,28.0099752574304,12.9778572947232,38.5032657040342,33.7846128544036,32.1551297613119,23.2338777773233,34.1696760309378,29.1106956185874,NA,31.8248419998329,33.4952676308098,30.0670429142907,89.1224050338899,32.5601173221876,4.88563719498825,NA,34.9887688370049,27.1068236419573
10,20.0313795706891,23.4836217972551,17.9452597998662,18.1209494968511,17.9680523499952,32.1949936779226,17.5363076222105,19.7588967946617,29.4364830265151,15.6714224129302,23.1682816947021,25.7298753598221,25.1649313847961,31.369931465676,26.3802992974279,17.0016297808859,21.1064748022226,18.8601397269606,19.1090528765893,20.698555909256,25.7699890521656,17.5757853484108,15.370296201516,16.8818967906115,21.0301757385702,13.4851322725564,24.3052496018869,22.5758934922844,19.6164063701064,33.1454518474452,12.9018574599759,23.5704835632719,17.9762162054525,23.0839293938858,14.316714506615,19.1863725774877,22.3265227503856,12.3080426303683,19.8231734555758,21.438274765346,19.4939777876172,18.5402186028324
