"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,9904.03249737598,1130.52232946656,158.060580586649,339.343686392804,1116.03380140278,313.29514162431,410.425141487326,197.190525048317,926.238305370201,350.480475086461,211.939501985755,3394.54524845257,768.659806843579,2915.17747821634,572.700582314483,813.136465631103,1946.33276360679,397.927699540289,1694.43852984675,26697.3604713494,430.499339124505,293.479964667444,442.200793350973,508.385819598314,174.178929748309,NA,59.3718801974543,256.064193249482,378.055916437006,NA,990.189318508068,640.898589454995,NA,2676.55691642575,322.569349261621,1192.6960494492,NA,574.358586925814,744.006501589096,NA,914.392769716129,555.249607898235
2,1682.013956508,150.084542260274,339.532561021779,209.410727184468,522.407034699227,2238.18689675129,383.282647420908,225.679906564461,235.71740892873,415.699739610667,853.175797937194,359.487808025185,4513.4956040209,732.612188575544,855.102110440464,5132.16307002624,324.165838272109,603.754490218549,1585.63936383895,14702.7611168735,490.32327959404,278.998148843447,876.013877362399,156.737682689079,536.092359022141,104.583428306606,111.819121396639,819.23674072969,80.1861971852436,68.9986845994972,359.909494415511,225.337942918722,225.480174495387,769.596950453186,803.679618480616,1907.79539343115,133.181295598117,638.069088197307,618.447816636813,2292.18802208525,1239.49838259792,63023.1121678573
3,987.5178954985,746.738228245272,1207.79103557963,3430.23657085088,254.645917382985,170.777825735363,221.887243927969,302.710920573507,501.439069019166,470.660786317068,NA,302.107455118947,251.902482828868,273.134422373212,558.338655691404,368.404718332784,603.353966981754,774.806443916656,339.017430737337,953.52053420675,398.692801270537,7064.80826839404,266.671415250237,347.704018094557,518.944927085732,222.607191701645,126.537174393286,NA,182.102737103374,60.5550183726015,245.264220227944,367.51333461663,160.072771203084,1876.96306561982,649.485642232859,995.219594760219,352.640826438134,1431.1053637645,1359.03851933466,689.608009058754,811.937319919017,745.534127908601
4,304.860116019588,1082.0944325839,411.30171948562,2246.88669220889,428.606628050608,65.4892392711886,968.278392910233,564.581541290768,210.970416949214,69.8837467462787,NA,50.3709526473451,NA,NA,519.775329171396,741.195215874179,166.568323949872,87.0298060684102,116.330658597196,214.190280489599,72.2059019479152,344.425840627349,178.74221574936,472.075483017605,127.168834983555,128.598255577435,312.011238661775,NA,126.79354262717,NA,NA,139.666851158426,218.316044537627,154.656704144994,221.764491191952,374.714179868551,151.115399350399,153.163270523515,169.515020850897,146.064610183642,339.703257301292,302.652740962729
5,3967.91461059598,6924.78106565667,1052.6670492844,448.433005634313,1798.14351191323,8248.65555480441,635.599386641043,5767.36219065208,1534.00965400296,507.165393619247,1120.43143473879,160.283672787357,2792.46174422773,1686.01374013876,1206.87566931171,9140.81907245354,759.031676986508,1670.14222483713,1087.12347179767,864.641847095474,6856.69469211333,929.800647430555,1884.13513659797,467.363373845347,122.457545744537,168.591895022265,2674.52626032035,54.5856968353076,152.449418789193,1046.60148096561,461.924921690293,491.158079003375,171.548680046871,157.424971409025,1313.27328887884,3692.4536329248,287.458031186378,84.8687443147609,895.812532925194,308.515511564527,1261.44559354337,853.239651570695
6,215.155343770517,178.948644848997,86.7597899225783,NA,157.165707678283,39.923990206697,198.381728489454,168.564506559308,NA,23.5080545877335,18.080173687135,NA,NA,NA,577.144821948379,63.1124042030871,114.162882132662,NA,231.525220910937,66.8564102575489,392.654311897933,388.862566225481,NA,NA,NA,NA,NA,NA,118.257689058436,NA,NA,182.934730591432,NA,NA,99.0499032095805,166.516005377519,NA,NA,75.3680435505163,133.085353982249,190.707840967763,82.1346544229136
7,602.781125709797,14227.2184235065,4255.96221855015,1114.1851547092,4796.33914927544,215.381246597149,212.500642511278,112.468783129178,233.884906099475,472.205096593141,NA,NA,4192.12867976362,2557.61450107974,858.306545050404,1565.89473429094,904.161231209995,811.741018978838,820.577342067317,1346.60725478181,326.620057271646,18735.9980647003,498.298619272645,459.971434764669,1871.51744370443,NA,NA,NA,275.382940167211,NA,278.195250981858,1455.14570676839,450.299679721899,679.245866110306,453.81364171706,5925.85615727603,38793.3273665287,310.253312300721,3961.05964988679,690.596800732285,1980.35866670623,3744.3298574243
8,161.573287748016,728.436311936416,17.9489538257488,85.5028756143433,48.2657474066493,117.03309297721,64.5136722488394,48.6420672038128,59.6988070025264,122.41349067145,997.062370461287,NA,NA,NA,371.933620120556,NA,NA,NA,15.6804029421383,103.430147857812,550.820097092607,57.7092750156989,81.6552427800124,NA,64.991576117306,669.072368023654,NA,295.712894658916,312.984678572989,NA,NA,58.1309243311269,12.220197292988,NA,NA,1077.88262469345,48.9407984696007,NA,75.1177769495847,74.730343938281,178.7129442099,342.063564725282
9,123.623544128497,72.9149677560507,NA,47.3676185602604,235.748450378869,73.814651422579,215.940304428034,209.808131347051,123.545233955089,676.35893820479,2383.4372132399,NA,NA,NA,454.249091795354,2200.04718584582,NA,NA,268.070765082261,331.520440251623,167.554791697491,221.614708153695,13.0259547612831,NA,129.149843816235,NA,NA,NA,553.008625143587,NA,NA,NA,NA,NA,NA,252.231527161908,NA,NA,2958.55839655333,NA,NA,NA
10,287.970706439122,63.6066965241802,373.850006317673,54.3410613669895,249.521936708138,406.480148086324,71.4545850340101,866.183086795758,107.259301271563,NA,NA,NA,NA,1183.19718688623,157.20790076041,NA,93.5748726756449,62.32456832774,412.054890411453,58.9118842968651,490.962094073915,631.419467455922,45.698803017253,841.607046442843,194.501394164057,NA,648.812949207143,NA,94.9037271091922,NA,NA,332.284582227964,30.3630447796766,NA,1114.59011610666,532.726295595072,100.336955403302,1206.99895895869,186.467851870821,162.394106198863,59.4276069413925,204.806391365574
