"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,63.9443849225209,59.548323948829,38.200034153201,50.3018859126935,73.483342767372,62.2731381113182,62.5569626225741,80.8091779539239,56.3774823899848,89.845047839147,103.267097324665,NA,109.850293123632,99.056682071649,77.2877709610223,61.6281431478873,61.7377309227948,62.8552559656179,61.4799935166108,53.0022474133358,58.4307651933414,63.0109593497655,98.5389914975658,86.1807614791657,95.6134662297383,79.2797613874116,155.083804235527,32.7898409332662,91.7232953991296,134.257809218205,116.377943837092,94.3246254286768,35.2506542046591,NA,59.8162422358765,58.9629808558876,40.0988649668641,10.1733871258479,69.7796674593066,35.6473852059286,NA,30.1410150586724
2,92.3212336441407,79.1976999364936,126.075390787884,63.2089181209534,74.3568685449383,91.2729219363899,207.148928345071,94.8239914232479,147.092546302938,138.225715804271,51.8405095160965,208.772314106966,73.6847269056807,65.5049391707628,90.5867188815475,85.4870887794028,117.836693978,93.3110312119801,83.6690077513857,80.9300905519228,93.0817059220721,83.2902224711394,83.2180865042906,80.7098140039547,101.773270966421,20.4067913992517,135.166465603574,28.7525817074958,58.4775635664793,176.125663914925,NA,87.8840635560586,62.8826287305151,133.89837111178,109.671990292178,80.2728864386859,59.6922371246441,190.448506302136,99.3504370576512,63.2814450526031,134.156560561889,93.0187708242427
3,327.157264128486,256.118562912421,305.792080543853,105.721583245822,332.724960563254,650.389700657912,201.795684271935,612.655708387256,1288.97944752952,269.943333193696,100.23981441274,72.7166769417861,184.39358733619,168.65909389252,312.57888977316,417.62618866947,498.239667354851,392.762338123609,284.955863300443,559.844897653064,703.368974662866,513.00217841532,390.403767184766,277.362053790533,233.394688570301,94.0452436516351,1.73050463129459,NA,123.495329363362,NA,NA,328.346763360236,420.464422807797,8733.09871296186,632.194247000624,291.802306241955,513.347296502708,427.719455103267,353.128908604812,324.898881178243,310.326308223278,349.037521891623
4,121.788118629967,157.190892856768,123.311135356828,128.781876978907,79.7523258670078,186.60196506691,NA,243.03935502191,150.273799478466,78.3395163248693,NA,NA,212.301072207156,155.895894728874,179.420825346114,193.526966509745,166.799435570899,126.054892927794,108.05396150516,155.874582315842,179.408948500353,204.225898956223,228.103357382355,112.175397194999,156.770218651484,383.232404110205,171.810820023716,95.5311497147123,189.595451119977,93.8575743866502,156.090900722951,147.615858695896,199.658884748946,122.979549994484,170.032333069607,122.886696922746,190.322556561487,143.332713946661,209.218537928099,142.509440790456,222.054991168041,139.173731932237
5,200.099410953238,272.714439171849,169.096600417575,143.603780173589,290.098359229626,420.083646772988,275.764196667927,234.77124473053,405.159860700057,152.597748617653,21286.6045243713,767.587837185347,4018.68057341227,252.123514135579,554.379149824304,244.9514629297,332.779067462497,174.67031822565,207.440470687529,306.941999557126,155.728524589926,136.891901975565,286.597608871414,167.903546803525,1761.66472981369,130.59056244984,503.448035293326,NA,NA,300.567619942639,1175.36161110242,207.741416886441,2125.50216682771,185.209729261237,246.838314145383,153.944866597698,597.469842590255,200.808676516762,363.316066944488,237.999705524385,242.897920485165,154.164968941569
6,225.157311716819,167.217258605832,117.948652221095,133.302117020418,191.814760028652,213.659127238624,162.543015524122,208.680671826816,88.5773460170509,86.0367693938282,NA,NA,NA,308.180737731972,232.362436971637,131.671601897169,175.379610689602,170.013046655643,149.560941103955,144.01815932751,129.103968686001,241.520296778232,12764.7328895709,111.043680190931,181.124722575498,NA,175.693306089771,74.9293382700469,231.036119676516,NA,NA,242.528193303653,276.247673744225,148.073657738713,406.431181320306,285.729567580549,1565.61477202132,NA,238.704827098958,87.6435230733449,221.504821388259,166.449185479677
7,34.1419360911131,25.9421936540197,20.7163182667905,37.356059588433,35.2636721881991,26.3728987162802,21.1829500512894,34.8190046286732,30.1235544788252,16.022012393357,44.9487760209227,43.3515428075316,20.4353736889769,27.0105657964532,36.325147821689,20.5187085512751,12.1456176024858,25.9954206539794,47.5344993655966,28.8290930919572,32.4876037835392,48.7323711275634,26.7634713231604,30.9600784267809,61.101945179842,28.291568635988,16.856283769692,30.6775906124451,12.1055687449358,46.2815243897727,12.2487870642311,38.1098991623077,20.6328518092589,NA,23.1857421384775,35.7622187194777,25.8376327719455,21.2523248428177,42.9423851386247,22.0751235077436,20.6487291085511,18.9142003034599
8,76.9980988348463,64.3904314343374,117.556490301329,99.0972124041811,88.8041835722626,53.4241254504618,97.8325998589762,87.2655742980212,86.8680122530315,282.572407764209,78.0525455764958,NA,114.043971896385,NA,84.6287280209527,32.0540842849063,76.5963758492688,NA,74.2679110293064,46.3982766541245,108.496979879322,83.5643072240807,NA,NA,55.6728293748313,NA,NA,NA,79.0188690630325,NA,NA,83.5034046403848,NA,NA,1.49725810572772,84.6414237583495,NA,NA,74.8007128319285,64.4690495095553,127.333324413218,NA
9,110.912340285683,126.21124624547,166.584711841669,89.7427717466256,103.031212269477,130.000745214153,90.3752687185606,110.143733041223,159.326584021213,91.7847521355228,112.759616210603,140.884000976111,126.408223243812,125.757307089175,110.265360429099,151.996762802862,162.792724102829,93.3845641162949,84.1839190333844,126.303476385518,132.50038430651,111.31512715552,339.038189899338,99.0415132566788,125.549877963887,128.940090641171,121.287161029475,114.356585432709,167.247996872636,217.067458381617,107.505152811378,87.6136363908469,NA,153.381757994706,171.623255888748,99.4034182666016,159.272623036982,356.428521577841,387.095005831516,NA,125.37840095183,190.256544097591
10,436.857580786041,95.8802732454201,216.926963363184,108.983928100372,231.337837047238,618.646610757149,166.444174242367,406.589001746214,317.136872306399,133.494587378506,491.996899588123,556.079551083725,170.050000447858,538.14154631142,279.615370952815,364.244105557001,316.870682401262,224.715968681121,194.296839933557,17296.8483893527,407.483492010782,256.274470423451,537.945096892142,291.658224632778,224.722125707107,318.419113050574,159.223475380342,242.748561339959,355.277588566556,2871.35735425229,170.135930916816,385.660994324452,676.513238957378,220.097870069606,199.814035791781,381.854759391444,322.826205572876,196.899089887289,564.297092151755,347.567706256944,295.121425403531,386.834358077382
