"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,534.269140667189,246.141758043301,191.268410407646,1891.13626582782,594.917820531527,2998.93369179855,627.531267417563,2865.46038484827,252.137939011297,60734.4939255004,594.68772182389,175.785800013983,193.467241283784,1529.12471723527,602.40680388678,502.818192900587,806.005728958151,1133.22653760167,8740.89720040238,330.156307643584,470.203555697009,1175.89307521416,2014.51305770921,252.986718200646,89.1111504088475,NA,19.8629197412175,124.197193282482,3907.72951420256,NA,14.058469388332,533.188885474525,NA,194.043676776497,392.253037904189,350.226260985455,NA,96.6097804623538,166.632050925584,NA,232.362668085424,44761.1907888581
2,283.479072424187,1866.4868730558,529.408805923824,31.3316486009446,274.630426386844,83.9060855876452,436.192152736516,185.43619484795,1253.51995498047,980.457948497775,184.886315492292,172.92614339333,184.266365409318,576.115859046444,272.65457018843,182.890370962872,298.345907369171,123.224337144583,752.160600005624,189.306364249413,235.199291219258,291.94735465118,754.281374113453,272.825873746088,234.754772976868,142.684777888752,61.5472721629521,213.916861631889,190.0035207859,114.051835106174,145.715796400633,272.344842653828,806.403479040809,67.1004792395596,100.298720725457,240.325134750068,184.07484696058,154.100974753652,215.239820815191,133.740424886116,321.280150280319,678.075427101874
3,126.084704771798,145.359003929603,218.217512623186,112.644458845704,144.712208154405,128.930489324551,85.068661998731,1949.86012835554,72.9660698286208,3562.02307621149,NA,92.7252754853182,344.217462026114,225.645423590956,101.12777466424,78.1273883936321,128.007330038452,92.7231463654525,140.960747154578,136.88560198456,74.9879260375501,178.515068091906,60.2129635993114,255.561168375354,147.249011409457,70.1006528828934,79.2181318858344,NA,139.913732133172,15.6444153854944,192.787696161666,155.900804659102,190.333320508681,486.598872501437,634.761164059648,274.483620624887,109.398878199086,150.575864778401,171.395133636651,240.236328988313,225.664554796528,251.201232260538
4,585.389157702365,431.747753143792,1326.76154850362,259.049315097602,382.595509619044,636.415371134383,178.352962624516,265.883009743178,141.44135659587,172.541907621374,NA,92.1788345977256,NA,NA,1239.5877945909,458.913639313008,694.271732871608,138.124076714046,336.215198335031,340.56285821875,498.709936595396,394.767096827176,10618.1221660475,464.102481636688,284.060696294669,200.472235525515,1318.65617837105,NA,32.6473882973071,NA,NA,12520.6623835543,430.902349402695,229.773753529396,553.988184323964,370.65801524315,338.972846142874,9542.85316675145,596.512889776717,397.790123105101,1600.22516001454,401.867009477365
5,333.018410142779,196.674022730389,202.318168455059,268.964446516835,304.085601751773,210.420563823391,535.286531899649,212.944418586234,143.232088388778,169.6235042228,252.703463572134,133.829415439516,298.667428083165,240.023930843456,209.757175975365,248.917625108381,258.319245834849,152.735637707607,262.025390148627,170.483121435878,709.221716023362,467.821044768792,100.533888572268,701.538817341434,159.368593102041,377.531288678408,320.304780683029,46.8528567265902,115.369293598887,203.429019428726,112.765975781702,137.759308198885,602.719261806843,179.930301697554,227.422671808066,271.347525546373,184.654842017989,308.629995628817,226.86651580821,173.093019572682,329.156037088919,403.061435906788
6,710.100786135224,230.094341686912,389.391685351364,NA,3431.11097489807,1203.05323507992,363.130886600303,774.558664697986,NA,381.26113621273,8.45284909735052,NA,NA,NA,3930.91796507318,243.453793828428,113.8743692158,NA,1869.9874799397,201.59801836033,347.115839197608,899.340095165972,NA,NA,NA,NA,NA,NA,432.155673844033,NA,NA,209.054623075698,NA,NA,157.665232095117,2988.15661368853,NA,NA,16474.7118384904,81.2469863323961,416.131876603463,205.562573305985
7,225.415705314252,226.00176404352,151.533320633171,389.424214538397,321.498910949057,118.992901080028,594.333383146777,5081.77785593086,106.956927615937,192.477038155912,NA,NA,53.5987860518017,159.549678550738,275.087994428924,174.64756859911,236.926711669709,183.904605451771,196.068578873856,156.583054052692,91.3794124240442,112.409268418981,39.7225858232443,41340.1433962012,33.3767477353709,NA,NA,NA,23.780546085752,NA,263.383192935313,197.052588578775,151.804297946417,135.147711776164,1361.96141024872,165.314694527477,191.473470519847,182.182337751609,217.324920787286,272.294770533832,145.523773091334,466.748829081475
8,766.472766237976,1307.0784781688,213.354352524575,184.439364738241,331.013574542066,545.891124346174,86.9960711354841,1425.81724371512,194.827125620084,201.723951466018,225.93275879161,NA,NA,NA,841.526289571149,NA,NA,NA,90.9395315733154,365.224244655686,144.495358607352,480.268281204674,171.036180819488,NA,677.307820898673,118.617317896322,NA,1280.8109033337,33.8380024305549,NA,NA,516.996538675163,120.011765545421,NA,NA,390.678005642868,461.90607218812,NA,725.017726984576,1538.42973398825,40.7807447515415,40.1606351819311
9,393.684545203615,106.151123807802,NA,232.174370627176,367.061808055529,137.993015830882,243.820410679617,567.459023078921,196.606412975331,155.755457591193,1208.24873282277,NA,NA,NA,710.293531642478,149.206602560524,NA,NA,618.457837774876,175.324193164739,163.033434287795,392.085663388842,1.1816150225371,NA,283.073920625198,NA,NA,NA,1913.8826228649,NA,NA,NA,NA,NA,NA,916.531755222332,NA,NA,459.04889682544,NA,NA,NA
10,858.039762043847,399.535410579851,920.863612784593,234.453242526995,462.844988969391,127.121219676984,392.961208420177,427.440095915186,123.839458301149,NA,NA,NA,NA,29.9364269867972,580.941062683382,NA,3171.70302390977,227.891106628393,409.911955842022,296.093962430708,233.111283116586,4233.80341980507,153.024126971768,472.123640232003,1388.1105002647,NA,88.7027922864835,NA,1195.34497513368,NA,NA,1971.21386138461,375.708889385698,NA,142.91935073112,811008.313251942,173.222280386128,546.876649521234,4087.27500971461,573.999002129313,2550.37587253941,404.416041807128
