"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,0.0104293382797265,0.00185230433636631,0.0232625967854372,0,0.0139900598646034,0.00240712126672223,0,0.0420588763718917,0.0017127331654951,0,0.00291931583084354,NA,0.0384431957057014,0.00162899247093161,0.00766341008512032,0.00934167860928295,0.0113686495553031,0.00093924110962256,0.00241599263539715,0.0882078615156246,0.000638944525923828,0.000731222211818033,0,0,0.000865329074979184,0,0.0147406794605554,0,0.000555515006870648,0.00136240821033062,0.00477242319243119,0.0846751670716902,0.00467643899480878,NA,0,0.00286991551875771,0.0432314362668617,0,0.0731703633429261,0.00930844800082168,NA,0.00398927817140163
2,0.0019896567420026,0.000788847089923792,0.0138090593465507,0,0.00264588694440181,0.00244466217751187,0,0.0355477877677383,0.00119633574452416,0,0,0,0,0,0.00247135232134653,0.00174084483605555,0.0122155214173571,0.000600738637322425,0.000346917480391034,0.00378399928967453,0.00128002770596522,0.000159741147617771,0,0.000499640685092583,0,0,0.00139145650414173,0,0,0,NA,0.00162150480043695,0.00128584850388826,0,0,0.00332958727469552,0.00359923943905084,0.000834875177097934,0.00702763673627592,0.00143375300836945,0.00357952551350356,0.00253373338529049
3,0.00085018344207867,0.00191566378515622,0.0119325284920843,0,0.00220193769266716,0.00182710953008489,0,0.00235699034889444,0.00106807822699283,0.000741564465028508,0.00132875429795833,0.00228779553946701,0.000876383978570139,0,0.00337527970565952,0.00150079371289842,0.0157881629343978,0.000669267439044561,0.00206972566228416,0.00183025439270906,0.00101565416942562,0.000549058338464274,0,0.000985854806936,0,0.00201525009644339,0,NA,0,NA,NA,0.00302550926217194,0,0,0,0.00252791499640094,0.00484770281445755,0,0.0151344213500736,0.00395672261969041,0.00742512585816151,0.00483202521031643
4,0.00251552724379251,0.00459793843635293,0.057716119022241,0,0.00404781686600472,0.0127833810501418,NA,0.0127196008409353,0.0151738470144904,0.0011144898640938,NA,NA,0.00779058169058148,0,0.00777058520888965,0.0053451798889386,0.00292175027742324,0.000112663139134481,0.00159690993475024,0.0189512300817506,0.000953467553760582,0.000418997402204884,0.00523278552397354,0.00094852990952604,0.00124380235376221,0.02421174271812,0.00431034645672256,0.00208625865816219,0.00342019080962046,0.00827108925591853,0.0054843330487755,0.000361378714325995,0.0057171634950397,0.00106538749287859,0.00422479659457715,0.00063108647014087,0.00467066647543361,0.000529067226458838,0.00485559721827223,0.0097068638861807,0.0817100803646249,0.00438810141325815
5,0.000642997193100846,0.0010850915293298,0.0156606408535107,0,0.00946083629059182,0.00731374291808161,0,0.00281924818839363,0.00635919381278011,0.000604628272392175,0.000697695627043049,0.000466033317929137,0.00274648382273182,0,0.00392917122578356,0.00104028051611576,0.0103245576081959,0.00067528924261411,0.00620172426852989,0.00342488864309803,0.000323508855501066,0,0,0.000866500525130929,0,0.00164543699765097,0.00552378102869051,NA,NA,0.00136240821033062,0,0.00179082009969314,0.00311662045501914,0,0,0.0063620495046318,0.00664721437456796,0.00152730372324686,0.0150139124256972,0.00284511401254077,0.00368638751455328,0.00372040160501233
6,0.0260797980344848,0.357844129642691,0.886810576554389,0.0311271502183255,0.0473651589921307,0.0853102070528589,0.00744877548812132,0.225328289940262,0.0447543458827155,0.0865059274859157,NA,NA,NA,0.00118512586625913,0.0297359217700136,0.00171107853603067,0.0458773320956706,0.00132837757551862,0.0496836268449198,0.0071229253568896,0.00822390838602298,0.00265374521200178,0.00621850965890866,0.0102495731507426,0.00440988399842657,NA,0,0,0.00395537723156238,NA,NA,0.00579720263214118,0.252824164139881,0.00231504762910608,0,0.00483075828558028,0.0372901245489111,NA,0.418836471748451,0.0238108890682429,0.253979053855451,0.0160362586781315
7,0,0.000957215894909216,0.138665316189204,0,0.000971262097114414,0.00394012919068926,0,0.00332036345168711,0.0073680959427623,0,0.000561467770599104,0.0204933887741197,0.00515217707081589,0.000255588775268267,0.0016446637313491,0.00560096041382689,0.0110395966936823,0.00281806801526453,0,0.00146539628315055,0.00139625014240011,0,0,0.00158568881757451,0.000283608244998917,0.0021299178339357,0.00689506892356294,0,0,0.0139703804012254,0.00278630539654691,0.000872976848255504,0.010197045046223,NA,0,0.00325857634854289,0.00378492187594594,0.00171882013400106,0.0142973333689942,0.0441094246964555,0.0165146782085767,0.00314838156792691
8,0.0406562864435598,0.00625347690624816,0.0274966714352659,0,0.0175371082626405,0.0169229574115583,0.00052431396149661,0.0768712917298167,0.13038832727793,0,0.0484667881185872,NA,0.015542571671525,NA,0.0172182598392,0.000342098502810059,0.0834861706531442,NA,0.00749514632878095,0.00522121917022707,0,0.00408668425933517,NA,NA,0.000669426711389867,NA,NA,NA,0,NA,NA,0.010723937025248,NA,NA,0.0209366458153502,0.00710298553980309,NA,NA,0.200244628922942,0.00631745518370383,0.0313865617522161,NA
9,0.00349497893808334,0.0316829082486115,0.143760996340161,0,0.0123528707843311,0.0151484478935603,0.000704313521647565,0.034706100940974,0.0322663916382111,0.0168199186992442,0.0014518280847982,0.0247554775390019,0.0121655093509164,0.00147811140463067,0.00509614486593383,0.00576055918679298,0.00371839143882233,0,0.00506797356167963,0.0275673019063769,0.00053790073066125,0.000631663024260073,0,0,0,0.0016454448134603,0.00139145650414173,0,0.0047739684348265,0.0676845920696027,0.00477242319243119,0.000460095408724572,NA,0,0,0.000792715452050613,0.0121109546728029,0.00167308009629211,0.00426783458139963,NA,0.300244827451835,0.0058282435496829
10,0.000675998647123366,0.000845383929961061,0.00651371132289406,0,0.00142409353222662,0.00205709625721439,0,0.00173745963832381,0.00104908212346773,0,0.000742009068629986,0.00161779458274474,0.00182475793134204,0,0.00273392884442804,0.00185427718634577,0.00284982019172716,0.000687455241970458,0.000631897850687589,0.00154263772444189,0.000476921014080301,0.00327476747691295,0,0.00109783873800618,0,0.00109291243245508,0.00113312395792117,0,0.000491146470497291,0,0.00500596835475752,0.00203550163815955,0.00690538729239213,0,0,0.00356834399993602,0.00495277160480324,0,0.00760845715578326,0.00162163029279062,0.0063576105576467,0.00619160321789372
11,0.0154949996721069,0.0139097879951538,0.0390094652876299,0,0.0116998821710146,0.0298662382083749,0.000305439655266215,0.0427148941856434,0.0098811890472249,0.00610846723460089,0.00693054213302858,0.0107802767226538,0.0900351520375341,0.000419002195923475,0.010893326115694,0.000797884954744381,0.00170937259815625,0.000766885456932954,0.00400080673936437,0.0755849996062965,0.00223828464979467,0.000631663024260073,0.00147436049017747,0.0391533816818455,0,NA,NA,NA,0.000432151179876871,0.00472088118015911,NA,0.00184051675888467,NA,NA,0,0.00315615975214219,0.000827430253496452,NA,0.0586537686474432,NA,NA,NA
12,0.00427288066570191,0.00492042436247084,0.0783738028083509,0,0.00147865879134912,0.00943352899230685,0,0.0112798165163259,0.127685096548857,0.00224279265462729,NA,NA,0.00649864721069995,0.00268567140867454,0.00337345934276948,0.0083803312751993,0.00593154261076703,0.00131275221872665,0.00849681241368204,0.0232344402125327,0.000817207065769883,0,0.00681472148237345,0,0,NA,0.00494059265843828,0.0063603746484184,0.00209426498871882,NA,0.00580302474108012,0.000197688485306594,NA,0.00147733777098511,0,0.000701541591638898,NA,NA,0.00341566039358074,0.00314789385339296,0.353024128260998,0.00395674529186453
