"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,0.217398096121371,0.205927503641432,0.212240138663472,0.20954656564312,0.37360091711488,0.212331975097535,0.21562558197821,0.214877227277643,0.210074236017,0.217428837945597,0.372462603968166,0.204691591441744,0.207528757052242,0.214003015529662,0.212472572964751,0.212179185202908,0.21640227592668,0.372713402535946,0.217004714227869,0.204066026022696,0.209265784345841,0.390671264268531,0.381745397528621,0.378118906278722,0.209755865024521,0.204170486947026,0.297726906545864,0.201773009458929,0.374723009647268,0.398361300021751,0.376353566817538,0.213915864644993,0.195005681129635,0.200939608627734,0.20728377315704,0.212114500405403,NA,0.186470297622112,0.375296917877697,0.186502459696487,0.206104238992961,0.28880956230704
2,0.374777015216001,0.216519819348777,0.212596086994943,0.391537152231345,0.375449759440841,0.390962979872118,0.388534150172198,0.373888980958571,0.376584509320652,0.38531029395453,0.372872386012204,0.215915518397886,0.214328928340738,0.377838373666229,0.211621736204416,0.214275075161811,0.216650819588143,0.376040726053827,0.386203345296971,0.217073315028425,0.215975505942688,0.374509611409977,0.385666271517585,0.384845270575613,0.377492342626796,0.379546236270009,0.381732523445086,0.391650023037829,0.383412490604567,0.205240053652438,0.208282861755726,0.213223115958706,0.210233368966991,0.208789495891567,0.215387049584965,0.38067803481236,0.380277156110367,0.204087418157703,0.216860104767858,0.217875875719878,0.210406318534149,0.376082046108491
3,0.214210556022828,0.203214166105439,0.212493765010077,0.383701535277683,0.373555603367226,0.213391838342324,0.296391718803557,0.382331027701135,0.206070483048404,0.373747892167911,0.21202632920279,0.386704173063361,0.207822940716693,0.294171515687005,0.213921032386235,0.210277058457672,0.372649334348832,0.372033015502436,0.385143597303812,0.21281298499873,0.387052224625712,0.374180354889033,0.211823258857018,0.213354772515878,0.206785753677995,0.297392194837383,0.198766582043602,0.40548542862765,0.301574716287362,0.188633703730627,0.213437134465288,0.214657561424053,0.206518232369391,0.295185202943239,0.210250097825489,0.217010494324688,0.211651769407863,0.20753445139887,0.216069111061794,0.205927006028731,0.21159326511351,0.374437843125465
4,0.374857779460899,0.218189866420448,0.375938379601041,0.21714779891037,0.202949407226516,0.212586318825388,0.398235908906611,0.382531581417644,0.302546748351198,0.217020956668102,NA,0.203789658689867,NA,0.38877177588785,0.377222265658525,0.206619548391533,0.373662207872672,0.211437507713629,0.376541134487629,0.374844941552532,0.218128788457673,0.217374200932302,0.377521385899689,0.214914165776953,0.382227290346618,0.388952998580706,0.39153846241691,0.185912955444798,0.217195800558516,NA,NA,0.371653995733806,0.211880194862945,0.383238580046342,0.29546520023118,0.371474127828572,0.21035928580328,0.212921267964079,0.216125580089333,0.205779229199568,0.373036773001962,0.376813227253983
5,0.21569568555881,0.208547341640239,0.210273578960669,0.382521880941623,0.373956405349552,0.210318911965425,0.379226288242574,0.377217684086643,0.21431641769959,0.215037195877329,0.213437373824787,0.215453700302138,0.204038164739071,0.378386493883658,0.213618137222249,0.211379190201534,0.211461423804935,0.380811264155316,0.374806819340122,0.207348308173902,0.217114296933033,0.373164488958789,0.208011497872901,0.21024483650807,0.209956194444279,0.211725266019089,0.214768254129818,0.376411721374851,0.212956294347667,0.209123194341099,0.201407429088809,0.217387289856319,0.206845854153713,0.289708212036853,0.208402220588278,0.372251348157951,0.206819100864693,0.208356444654902,0.215693215992119,0.203858942632535,0.21175969035402,0.37275675228818
6,0.211123292827042,0.207910754232101,0.207365041750148,0.20165546064191,0.212030665941227,0.297691779411932,0.372305221286701,0.372215922336551,NA,0.197478111440473,0.28677841983803,NA,NA,NA,0.212200319135555,0.213535882478631,0.217687084567595,0.213614338012119,0.215238059732484,0.208444224642339,0.293983138813336,0.210780053898244,NA,NA,0.389215454261609,NA,NA,NA,0.197687479407249,NA,NA,0.207187340850092,NA,NA,0.28899341542469,0.211980117047077,NA,NA,0.2090081067798,0.282552017003113,0.21662463985997,0.212560488875986
7,0.373959055086027,0.209477725252821,0.209322007070564,0.380074251372302,0.216836905862362,0.207006312129426,0.382492936931144,0.377049024362863,0.213862200887288,0.375116749581523,0.378554492393545,0.388522145689989,0.206803823167217,0.37802056244747,0.374200771746813,0.204687037521384,0.215529705623693,0.213296848504943,0.381169763371026,0.206367392020587,0.372548105414405,0.371537331419294,0.207951194204829,0.204810445984494,0.400266717248562,0.375768060244149,0.183926303069518,NA,0.304713185579566,0.400522024992123,0.183844927672467,0.214210934610959,0.205526657581206,0.206597385518033,0.206975204515055,0.214511030098332,0.205313666230918,0.19820749859834,0.211517108195384,0.209597621313907,0.210007711870987,0.217439339476884
8,0.205902446900783,0.18629252770147,0.205108503020039,0.203662080467274,0.375848144966271,0.285923283521275,0.386744034751836,0.377724924896052,0.392234342065788,0.307361976060219,0.190608195670582,NA,0.201180494319075,0.401314012560481,0.213028244372875,NA,0.382531869989632,NA,0.187566988222087,0.372165010861296,0.390000321563907,0.206886350197344,0.376958412623106,0.19537297923206,0.210156323825202,0.213654018491924,NA,0.394301815875961,0.392089958262969,0.379821285922622,NA,0.384251211947192,0.3978159766215,NA,0.38823576569262,0.301618986671045,0.205272134514805,0.378943911154779,0.200865071554974,0.189827088717306,0.38011850788017,0.200177045987455
9,0.210007548098142,0.203902312393405,NA,0.295653528888045,0.210084275324811,0.216680496588607,0.207616201881535,0.214617002302501,0.203320522882917,0.212414008759886,0.217192583605199,NA,NA,NA,0.205003876909682,0.198766395015483,NA,0.201064660885272,0.212899120341109,0.208355021308731,0.218078467810988,0.215970055666782,0.385150431637281,0.391611692630154,0.216162232631798,NA,NA,NA,0.203282272635729,0.204600848356721,NA,0.385137653959591,NA,NA,NA,0.2090127728601,0.197120469563057,NA,0.214954110981978,NA,NA,0.192427713331411
10,0.372225814875028,0.208817819571894,0.211542175287523,0.217887891772328,0.215261566446604,0.202276481004502,0.202544076374101,0.386642983563318,0.390745014424396,0.181591025482246,NA,NA,NA,0.203367928803684,0.21212694338793,0.202649410171085,0.203723248938163,0.298872397006647,0.214536151659086,0.374335025014914,0.209283351181651,0.217394509562034,0.206096100525395,0.198091696449429,0.212478447996637,NA,0.308362971333323,NA,0.376582334674428,NA,0.385112017594851,0.216701366988626,0.205333159503194,0.179460295972686,0.203933777142536,0.209875827143155,0.204336554687524,0.204307416671143,0.212657539746453,0.203659846482201,0.290456470334648,0.202863494638711
