"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.0961218843804649,-0.0820267043898568,-0.0629418144051488,-0.121204574714522,-0.0906999714215601,-0.10777453014136,-0.0766767193229684,-0.0971210393464289,-0.105964052477121,-0.0392485660220699,-0.0972134764678334,-0.182525006187017,-0.127116859885834,-0.0693759462425205,-0.0989455627199968,-0.122354638964199,-0.129537494374257,-0.185550676575446,-0.0973756582043902,-0.090965395849123,-0.0938343977717085,-0.0868465440020266,-0.142610079903622,-0.0921328399656081,-0.0759793686538523,-0.0668244310244098,-0.176555570397136,-0.13627964393808,-0.0969932563960424,-0.192677941557576,-0.121265861702009,-0.111941317193804,-0.0767562698305625,NA,-0.114159641433981,-0.0902681859241064,-0.144092134132509,-0.0368490454998005,-0.106473694229879,-0.113430303670413,-0.0473782831520677,-0.166735185154517
2,-0.0974619511465253,-0.100555284017465,-0.0797941005763554,-0.0983928839784081,-0.0643114260288756,-0.0921565453524996,-0.0445033678483003,-0.0746516276776504,-0.0740214495666594,-0.140645486305585,-0.0538648565319064,-0.0319131173905406,-0.0860333715807996,-0.101944498837094,-0.0949973656692674,-0.105794616022101,-0.0950196643780844,-0.0903458358238841,-0.100794678474974,-0.0782869129381502,-0.100951541002692,-0.0817062636298627,-0.0438011378494447,-0.0834243627478706,-0.0844221156271878,-0.0703550378550387,-0.0458076953786886,-0.112875479151024,-0.113269284193458,-0.104338036701786,-0.10128237889742,-0.0818524038640582,-0.100868953172033,-0.0979436405854641,-0.08564153680489,-0.100052736343675,-0.103355000159772,-0.103652951847015,-0.0891402864798135,-0.0805222474138753,-0.0995134313101254,-0.102718905353396
3,-0.0995656435154657,-0.105207728958112,-0.0991146251391575,-0.099252426503074,-0.0949928026759479,-0.0871581393341364,-0.138682013692102,-0.0724260171962886,-0.0995045932878994,-0.0830367605116497,-0.104376781580026,-0.107640537780215,-0.0653387699727607,-0.101913762398177,-0.0782442416011165,-0.103653269669185,-0.0770852099609761,-0.0988535019189504,-0.10299413616758,-0.105358740032,-0.089831286220792,-0.0990179443750733,-0.0662212421618311,-0.0580572318103568,-0.142893138436164,-0.0834134627987104,-0.139342751581006,NA,-0.0736903348092727,NA,-0.0208076780317528,-0.103643658278657,-0.0848421108044892,-0.0853101794132979,-0.109524767018656,-0.101204632324413,-0.0895070685363522,-0.150003736431001,-0.0793555453492979,-0.089561219898377,-0.0957385413237193,-0.0936627933729362
4,-0.0714257329995577,-0.103315955756568,-0.0988274805718323,-0.128425377950361,-0.073083259957447,-0.12878586306926,-0.00455220185071241,-0.0982848962460949,-0.121442680644768,-0.0875254147563202,NA,-0.113906929436437,-0.074100487049349,-0.106959157873525,-0.0920371632175467,-0.0989021457034652,-0.098606287517912,-0.0935496709575729,-0.096470497723355,-0.10283741662805,-0.10055292521483,-0.109968140013617,-0.11428952999539,-0.0915118342543025,-0.0706031979565449,-0.119151045651614,-0.125283486149131,-0.10553255186479,-0.0710068173876615,-0.0822882909337685,-0.0876074571061299,-0.101105022182249,-0.100427543175823,-0.108065447149866,-0.0985267444118836,-0.0942385220531431,-0.120144189729749,-0.122877216850811,-0.0875496108056721,-0.0702577964981279,-0.0953903723007714,-0.0784613939066585
5,-0.0770900533414958,-0.101257036099972,-0.0982919626979837,-0.135162497552076,-0.103900378152944,-0.0982650859543752,-0.0998597595933604,-0.122034314281389,-0.111200563998248,-0.0933996362383964,-0.0938100251954722,-0.102410216700278,-0.0786701186785796,-0.0838355718538734,-0.0901100368246117,-0.074488021433011,-0.117790792642434,-0.0662768021204603,-0.111704084889642,-0.108185244626078,-0.112591859788801,-0.0981021480381974,-0.052288326912807,-0.0700860108770979,-0.0914303459206114,-0.0903607615548796,-0.129078830792068,NA,NA,-0.140736494475307,-0.0495316240144024,-0.115359666463726,-0.142845733489992,-0.0548314854825684,-0.109575425042702,-0.094883210864279,-0.0900872412282708,-0.0459893339476062,-0.135120543687776,-0.0831076371436953,-0.119490861087336,-0.104353507662304
6,-0.105303923207176,-0.128417442961197,-0.132828248708485,-0.0782269524373741,-0.109364035463242,-0.0645544309152167,-0.091028188462896,-0.113779918153603,-0.112600723107644,-0.0774494102165314,NA,-0.0103185849146864,NA,-0.146589591033507,-0.112132339902591,-0.0968195309357883,-0.0669404768174009,-0.0807611402778557,-0.118540892574741,-0.092768398262771,-0.0897415557290187,-0.0804328660625248,-0.190283627477885,-0.111446327319651,-0.0589369213128008,NA,-0.0980003964970805,-0.166092883041703,-0.143211847792663,-0.00296969387039518,NA,-0.100437868660353,-0.096601134161354,-0.0753152177754425,-0.107990021248663,-0.0869424907286188,-0.101897623363669,NA,-0.108589191086259,-0.0471098195103249,-0.0822012303297219,-0.0780138652122312
7,-0.11944921741727,-0.0950889692713005,-0.115870481771301,-0.105807911181376,-0.110590083850505,-0.112043327460911,-0.124563212588937,-0.107112298200299,-0.0798732509414089,-0.122994896750528,-0.119940949664296,-0.109697369692225,-0.106602983657709,-0.0736354751187422,-0.0697092874206762,-0.101344430463974,-0.144268655910956,-0.13970145419539,-0.12750994673097,-0.0986986599825411,-0.0593515066895424,-0.10515951350416,-0.138487376935589,-0.0666121637478562,-0.0902041868917136,-0.0858009712629338,-0.0990613139441912,-0.0920703097778944,-0.0406147241260543,-0.0801896313287043,-0.0772046537348475,-0.121969529934007,-0.107289583347724,-0.116345721276481,-0.0706683045800867,-0.116821179357736,-0.100679656779918,-0.113573952527747,-0.0688854422600352,-0.09937115528559,-0.0892383867551009,-0.0871236910829619
8,-0.0974792502424447,-0.104846696596928,-0.102354672229301,-0.100300695415827,-0.0889020317605891,-0.0851321367686838,-0.0597783852424697,-0.0954900131677381,-0.085236082580421,-0.0565806013647105,-0.0431928052606495,NA,-0.103569210301226,NA,-0.101490034177831,-0.0632639353272811,-0.0607521792541495,NA,-0.0898200840479453,-0.0907563623303725,-0.100357797856395,-0.0596432223960968,NA,NA,-0.0967405806349788,NA,-0.135289431191246,NA,-0.0340622089672329,NA,NA,-0.167398345021284,NA,-0.0646834492159454,-0.103981847903604,-0.0890036517882943,-0.0309410523570835,NA,-0.0721437610427925,-0.0494380019515999,-0.164057805151054,-0.0201787784488032
9,-0.114048985336543,-0.114187047641922,-0.0717335039250303,-0.0989538202011086,-0.0949218113570502,-0.0791504753932367,-0.0971349659325569,-0.100469980647325,-0.0916763241847043,-0.0967319750999512,-0.100533145154395,-0.109425775672862,-0.106795133752063,-0.100655720211209,-0.0931046174540902,-0.0933121349269941,-0.0894133962833214,-0.103497479313598,-0.103115439327871,-0.095613191426803,-0.085613298382397,-0.0964138508516938,-0.157565796458175,-0.0523802358049145,-0.141650171087404,-0.182369252704946,-0.111600778977882,-0.10634116456619,-0.110904237656002,-0.101598954043297,-0.170118086215369,-0.0790697145745292,-0.00156555838260494,-0.0854892185054461,-0.051793699361762,-0.0803153166466984,-0.1539950341112,-0.035851342748493,-0.0880434870729281,NA,-0.167252853538316,-0.144562620138005
10,-0.0807984451803957,-0.0713536316606299,-0.0911320051473769,-0.0892991439035509,-0.102808079470307,-0.0964766889763711,-0.106551522187852,-0.10774443124903,-0.120231068601831,-0.118513739807824,-0.111108069299995,-0.112421957045189,-0.131730933387664,-0.0810016040421677,-0.111393405299567,-0.0241305118860402,-0.119001195583636,-0.0879721523750503,-0.10994075644704,-0.0624544592205904,-0.0664492568011999,-0.110747701761824,-0.115848551564869,-0.0782234594695481,-0.0995569780435153,-0.0679758790018669,-0.074734343484957,-0.10165325930681,-0.108680787709266,-0.0974116145087416,-0.12516393921267,-0.0791571593928498,-0.0709070969298579,-0.0625392814272204,-0.0887713875982975,-0.0947485147293733,-0.123379009628135,-0.0986784552617183,-0.0976560299934375,-0.089441714717003,-0.107980323644738,-0.0856770381361263
