"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.0443479531171302,-0.0813063123142247,-0.0206454133500464,-0.0462767426531063,-0.0386211019912872,-0.054336872143259,-0.0746259632442435,-0.0212737502129729,-0.0488728669001473,-0.0188947015860109,-0.0895832001733882,-0.0204774581933411,-0.0579543175925506,-0.0847897334270399,-0.0333775542612032,-0.022933580069071,-0.0515819194816868,-0.115117748771466,-0.0532891155003166,0.00766820992132693,-0.0558092733710948,-0.0646605433853822,-0.0943368210929879,-0.0476925243472743,-0.0543125535783936,-0.161726139599649,-0.0203253921492504,-0.0365076085679119,-0.0806273354988856,-0.0193689201137894,-0.0266257436704393,-0.0349293260263322,-0.115276077669985,NA,-0.141856685174633,-0.083637575310648,-0.0939835792977103,0.150410746192592,-0.0381373282349573,-0.0437403424617104,-0.073553038740606,-0.0902506027000998
2,-0.0674884100927381,-0.0786680963682889,-0.060182705226667,-0.0766246943024378,-0.0821752033160849,-0.112820897415404,-0.107702303593188,-0.0584344843230677,-0.089753095749276,-0.12015559905366,-0.0836587443029777,-0.0292688957306888,-0.0408232754582344,-0.118611009003548,-0.0748830635496308,-0.0896513195070957,-0.0445228988190724,-0.0668275261348373,-0.0709264959621337,-0.0698434526007001,-0.0786709258626654,-0.0637022892724594,-0.107049762251305,-0.0604699554170847,-0.0770672805231506,-0.0750107764429408,-0.13267938255029,-0.0902578231999789,-0.0552959834496192,-0.12434618906549,-0.0278277362222661,-0.0757700676962495,-0.0938398185547892,-0.0316193223513395,-0.0943985880065508,-0.0597068264772206,-0.076384725276765,-0.0931725994961251,-0.0755178097579527,-0.095367055420798,-0.0910147431982844,-0.0814295836529356
3,-0.086700947864046,-0.0793304711555652,-0.0871099828930685,-0.0690340387372297,-0.0612742242916341,-0.10295458650638,-0.0906906811904841,-0.0441144160758156,-0.0907992214249856,-0.0707795346825637,-0.0427461907795724,-0.105526078401706,-0.0632779051364741,-0.0744757536489019,-0.0703368097996944,-0.0556033982752154,-0.0828797257728567,-0.0831210498367723,-0.0658942184488776,-0.0867638028189373,-0.102269085432573,-0.0347009273096288,-0.0485959598934294,-0.0479118780549428,-0.15946451959628,-0.0179363936590128,-0.105986790349335,NA,-0.0199096545361867,NA,-0.186019621891848,-0.0452677155056199,-0.10816045977557,-0.0551932843820075,-0.0873200406578166,-0.069750260400459,-0.133165750297356,-0.0373133703780842,-0.0766369368956883,-0.0878663719470392,-0.0633309416761213,-0.0834907337015034
4,-0.0244113325295678,-0.0612786128283785,-0.0207809913516334,-0.0536587630778283,0.0302936220656644,-0.0254426994880803,-0.00709241195983426,-0.0828539512667948,-0.104493357104954,0.0397479861671455,NA,-0.14664927331714,-0.0596651595839632,-0.00667601111560485,-0.0279968640789857,-0.0427623765265723,0.000252591336633948,-0.0252794341095777,0.0141624574018461,-0.0322979918405928,-0.0224238311944023,-0.0502242449584122,-0.0823930891582135,0.0610361735158053,-0.0214465090959994,-0.101272962016384,-0.0445851358114662,-0.0175968433453709,-0.08363633993723,-0.0288614530781296,-0.0386131469690769,-0.0324376379300213,-0.0801738484658034,-0.0509007736892894,-0.0307908635766367,-0.0251059632350267,-0.0598781517044018,-0.0256388704743159,-0.0270235920936694,-0.0391547880402979,0.0178365747632843,-0.0547417899700662
5,-0.0801239144539144,-0.068921425878057,-0.0859831211421239,-0.0331849338703569,-0.0609198672180803,-0.0933498061999991,-0.0648522649143494,-0.0579007942107213,-0.0751618051534257,-0.0817538043461499,-0.0937708644582881,-0.121801313075393,-0.116716542307126,-0.0777107608317539,-0.0658209000160453,-0.0541492445977108,-0.075692315967933,-0.110380746295938,-0.0610047667135543,-0.0934578846408483,-0.0719720808605122,-0.169282685145052,-0.140755988770023,-0.0524248619042042,-0.082596604641911,-0.12619980658447,-0.0612980074412252,NA,NA,-0.168696541988664,-0.0319408884378267,-0.0856526599334718,-0.021326563494324,-0.0527733844269708,-0.0502188634865374,-0.0706601189206078,-0.0730593373695158,-0.0416853927347556,-0.0681769547870215,-0.0343388541085456,-0.0587466436432582,-0.0784202384087243
6,-0.0755693832347285,-0.0264400341952903,-0.0548706107044787,-0.0650200971015347,-0.071759645593635,-0.0486380279369314,-0.0773007654340776,-0.0893585870516349,-0.103217748165595,-0.0861386497301764,NA,-0.00744893889300739,NA,-0.116453634973478,-0.0972520178738236,-0.094496731954883,0.00390410851798858,-0.0887413857837536,-0.0766820412109886,0.0187274312469853,-0.0765470783718229,-0.0593166391972869,-0.190095729008818,-0.0466002139150381,-0.0347763531952827,NA,-0.108053183885224,-0.0675710928183578,-0.0644147154769292,0.499495940735407,NA,-0.0834609728507244,-0.110351256849606,-0.0752550921888317,-0.13153985365932,-0.0915667977128333,0.192394498475034,NA,-0.0974712772854218,-0.0631042302826946,-0.140340458007928,-0.066662329199326
7,-0.100473667918793,-0.0618775725219885,-0.0921444789965205,-0.0752037554313909,0.0443972333985415,-0.0551871148285398,0.00175231791761354,0.095268430039161,-0.0630680983454097,-0.0847583814092231,-0.0379345087839743,-0.0407478571485183,-0.109528662877609,-0.0840879428883278,-0.0165201555400263,-0.0716257304301693,-0.0293159418806423,-0.171430672612024,-0.101628128779757,-0.0531955257575788,-0.0896062594902954,-0.0662101698371671,-0.0930907120194425,-0.042871156394761,-0.0940320619028758,-0.0848483052595203,-0.0934570895490669,-0.063299670800264,-0.0782837100673512,-0.097774011534591,-0.0576380722582248,-0.0983145077512103,-0.0797478712924496,0.586598558422788,-0.086242149291377,-0.0475422808288151,-0.0810742380512819,-0.0407623618121153,-0.0721248212946288,-0.0778508512452402,-0.0788427266140078,-0.0751146049275729
8,-0.053507148233617,-0.072710159356257,-0.0791883399890926,-0.0437110918466877,-0.052608151356028,-3.79281812989529e-05,-0.0576159777503125,-0.0157375700168425,-0.0103783175632136,-0.00677256640430792,-0.0716330840023731,NA,0.0235084791117581,NA,-0.0563730972228885,-0.078492739153752,-0.0529706852207921,NA,-0.0610673839287908,-0.0727298549924852,-0.100444087335011,-0.0336730201483153,NA,NA,-0.0649131896674416,NA,-0.00886361764860995,NA,-0.0485292364827593,NA,NA,-0.0848857381635457,NA,-0.111498680295579,0.0133112527349684,-0.0720226101738518,0.0613773787499391,NA,-0.050202083416689,-0.0801808624793685,-0.124811961646683,-0.0545750328749929
9,-0.0832122334008961,-0.070295795951591,-0.0720078349089718,-0.035069622905362,-0.0418270190965997,-0.0694105683845033,-0.0559821269049237,-0.0461989911442138,-0.0824353652526943,-0.0323122831603145,-0.0485793655942382,-0.0575167518770159,-0.0320658178780248,-0.0500108450063385,-0.0378871958383305,-0.0561599340797472,-0.0258629885315747,-0.0133006570051311,-0.0284420437719501,-0.041564232063195,-0.0331339644500696,-0.0151951753799614,-0.0454039960590589,-0.0343817538068533,-0.0844237192345633,-0.0181428020605466,-0.100347454930061,-0.0576008193025194,-0.0781994518451088,-0.0645283776876805,-0.0944452108163999,0.0157944610020755,-0.182417415868099,-0.0701008785688423,-0.110019129836735,-0.0520554624894683,-0.0349915406260836,-0.0287341117650233,-0.150050853132872,NA,-0.101219166504828,-0.0890591174134472
10,-0.0824336553301491,-0.0509201823454581,-0.116291032392525,-0.108150184486746,-0.0719202529175891,-0.0721574857598029,-0.0712083587385172,-0.0945248326496384,-0.103364699300155,-0.0551794970357931,-0.0976213564866338,-0.0594308996389507,-0.106502138441399,-0.0651285805011356,-0.0761951528885228,-0.0588419689141721,-0.112440943402422,-0.111555505854388,-0.0771275998791852,-0.0592580416675132,-0.0770836456855406,-0.0704106082674019,-0.102919439248119,-0.0681067010109932,-0.0812748336807217,-0.09024284666789,-0.092041184020018,-0.0864435744912668,-0.0697360104820174,-0.0585109914362214,-0.0697988070361098,-0.0812868900082771,-0.098094039131517,0.156446907320553,-0.146893496677557,-0.0755721926315415,-0.0534005557562158,0.0725525096579007,-0.08038385913453,-0.0754492809258675,-0.0796792551996806,-0.0849375751322545
