"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,4.7431351926836,5.20952539577784,5.01660023932553,5.56398892047056,4.17257854177878,4.03380322518158,4.58279778488212,3.88361396990102,3.55449279354336,4.85865317902938,4.03206979956142,3.35246917450818,3.86227520309541,4.01062503733003,3.50334421626194,3.46227547526161,3.56625458133453,4.24990172243633,4.61224305238265,3.78240546672595,4.35323041824876,4.70347248738854,4.77147783585202,5.05487111853945,4.57366014354783,5.0322032288055,4.54405340839872,4.96940776756707,4.21584682391712,3.78268554608823,4.50646744159716,4.04576488883449,4.45569161822751,4.43561489177617,4.47792967298725,4.44069464561101,NA,4.24468677330622,4.49541795105073,3.37047621633263,4.4266130212616,4.27654409571018
2,4.58041027244211,4.98865686189773,4.66193234839736,5.52889942666788,3.73155002546352,3.49019150464321,4.35627936126278,3.52423596426971,3.01272594940808,4.62555303796265,3.72171266987019,3.08394092211488,3.452956806111,3.69287250536229,3.10660401057995,3.04487207241294,3.17897587322325,3.94327501474512,4.11706934343251,3.16944690649292,3.86544020796038,4.33418112595695,4.44193771147497,4.95510593257796,3.78997642073198,3.79517428834862,4.29074902405177,4.38243646179804,3.96644434435293,3.75827000294596,3.87115485945358,4.03442525767646,3.66528338759271,3.98568895176415,4.07291487873215,4.01007995737491,4.00702700992953,3.82927841000174,3.69748201177504,3.42013394957208,3.53794925446782,4.30555909131991
3,4.47487128526389,4.85477795458741,4.60857428732297,5.43422729752844,3.92364774810163,3.55841868871619,4.56773242210104,3.34623709662778,3.06359973920222,4.650599031254,3.68657806181038,2.91601136393052,3.42443995131292,3.96184328969206,2.94626306936405,2.98691703989577,3.18681121072044,4.05018050311006,4.43799468858237,3.29962244197507,4.08050892404595,4.36630582651261,4.47112566249179,4.95867611023254,3.8826034108294,4.05297802220342,4.28568717259038,4.25193323740191,3.96341350752954,3.55282161545591,3.76682001682026,4.0120752106653,3.62269077375425,4.2015711498286,4.43321438091285,4.04461669438364,3.83624910907281,3.96462459224853,3.61805430590901,3.40605279925437,3.64235032609113,4.42688808843263
4,4.48637530451754,4.96614055293203,4.59758185994305,5.46355924142473,3.88469274504221,3.83497818633667,4.74337121952146,3.82236619700277,3.21700894370426,4.47690834024536,NA,3.050221115195,NA,3.57300544190826,3.07287204683746,2.98976045413391,3.15526299769528,4.14759095383316,4.40819526732269,3.41142699271568,4.12906865403716,4.38753044299654,4.46627689409789,5.01890577846828,3.78588908059159,3.91856278535726,3.92164054096702,5.01217027228871,3.74716629570978,NA,NA,3.91667052712469,3.66796621387081,3.81501732526886,4.37643958419704,4.06599433265796,4.01887166631121,4.05774777475014,3.55447823164153,3.44884431824474,3.50324204762232,4.44957484776576
5,4.50550118707097,4.9354194785239,4.63912244799084,5.34269746604038,3.85929914225041,3.70796975808995,4.57049844469536,3.57554922314254,3.13898810862668,4.55596790196758,3.71215976914407,3.14128337130789,3.55201658426153,3.80124012247035,3.16480703086452,3.12682715430676,3.24159362891225,4.25236917414091,4.28899393340502,3.30218383620119,4.1094249622166,4.434879222307,4.51013318017095,4.99490515224863,3.75379763068027,4.05736563729883,4.22841714630882,4.63275066863387,3.87336852583229,3.69393536833712,3.9043049634674,3.95341338610355,3.48857320569063,3.97422257132415,4.4844723520183,4.03098614698459,3.98483597336888,3.98951846467352,3.66816369206242,3.3100461515277,3.63334371821749,4.4128066863434
6,4.49050247242861,4.90257131930907,4.56957695762213,5.12870672218202,3.91691638494208,3.70461876444897,4.15591223423705,3.56271903372317,NA,4.47380868900655,3.4018296304883,NA,NA,NA,3.10395798570076,3.51697550828655,3.24356397970269,4.76807098177795,4.33212420618892,3.49934670623907,3.9235267540141,4.42786052987489,NA,NA,4.02825777545891,NA,NA,NA,3.99097909766395,NA,NA,4.01293020601008,NA,NA,4.24950920059273,4.08331934040831,NA,NA,3.70561238245691,3.01074435188502,3.92132469831517,4.094843781278
7,4.54878882727423,4.96455742984879,4.68186113463435,5.37546821416487,3.93092555064543,3.81811312060147,4.66987708454776,3.63557379421495,3.13911625465568,4.67081471808643,3.54876201582588,3.31794280575691,3.62738088292303,3.92048690497603,3.22251568646387,3.07086968624288,3.18277745982609,4.18456870642503,4.33370145937917,3.47948075035277,4.1307596945445,4.39686374464048,4.57339995820946,5.02019008243011,4.02629282912537,4.35323936833345,4.43318461794465,NA,3.74917535161723,4.70924073529384,3.83313762633529,4.01697848567606,3.6925286742835,4.4578384723198,4.38486153388816,4.08584945952297,4.01050159024523,4.02461500507157,3.69214600065735,3.56672111580957,3.70822593683022,4.48107175807935
8,4.1011098800763,5.00371673688024,4.73816241504798,5.27647474838965,3.71563699370583,3.40787840015643,4.21646519510708,3.47189055093196,3.13293346539891,4.41298130833246,3.71487653245307,NA,3.49586482872795,3.94530683863526,3.63368337666567,NA,2.85184760261248,NA,4.66761851799558,3.63182780666637,4.07373845560567,4.28400125606174,4.47692617046114,4.99396863465071,3.8963356745165,3.87743084087966,NA,4.85979858411742,3.93968912707279,3.52747226659876,NA,4.01081537758663,3.62386873802022,NA,3.89087054511171,3.76308876077208,3.97748724921066,3.83338943814806,3.54591766061501,3.49473239202887,3.60238254800072,4.73792108486304
9,4.43746238028117,4.93190746599208,NA,5.20658566448455,3.93527149942733,3.68794965648041,4.30067136036871,3.60357667583661,3.31823657320418,4.6626521725266,3.65915914690552,NA,NA,NA,3.17093713092971,3.32216500071987,NA,4.16024233930823,4.30337185535222,3.53710977015517,4.11815404976191,4.39820180546414,4.70470875422756,4.92880478279726,3.92038399644813,NA,NA,NA,3.82651599060454,3.42617520324854,NA,4.84844492377724,NA,NA,NA,3.93664298178996,3.87982152507553,NA,3.54016405868068,NA,NA,4.77993455678384
10,4.45595045900691,4.85955403869339,4.74603117234978,5.33083374375564,3.85470181247003,3.44711780945773,4.59844839295595,3.55130270322973,3.67659516207448,4.56449685270994,NA,NA,NA,4.42655983451061,3.14047381307518,3.15624386828695,3.32748990978772,3.95211527666019,4.29194976517526,3.32166681254021,4.26653636268048,4.37151840214965,4.46286533763183,4.81644856687615,3.76029882623826,NA,3.96432193637642,NA,3.80306859650379,NA,3.4491890083255,3.99373649456642,3.2713325973783,4.3898632804492,4.40983764245517,3.99743769890109,3.81382608838566,4.04663433098736,3.64420126699172,3.42598912450996,3.71609778821986,4.36818312247379
