"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.0973598450732307,-0.083773304458178,-0.123841329970106,-0.0976010801383172,-0.115442749858001,-0.0803786789983577,-0.108725464605568,-0.10597495403708,-0.103439567766098,-0.103111727825705,-0.121330675001166,-0.0988480352874771,-0.0960032052172165,-0.0852250448777484,-0.0991774018967171,-0.10544644343366,-0.0950193937160629,-0.0950163114174355,-0.0988175800652951,-0.090319433394582,-0.0991590742554845,-0.130449267973966,-0.0937555898143453,-0.0392145241153232,-0.100796082185563,-0.154670463817417,-0.0671791084237903,-0.0680277825947483,-0.0830767497362995,-0.130952130817035,-0.154020307321911,-0.114000224202271,-0.114772198331085,-0.101586085094459,-0.15506666435422,-0.0711931069132026,NA,-0.13357400064697,-0.126786551172287,-0.11772891150755,-0.0955915466423914,-0.115120397073323
2,-0.106136370811451,-0.0948295898139774,-0.112152184218589,-0.0654409711794219,-0.109180388563493,-0.0945069267187694,-0.0871766022820561,-0.072088664190369,-0.0838178788070791,-0.0835350857352943,-0.158478899439525,-0.0847598840060928,-0.0919858756670588,-0.0753898988912572,-0.101614893422191,-0.096908017355364,-0.0934213328207012,-0.0866246010507039,-0.0884606912500234,-0.10454069333714,-0.0920089982112219,-0.121254513618947,-0.0798873819552243,-0.0691039316847145,-0.0949422357961443,-0.075933521948044,-0.109414456273992,-0.102794795725456,-0.0983847465051387,-0.0851764682200337,-0.078590563236271,-0.100313769175625,-0.1028280772185,-0.10270895622258,-0.106100411672435,-0.108622397498174,-0.112328297493486,-0.0845805034752018,-0.101216840066231,-0.0779342833474032,-0.0932114959734703,-0.0908816484375161
3,-0.104732655089239,-0.121803975510191,-0.100251473961298,-0.163322806812163,-0.0932198557397856,-0.0731135052982924,-0.0790681721291858,-0.0961727697739491,-0.101166244646109,-0.084711515732776,-0.0142575514818369,-0.0969753675049654,-0.111024423984386,-0.0783662370291933,-0.0982718430604156,-0.0983203076202434,-0.108305663678445,-0.105252340187651,-0.0910307379180014,-0.0994907255982293,-0.131969480777384,-0.117329153545741,-0.0837833295580277,-0.0748474780204357,-0.165293652481719,-0.0863440862261137,-0.11974905536573,-0.120634315030466,-0.110914398498125,-0.158154171491626,-0.0899120328576405,-0.10611916490891,-0.120823668258531,-0.0939837856404013,-0.0663070956007475,-0.102994073338992,-0.0935841502171036,-0.0943712025354216,-0.0947641876612431,-0.10841534729306,-0.101044131429983,-0.0991318591683297
4,-0.102377880024716,-0.0932696074351591,-0.0969719719476439,-0.148042083430619,-0.0778399380124651,-0.125726313551798,-0.175649067338333,-0.0775550451071554,-0.11391654107647,-0.0408149430068776,NA,-0.0552885397344427,NA,-0.0398359311865432,-0.110329533774249,-0.102396317689285,-0.0848372831564588,-0.082058709514143,-0.0781605874996588,-0.0875624882527311,-0.0806089001184241,-0.100364537120148,-0.117963150604427,-0.0639137490359793,-0.0969045909431038,-0.0127370057728489,-0.0816533937206523,-0.0390816554591579,-0.105097996064098,NA,NA,-0.093231115340373,-0.105879630458265,-0.0923713349868007,-0.0816193160779585,-0.095520597238226,-0.104541463982556,-0.101309224259195,-0.101291179047679,-0.0929440463815111,-0.100354284964571,-0.0998583505661343
5,-0.0965229023309794,-0.0965976553742186,-0.100974847379521,-0.107063535367628,-0.103847063720852,-0.096583665952496,-0.119865378419236,-0.0935875743991297,-0.105224883500247,-0.0889410418485024,-0.0834611269271461,-0.0717145945647706,-0.101616601211261,-0.0893399637226103,-0.111337639722313,-0.0810867954273877,-0.105477337410565,-0.111358728109405,-0.107694041011041,-0.100990143056861,-0.088840579274303,-0.088523305160947,-0.097352937937997,-0.0766042527501239,-0.103794845940044,-0.109693269743026,-0.0762820569066526,-0.150855228074784,-0.124476963511272,-0.0700413029229752,-0.0581139422807538,-0.103343379763699,-0.101227656493856,-0.0995766842660479,-0.11645735137121,-0.107065965218236,-0.0996789606940798,-0.115929096251587,-0.103360300478669,-0.0917505671602384,-0.105195600484208,-0.0879062045028611
6,-0.0968913349108556,-0.130865560862815,-0.0959574846338637,0.141719414992922,-0.103997100244138,-0.100997002423073,-0.176521823013659,-0.10602020619741,NA,-0.0789939492751216,-0.0866511548762169,NA,NA,NA,-0.0927654766297616,-0.0851315065695948,-0.147088534178711,-0.0276399256748287,-0.104514144347734,-0.0635713206497954,-0.0565960801605203,-0.0836884485414387,NA,NA,-0.0168889003781966,NA,NA,NA,-0.0969214793006793,NA,NA,-0.087410811864242,NA,NA,-0.135993399675095,-0.101480190629333,NA,NA,-0.0866213113034721,-0.112428552417832,-0.0521916040920419,-0.0963093447282506
7,-0.107941168185769,-0.0918417889269412,-0.101795975898639,-0.0713027392564593,-0.0905737330303236,-0.0963159708978787,-0.0909224555318793,-0.107649021002361,-0.120354071532402,-0.101029092518978,-0.115468363920068,-0.198298359046106,-0.0657366574870541,-0.105897585060871,-0.0963582122646475,-0.0900088251701744,-0.102043837682889,-0.0941152888721087,-0.11131651409592,-0.0997106208634854,-0.0676450242835531,-0.0823654311370951,-0.126864399722593,-0.0802496097186935,0.0667814068039586,-0.101147564837152,-0.101964213149111,NA,-0.096432421943437,-0.183299639277126,-0.123075929096644,-0.0931711337859081,-0.0894894895888554,-0.107820231455254,-0.092494617705683,-0.0973138170882303,-0.0859482998076377,-0.107221675650409,-0.0995173647176866,-0.101322037554867,-0.0882417838701612,-0.106344588880296
8,-0.0193141641183588,-0.131677730040873,-0.0783319960259535,-0.0991914530658419,-0.115482846548691,-0.154135933708592,-0.1282263622502,-0.136244222422478,-0.0755825588608019,-0.0715710238846077,-0.0921142447924863,NA,-0.0461861242227157,-0.140255035149403,-0.0489450303425363,NA,-0.0657753950424059,NA,-0.111682103063065,-0.0730452367893471,-0.110235110669532,-0.0870119948985948,-0.0606584430977376,-0.091374448144867,-0.143285618740351,-0.108692267887831,NA,-0.11458429506058,-0.108606128587379,-0.099705128796138,NA,-0.142257716539006,-0.0430542658308744,NA,-0.00354928746678065,-0.0341770747714119,-0.0980763673337594,-0.00397302468950118,-0.10729997465838,-0.129905424502083,-0.120243601752467,-0.0333087301465823
9,-0.10528457653157,-0.124347163880169,NA,-0.0752940713216822,-0.110779238104981,-0.155931881379249,-0.108514411042456,-0.105449863548776,-0.0835792216916861,-0.108492344295946,-0.0775675522415256,NA,NA,NA,-0.102802487282096,-0.121161132356566,NA,-0.0908530170320585,-0.0985815396364312,-0.107720709919615,-0.0495359167718876,-0.0861267578546582,-0.223530078004941,-0.132978447182266,-0.0875801042951123,NA,NA,NA,-0.102414156815205,-0.175417914541681,NA,0.0244729080039979,NA,NA,NA,-0.113479480644291,-0.0479791777771509,NA,-0.0867157805321516,NA,NA,-0.0726223672196354
10,-0.0969875492940141,-0.107631009149692,-0.111396544913741,-0.113174536625868,-0.105497105445424,-0.124770383031553,-0.0754574295158471,-0.111215820473448,-0.156542466473133,-0.00189235116103531,NA,NA,NA,-0.0269950443886554,-0.0774210258443095,-0.105165630845964,-0.1193915424461,-0.0653287900849168,-0.101266747344399,-0.0971825144539795,-0.101720467438298,-0.0879618292074661,-0.095980965214322,-0.0695612204860274,-0.112626475739389,NA,-0.118631029570398,NA,-0.131010351061672,NA,-0.0649914701572825,-0.0943151318241357,-0.0900028882427575,-0.105210526798465,-0.0964129203455653,-0.100521468496076,-0.0723397109119137,-0.128496230142348,-0.0953656265419025,-0.0937985572164963,-0.0829397769468855,-0.0975549650923405
