"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.0925684256136451,-0.0592569773228426,-0.0671377917520592,-0.0749569528117,-0.0968365057200463,-0.106554194209837,-0.083949422142175,-0.0891256877613919,-0.0911670836282487,-0.0818152456483061,-0.102519312881244,-0.113216852954831,-0.0840368694156256,-0.077496062807386,-0.0850384075247675,-0.0887702120611396,-0.0845201995553179,-0.0815004418138431,-0.0700210201464153,-0.0853092916293804,-0.0844155170775227,-0.0474608204715488,-0.162650381059816,-0.0842273580138692,-0.0425269986810167,-0.124442460839585,-0.113757622764705,-0.164863845014113,-0.0901444913300283,-0.0415935828378252,-0.00482867830610563,-0.0741318661160001,-0.0764647015732655,-0.0590496839231317,-0.0628660143413399,-0.0903325785589375,NA,-0.0534970894486034,-0.0439487824541732,-0.071517414270572,-0.109517053139537,-0.0461931053251517
2,-0.0619126516760239,-0.104560931650861,-0.0719951726433195,-0.0838575207997493,-0.0839885036480654,-0.101647362335077,-0.0784779304129142,-0.056770819516607,-0.117483596400542,-0.123957838767019,-0.106852195221687,-0.0857641638137186,-0.0892526023835047,-0.0895007016364934,-0.0748258009363217,-0.0824150741511889,-0.0854634999715786,-0.0844001818201239,-0.0829092121527713,-0.0920473185251542,-0.0805539219315953,-0.0874666979800953,-0.209932572728783,-0.0557790745176264,-0.0503800034116594,-0.148354998501457,-0.10986685634974,-0.0595357505530256,-0.0278862346714238,-0.0789465804277185,-0.0691608156661904,-0.0647474537395941,-0.0697297195750159,-0.0498483897148861,-0.0405335557770155,-0.122030160998789,-0.0429841267647623,-0.0862543501712279,-0.0625205175417085,-0.0901994794072905,-0.10179796792788,-0.0854324841090218
3,-0.0907281336671159,-0.0957669048974605,-0.089940362858047,-0.116115298206414,-0.076702207617223,-0.087319107441485,-0.0674409527143227,-0.0671999127570488,-0.0992467085504465,-0.0770047204382588,-0.0761381073318298,-0.134864688047615,-0.0761886068574096,-0.0805917998573359,-0.0620405476480096,-0.0759189256010079,-0.0772737914417773,-0.0880727170383724,-0.106188795753606,-0.0968123899502825,-0.0765138329388295,-0.0387949628902226,-0.0957562268453936,-0.057981381470718,-0.112673300048817,-0.0492084469304533,-0.0557262738119536,-0.0429288901721475,0.112281682840672,-0.141307504953343,-0.106925810415341,-0.0910344240823969,-0.0963770314062874,-0.107990409993063,-0.0481327721570162,-0.0822704272518158,-0.0940138616655432,-0.0837588153966022,-0.0889395415840886,-0.0856601782834823,-0.0979573375390627,-0.0940601625398204
4,-0.108940105241225,-0.0869002001606177,-0.084788355504036,-0.178339802179003,-0.120604437020783,-0.109639673995435,-0.0815666599316875,-0.0773984570748072,-0.0357466272028834,-0.100225580766681,NA,-0.0895255165424058,NA,-0.187479849591932,-0.0606556527746581,-0.0589767740248455,-0.118969546127494,-0.0960495531088478,-0.0778923279422005,-0.109046700599775,-0.0842465965220292,-0.087714777173387,-0.145041072485793,-0.0653459173939336,-0.0794867037199938,-0.103033335351935,-0.185063064575236,0.145477250922809,-0.0281342195474503,NA,NA,-0.0691308953666542,-0.0869815800105499,-0.157614961524192,-0.0713534273866469,-0.0738177928153563,-0.0948494797733472,-0.0886666967385162,-0.0823766880068001,-0.0959792176586524,-0.0911772964506452,-0.0856197811845429
5,-0.0773585045383109,-0.0997545421920322,-0.0931607617940035,-0.0647461292925818,-0.0696967175465563,-0.0897189256029859,-0.116677159747576,-0.0886196413640598,-0.0920659969066553,-0.107258963926606,-0.0752468621395313,-0.0957690481366189,-0.104592990380336,-0.0875321040513183,-0.0733400024739134,-0.091869245484461,-0.0893433846846148,-0.0806481948345242,-0.0714247155660091,-0.0962579339068239,-0.0862843954990407,-0.0824648095947273,-0.087193733277356,-0.0583471009686019,-0.095994955074292,-0.0756725064995221,-0.106291871919188,-0.0580269916819687,-0.0924685481043904,-0.0786659215711255,-0.083846979086961,-0.101221797597024,-0.0676096939857364,-0.0535688039588819,-0.0959867937509847,-0.0858672992051064,-0.107999929678686,-0.101379939155686,-0.103475851454249,-0.0922841642016594,-0.103557030615484,-0.0848618354660764
6,-0.0738759216069569,-0.0651745668533811,-0.104177510916509,-0.173445237986636,-0.0874645188304483,-0.123066806351828,-0.168158969336814,-0.0884395606676115,NA,0.0348539352614804,-0.189759076771138,NA,NA,NA,-0.0704878443878228,-0.115493587125237,-0.103385035261927,0.0269670582742489,-0.0815179309754149,-0.0485414708243312,-0.102673731317478,-0.057491491067299,NA,NA,-0.0281967796085105,NA,NA,NA,-0.0285798964757407,NA,NA,-0.120463905279595,NA,NA,-0.0228752987540144,-0.0720548429853663,NA,NA,-0.0946911007817903,-0.132694234280717,-0.0992915188896616,-0.131297941879205
7,-0.0885246942909791,-0.0899389024943098,-0.0868862784030078,-0.112117502862404,-0.0946995268340506,-0.105331177823663,-0.0368880580640481,-0.0547241055362003,-0.0753595148449431,-0.106931042365455,0.064707859858629,-0.108482590824623,-0.0964558129335234,-0.108248380506539,-0.107835010851868,-0.112162094938319,-0.103589337824663,-0.0794767920392939,-0.0914057003222652,-0.102161133643808,-0.069202678318931,-0.117137957838663,-0.191306812803675,-0.0475585688240485,-0.0609425240207578,-0.185887808903144,-0.191443713448765,NA,-0.0915047499578084,-0.0388285784301101,-0.0178427675911515,-0.0794937827543455,-0.103451322216354,-0.0964912151657562,-0.0941230847651162,-0.0710908183795929,-0.0793319825833226,-0.0807266588790482,-0.0881737358858631,-0.0700258833260145,-0.0830640857463282,-0.0842737454525496
8,-0.0984026179399039,-0.0948154585507303,-0.106990381959793,-0.0908404328126742,-0.134389228582527,-0.169866108600099,-0.132409068981546,-0.0753095772984876,-0.0749470620128532,0.0391436586248349,-0.0660291708128768,NA,-0.0703638391572002,-0.133109689682075,-0.133758731645953,NA,0.0522443776044852,NA,0.0701241795201034,-0.0953284948662934,0.30596816203297,-0.00307244510352175,-0.017454386100309,-0.102122912046022,-0.111143995374517,-0.0475065931661811,NA,0.485268754654479,-0.0608644816941456,-0.0825885765858274,NA,0.000279477678688904,-0.0826675957531293,NA,-0.0825856124285075,-0.0945799017775516,-0.127805952034455,-0.168165422469063,-0.011461737877386,-0.0783643163956957,-0.105084803445307,-0.0277791652904985
9,-0.0632732062113788,-0.0532169313530904,NA,-0.0814740217754027,-0.085413114914594,-0.0793934536329607,-0.0292715827490387,-0.0874780560187227,-0.0955796287031851,-0.0490927260247752,-0.0578733251279419,NA,NA,NA,-0.0908528566834157,-0.0893423635628095,NA,-0.0305816573935306,-0.0897493545758185,-0.109073125394047,-0.0113115282643239,-0.114340006823056,-0.222583621833894,-0.0162338502425606,-0.113215077587856,NA,NA,NA,-0.0843019349066184,-0.0544524949930399,NA,0.185561385472708,NA,NA,NA,-0.0753699641561415,-0.015737207337829,NA,-0.102401105822688,NA,NA,-0.0686030312151919
10,-0.0843292307549697,-0.105296109878461,-0.101809496456729,-0.0985292416363848,-0.0812337034242134,-0.102152156431647,-0.123760454052465,-0.0784960705685244,-0.144609727158986,-0.102878623683286,NA,NA,NA,-0.0666276850939414,-0.0782323406640836,-0.124358366494715,-0.0723345179157927,0.00575603356574691,-0.103085106946006,-0.0874867200114106,-0.0685567973701197,-0.0741486344792026,-0.171031465160943,-0.0660872983350906,-0.0974574432411697,NA,-0.108350828912976,NA,-0.109236468008875,NA,-0.0665910975125839,-0.081819635729549,-0.167962078549571,-0.0135752337912927,-0.0931618794690328,-0.0820721132459459,-0.130084700279669,-0.0438844586427518,-0.0795382408379696,-0.0668503229215926,-0.126803851889615,-0.0372792534365797
