"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,8.36198867766954,8.50358100510031,8.73507494947957,7.72982343278828,8.37498431075755,8.24988881258747,8.05718751701964,8.77493141138359,8.77133918670945,7.77636740488112,8.10808153304666,8.03177547719075,7.99375513443297,8.00075194123068,8.97456742028653,9.11319051287897,9.47738594906046,8.20767449715515,8.54340663618909,8.96781012310452,8.46083450251948,7.80269995981535,7.58090407323728,7.70291758880826,7.95170029025633,7.53048028305694,7.30491981393533,7.48594075569835,7.68008347080173,7.69730315998985,7.20310836735943,8.04533194044954,7.75747891646752,NA,7.40488794561136,8.23079037139225,8.32078899653703,7.51556270890275,8.77844917335266,8.58290605785535,8.72010140847588,8.34274461834092
2,8.36208210504298,8.50358100510031,8.73847904392362,7.72982343278828,8.37498431075755,8.24988881258747,8.05718751701964,8.77502414230503,8.7714012310682,7.77636740488112,8.10808153304666,8.0322952951564,7.9938901600579,8.00075194123068,8.97466868610615,9.11338885803952,9.4776462585341,8.20772900791298,8.54340663618909,8.96791207548953,8.46083450251948,7.80269995981535,7.58090407323728,7.70291758880826,7.95170029025633,7.53048028305694,7.30491981393533,7.48594075569835,7.68008347080173,7.69712152351899,7.20340607468949,8.04533194044954,7.75807731648,7.22983930325061,7.40488794561136,8.23079037139225,8.32088635328944,7.51578050252379,8.77881874525187,8.58290605785535,8.72003609809172,8.34255410588339
3,8.36208210504298,8.50358100510031,8.73809425589274,7.72982343278828,8.37498431075755,8.2497842920895,8.05718751701964,8.77493141138359,8.77133918670945,7.77636740488112,8.10808153304666,8.03216535755315,7.9938901600579,8.00075194123068,8.97451678353092,9.11343292934583,9.4777074917708,8.20761998639732,8.54340663618909,8.96791207548953,8.46083450251948,7.80269995981535,7.58090407323728,7.70291758880826,7.95170029025633,7.53037297546727,7.30491981393533,NA,7.67989867923266,NA,7.20310841167421,8.04533194044954,7.75807731648,7.22983930325061,7.40488794561136,8.23079037139225,8.3205942545926,7.51578050252379,8.77869556979411,8.58283114307614,8.72003609809172,8.34236355712394
4,8.36208210504298,8.50358100510031,8.73642512803135,7.72982343278828,8.37498431075755,8.24915674267342,8.05718751701964,8.77486958567321,8.76987997660445,7.77619957746645,NA,8.0322952951564,7.9938901600579,8.00075194123068,8.97461805447819,9.11343292934583,9.47776872125823,8.20772900791298,8.54332870298373,8.96740220958978,8.46083450251948,7.80269995981535,7.58090407323728,7.70291758880826,7.95170029025633,7.53026566787761,7.30491981393533,7.48594075569835,7.68008347080173,7.69712150702009,7.20340607468949,8.04546017021114,7.75807731648,7.22983930325061,7.40488794561136,8.23079037139225,8.32069163030537,7.51578050252379,8.77897269276732,8.58268129667894,8.71964414618705,8.34264936664903
5,8.36208210504298,8.50358100510031,8.7380301101569,7.72982343278828,8.37498431075755,8.2497842920895,8.05718751701964,8.77493141138359,8.7713081626052,7.77636740488112,8.10808153304666,8.0322952951564,7.99375514354893,8.00075194123068,8.97456742028653,9.11347699870995,9.47761564050963,8.20772900791298,8.54340663618909,8.96786110059631,8.46083450251948,7.80269995981535,7.58090407323728,7.70291758880826,7.95170029025633,7.53048028305694,7.30491981393533,NA,NA,7.69730315998985,7.20340607468949,8.04533194044954,7.75807731648,7.22983930325061,7.40488794561136,8.2305772881061,8.32049686939689,7.51578050252379,8.77881874525187,8.58283114307614,8.72010140847588,8.34255410588339
6,8.36067977710212,8.48961646591411,8.68899294911913,7.72982343278828,8.37489208111546,8.24674843018927,8.05706078236397,8.77096683969564,8.76760946291657,7.7755279860056,NA,8.03216536599504,NA,8.00068489464826,8.97099115982602,9.11270549822761,9.47386846739862,8.20751095299467,8.54239303047195,8.96090419517568,8.46074986077323,7.80269995981535,7.58090407323728,7.70291758880826,7.95170029025633,NA,7.30438189079393,7.48594075569835,7.67934409954962,7.69730315998985,NA,8.04520369424296,7.75559594095571,7.22983930325061,7.40488794561136,8.2305772881061,8.31551760659057,NA,8.77820271618504,8.58080631969869,8.70569531865313,8.34198235064398
7,8.36208210504298,8.50358100510031,8.73847904392362,7.72982343278828,8.37498431075755,8.24988881258747,8.05718751701964,8.77499323327178,8.77133918670945,7.77636740488112,8.10808153304666,8.0322952951564,7.99375514354893,8.00075194123068,8.97466868610615,9.1132125533889,9.4770490368404,8.20756545780772,8.54340663618909,8.96791207548953,8.46083450251948,7.80269995981535,7.58090407323728,7.70291758880826,7.95170029025633,7.53048028305694,7.30491981393533,7.48594075569835,7.68008347080173,7.69730315998985,7.20340607468949,8.04533194044954,7.75807731648,7.22983930325061,7.40488794561136,8.23079037139225,8.32078899653703,7.51578050252379,8.77891111641548,8.58290605785535,8.71997078344184,8.34255410588339
8,8.36198867766954,8.50358100510031,8.73793388332299,7.72982343278828,8.37498431075755,8.24952294167332,8.05718751701964,8.77428205022448,8.77133918670945,7.77636740488112,8.10530374863083,NA,7.99287670579125,NA,8.97436485787778,9.11301417325259,9.47740128386478,NA,8.54340663618909,8.9677846330592,8.46083450251948,7.80269995981535,NA,NA,7.95170029025633,NA,7.30491981393533,NA,7.68008347080173,NA,NA,8.04520369424296,NA,7.22983930325061,7.40379185537513,8.23079037139225,8.31981490734897,NA,8.77752463800546,8.58283114307614,8.71846736787144,8.34236355712394
9,8.36198867766954,8.50349990539484,8.73430259753381,7.72982343278828,8.37498431075755,8.24957521831425,8.05718751701964,8.77486958567321,8.77121508644224,7.77619957746645,8.10808153304666,8.03184046710368,7.99375514354893,8.00075194123068,8.97456742028653,9.11343292934583,9.47776872125823,8.20772900791298,8.54332870298373,8.96745320787969,8.46083450251948,7.80269995981535,7.58090407323728,7.70291758880826,7.95170029025633,7.53037297546727,7.30491981393533,7.48594075569835,7.67989867923266,7.69730315998985,7.20310836735943,8.04546017021114,7.75602427972647,7.22983930325061,7.40488794561136,8.23079037139225,8.32000956850524,7.51567160571327,8.77894190553931,NA,8.71954613366833,8.34264936664903
10,8.36208210504298,8.50358100510031,8.73770931974304,7.72982343278828,8.37498431075755,8.24988881258747,8.05718751701964,8.77493141138359,8.7714012310682,7.77636740488112,8.10796108741945,8.03216536599504,7.99375514354893,8.00075194123068,8.97456742028653,9.11347699870995,9.47749315903623,8.20761998639732,8.54332870298373,8.96783561185041,8.46083450251948,7.80269995981535,7.58090407323728,7.70291758880826,7.95170029025633,7.53048028305694,7.30491981393533,7.48594075569835,7.68008347080173,7.69730315998985,7.20340607468949,8.04533194044954,7.75807731648,7.22983930325061,7.40488794561136,8.23079037139225,8.32078899653703,7.51578050252379,8.77881874525187,8.58290605785535,8.72003609809172,8.34255410588339
