"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,25,27,23,27,22,20,25,22,18,24,23.5,16,24,20,19,19,16.5,19,24,21,22,23,19,30,21,18,20.5,24,20,18,20.5,26,17,NA,22,21,22,25.5,20,15,19,25
2,23,22,22,27,20,15,20,19,13,25,20,16,13,19,18,13,15,18.5,22,14,18,21,17,25,19,18,18,24,17,11,17,20,15,19,20,20,16,18,18,14,16,21
3,23,26,25,29.5,20,17,21.5,19,16,23.5,21,10.5,17,19.5,18,17,17,20,22,16,19,23,19,26,21.5,24,18.5,NA,20,NA,23,21,18,22.5,21,20,20.5,20,18,17,20,22
4,25.5,30.5,27,39,23.5,20.5,21,21.5,22,27.5,NA,18,20,20,19,17,18,22,26,19,22,25,22,29,24,25,24,25,20.5,19.5,21,23,19,23,23,23,23,22,21,17,21,25
5,26,22,24,24.5,20,17,20,20,15,21,19,14,17,17,18,16,16,18.5,23,16,18.5,23,19.5,27,23.5,17,20,NA,NA,15,21,23,17,21,19,19,17,19,19,17,19,23
6,25,26,28,32,22,20,24,21,17,23.5,NA,18,NA,20,20,19,27.5,21.5,23,17,22,24,26,29,24,NA,19,24,22,21,NA,22,20.5,17,25,22,23,NA,22,19,18,25
7,23,25,24,30.5,19,17,26,17,15,19,21,16,18.5,20,18,16,16.5,20.5,25,16,20,22,19.5,28,21,20,21,23.5,18,16,22,20,19,21,22,20,19,21,18,16,19,22
8,24,27,25,34.5,22,18.5,22,21,20.5,23,24,NA,21,NA,19,17.5,19,NA,23,23,20,22,NA,NA,19,NA,22,NA,18,NA,NA,20,NA,25,25.5,22,25,NA,23,17,20,19
9,25,26,25,32,23,22,26,22,20,28,24,21,22,23,20,19,19.5,21,25,19,21,26,24,34,24,24.5,28,27,23,22,22.5,23.5,23,23.5,23,23,23,21,25,NA,20,24
10,23,28,24.5,29,20,17,24,19,16,24,18,15,17,18,17,16,17,19,23,17.5,19,22,23,27.5,19,19.5,20.5,23,19,18,21,20,19,21,23,20,19,17,18,16,19,23
11,24,25,29,30,22,19,24.5,21,19,23,23,24,19,21,20,18,22,21,24,20,23,22,24,25,24.5,NA,NA,22,22,21.5,28,21,NA,NA,20,21,20,NA,24,13,NA,NA
12,26,31,29,38,24,24.5,26,22,19,31,22,NA,23,25,21,19,19,22,26,20,23,26.5,23,34,23,30,26,28,21,NA,22,23,NA,25,24,23.5,NA,24,21,23,21,23
13,25,28,21,33.5,22,21,24,21,18,26,20.5,21,22.5,22,20,19,NA,NA,24,19,21,22,21,25.5,21,20.5,24,NA,20,23,27,NA,NA,NA,NA,21,18,24,21,20,NA,NA
14,31,29,33,35,26,22,36.5,25,19,38,31,NA,NA,NA,27.5,NA,25,20,25.5,21,28.5,25,NA,24,NA,NA,NA,NA,29,NA,NA,NA,24,NA,NA,29,24,23.5,24,23,25.5,30
15,27.5,27,33.5,32,24,21,27,23,20,28,23,22,21,25,20,19,19,22,26,20,23,27,23,35.5,22.5,22.5,31,26.5,23,23,24,23,NA,22,25.5,24.5,26.5,20,24.5,21,25,23
16,24,28,26,28.5,21,19,22.5,20,17,25,20.5,18,16.5,18,18,16.5,NA,18,23,17,22.5,21,20.5,31,20.5,20.5,23,26,19,17.5,29,19,NA,22,NA,21,17,15,20,20,18,22
17,27,27,27,28,24,21,23,22,18.5,25,23,20,22,22.5,20,17,18,21,25,19,21,26,22,29.5,22,22,24,25,21,21.5,23.5,23,20,23,22,24,24.5,23,19,24,21,20
18,24,29.5,NA,36,22,21,26,23,19,28,22,NA,NA,NA,20,21,NA,NA,24,22,22,23,NA,NA,22,NA,NA,NA,21,21,NA,21,NA,NA,NA,21,20,26,17,21,NA,NA
19,28,30.5,27,33,24,24,27,24,21,29.5,26,23,22,24.5,21,21,20,23,26,22,24,25.5,25,35,22,24,26.5,27.5,25,22,24,24.5,NA,22,23,23,24.5,21.5,26.5,20.5,17.5,21.5
