"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.23943954706192,-0.495283797383308,-0.458884075284004,-0.294078886508942,-0.175185307860374,-0.261594623327255,-0.161136463284492,-0.215794205665588,-0.375859051942825,-0.281231969594955,-0.057896938174963,-0.483016237616539,-0.206893846392632,-0.0819431617856026,-0.226140663027763,-0.272166043519974,-0.272915795445442,-0.289045110344887,-0.211369313299656,-0.35670779645443,-0.321750789880753,0.287259414792061,-0.507195338606834,-0.272381201386452,-0.0549054481089115,-0.114128828048706,-0.161559715867043,0.29288724064827,-0.456413894891739,-0.495395749807358,-0.406485050916672,-0.433815330266953,0.13104459643364,-0.207667589187622,-0.51252792775631,-0.367363110184669,NA,0.403621047735214,-0.47657498717308,-0.59566468000412,-0.214179277420044,-0.393924832344055
2,-0.29257433116436,-0.315289348363876,-0.499940723180771,0.75521794706583,-0.234924085438251,-0.380310088396072,-0.335583008825779,-0.199295818805695,-0.297346651554108,-0.500957787036896,-0.286206215620041,-0.352576076984406,-0.327137127518654,-0.474303841590881,-0.188834667205811,-0.405064791440964,-0.426687493920326,-0.405830174684525,-0.0839790776371956,-0.356789082288742,-0.309832140803337,-0.3902947306633,-0.889858484268188,-0.0650934465229511,-0.470545381307602,-0.511810481548309,-0.361356794834137,-0.304219469428062,-0.0335932374000549,-0.410559251904488,-0.523333936929703,-0.316456899046898,-0.492043852806091,-0.175551846623421,-0.276710152626038,-0.123797051608562,-0.506683588027954,-0.337679117918015,-0.278800487518311,-0.508671402931213,-0.392446964979172,-0.393596902489662
3,-0.273031920194626,-0.405355304479599,-0.410634636878967,-0.171239569783211,-0.289523504674435,-0.415892466902733,-0.19515111669898,-0.532175481319427,-0.379402220249176,-0.496155917644501,-0.532552897930145,-0.286823965609074,-0.196854695677757,-0.186699204146862,-0.524017572402954,-0.510261192917824,-0.38942152261734,-0.539097130298615,-0.303917616605759,-0.44256879389286,-0.591758549213409,-0.408327162265778,-0.602624714374542,-0.37203049659729,-0.368450537323952,-0.407877340912819,-0.629668116569519,-0.639954149723053,-0.604809105396271,-0.618649631738663,-0.396168380975723,-0.346622049808502,-0.464656680822372,-0.345779940485954,-0.45237298309803,-0.39000216126442,-0.383522093296051,-0.406375646591187,-0.365342110395432,-0.480494529008865,-0.414356797933578,-0.386243641376495
4,-0.253502823412418,-0.376242071390152,-0.328940540552139,-0.0369478240609169,-0.19966147094965,-0.44052791595459,-0.328914731740952,-0.305700153112411,-0.197965905070305,-0.420375972986221,NA,-0.177535485476255,NA,-0.912593126296997,-0.46539095044136,-0.402379229664803,-0.454309090971947,-0.605719387531281,-0.330107092857361,-0.407691046595573,-0.426224023103714,-0.29340748488903,-0.617944777011871,-0.34682235121727,-0.364541560411453,-0.687434673309326,-0.223213896155357,-0.764664649963379,-0.310484409332275,NA,NA,-0.42206084728241,-0.311147883534431,-0.576515063643456,-0.335378885269165,-0.349236965179443,-0.363235533237457,-0.545243501663208,-0.383756756782532,-0.454054772853851,-0.442882239818573,-0.39597299695015
5,-0.296193063259125,-0.33426108956337,-0.413263976573944,-0.469584763050079,-0.27704581618309,-0.392106294631958,-0.477169275283813,-0.453881919384003,-0.413162142038345,-0.431548461318016,-0.297435790300369,-0.356047511100769,-0.407153397798538,-0.42001761496067,-0.309597820043564,-0.362264171242714,-0.4779152572155,-0.307013481855392,-0.414534673094749,-0.388077110052109,-0.505377352237701,-0.24471715092659,-0.448720082640648,-0.290765047073364,-0.244612693786621,-0.588722050189972,-0.449768871068954,-0.330815315246582,-0.30875351279974,-0.243388831615448,-0.451006829738617,-0.401706486940384,-0.353204518556595,-0.472163587808609,-0.458067685365677,-0.259408593177795,-0.397299617528915,-0.396615892648697,-0.385084122419357,-0.411011666059494,-0.43913035094738,-0.415589407086372
6,-0.344192445278168,-0.336536169052124,-0.452818751335144,-0.247838795185089,-0.337822794914246,-0.324757605791092,-0.580714285373688,-0.369768261909485,NA,-0.355540543794632,0.0341891646385193,NA,NA,NA,-0.372493103146553,-0.546986043453217,-0.73255068063736,-0.782627105712891,-0.346285119652748,-0.221031561493874,-0.566770136356354,-0.201990947127342,NA,NA,-0.544622719287872,NA,NA,NA,-0.447949461638927,NA,NA,-0.221541926264763,NA,NA,-0.609793990850449,-0.309936851263046,NA,NA,-0.15177546441555,-0.510642068460584,-0.294277966022491,-0.667039036750793
7,-0.393152832984924,-0.455573558807373,-0.451227948069572,-0.447858333587646,-0.418687373399734,-0.513356611132622,-0.257160305976868,-0.485199153423309,-0.36538228392601,-0.466401904821396,-0.0235759075731039,-0.879525423049927,-0.511451929807663,-0.426431655883789,-0.265028387308121,-0.519538417458534,-0.455995202064514,-0.419419527053833,-0.307252660393715,-0.514308214187622,-0.50049215555191,-0.2985680103302,-0.396561056375504,-0.307455986738205,0.798562943935394,-0.181011870503426,-0.357692956924438,NA,0.112074390053749,0.682481408119202,-0.573631465435028,-0.328817561268806,-0.478044420480728,-0.436402648687363,-0.465608239173889,-0.36543071269989,-0.436016380786896,-0.487964436411858,-0.369453281164169,-0.407290816307068,-0.444891184568405,-0.434188008308411
8,-0.1700239777565,-0.447430789470673,-0.643169090151787,-0.20746149122715,-0.456864297389984,-0.115745030343533,-0.435420326888561,0.32972839474678,-0.787826031446457,0.288134083151817,-0.364331543445587,NA,-0.15643735229969,-0.610391855239868,-0.307511061429977,NA,-0.183592349290848,NA,0.0497629269957542,-0.461273044347763,-0.43139111995697,-0.451013654470444,-0.22683821618557,-0.0558322481811047,-0.255569480359554,-0.473770827054977,NA,-0.379830881953239,0.092797115445137,0.426338791847229,NA,-0.348770037293434,-0.0450144037604332,NA,1.56404900550842,-0.509319663047791,0.0938763171434402,-0.181231334805489,-0.441806584596634,-0.632979512214661,-0.434154108166695,-0.44693985581398
9,-0.268981024622917,-0.444476738572121,NA,-0.432420410215855,-0.309060201048851,-0.347513049840927,-0.42362567782402,-0.310053452849388,-0.525182008743286,-0.301467835903168,-0.250156462192535,NA,NA,NA,-0.348995938897133,-0.178535312414169,NA,0.74349319934845,-0.330785736441612,-0.205656960606575,-0.111730247735977,-0.230033978819847,-0.294069871306419,-0.789441645145416,-0.45854789018631,NA,NA,NA,-0.267197579145432,-0.636306285858154,NA,-0.465330511331558,NA,NA,NA,-0.283511847257614,-0.183905705809593,NA,-0.496871620416641,NA,NA,-0.513595759868622
10,-0.250886768102646,-0.488562539219856,-0.463556826114655,-0.186878845095634,-0.399145558476448,-0.504719275981188,-0.399045675992966,-0.393554031848907,-0.546632170677185,-0.272439509630203,NA,NA,NA,-0.569862186908722,-0.331774517893791,-0.227267384529114,-0.440665930509567,-0.431983940303326,-0.255357295274734,-0.0596576668322086,-0.280106723308563,-0.343687266111374,-0.321397052146494,-0.257857158780098,-0.325747221708298,NA,-0.255878210067749,NA,-0.50020395219326,NA,-0.820133984088898,-0.353480637073517,-0.573742434382439,0.931215643882751,-0.615889519453049,-0.383863717317581,-0.319383472204208,-0.725494801998138,-0.363285332918167,-0.356438875198364,-0.461952790617943,-0.401630774140358
