"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.481349855661392,-0.410593599081039,-0.314926788210869,-0.607507765293121,-0.45412190258503,-0.539916455745697,-0.383761167526245,-0.486368969082832,-0.530812323093414,-0.19629430025816,-0.486833408474922,-0.917700886726379,-0.637300491333008,-0.347161322832108,-0.495535463094711,-0.613321304321289,-0.649500787258148,-0.933088630437851,-0.487648144364357,-0.455454498529434,-0.469965040683746,-0.434778779745102,-0.715512752532959,-0.46131619811058,-0.380262464284897,-0.334370881319046,-0.887377172708511,-0.683509349822998,-0.485727041959763,-0.96936172246933,-0.608554199337959,-0.560877054929733,-0.384158715605736,NA,-0.57203882932663,-0.451954126358032,-0.722956359386444,-0.184315394610167,-0.533380329608917,-0.56836986541748,-0.236980050802231,-0.837544083595276
2,-0.488081604242325,-0.503624141216278,-0.399394020438194,-0.492758601903915,-0.321778833866119,-0.461435228586197,-0.222590297460556,-0.373625457286835,-0.37045057117939,-0.705548167228699,-0.269454538822174,-0.159592673182487,-0.431272692978382,-0.510670930147171,-0.475701570510864,-0.529961615800858,-0.475813567638397,-0.452425301074982,-0.504827350378036,-0.391834527254105,-0.505615949630737,-0.408986046910286,-0.219075724482536,-0.417605817317963,-0.42261216044426,-0.352218180894852,-0.229118585586548,-0.565646961331367,-0.567558228969574,-0.523437693715096,-0.507278144359589,-0.409719169139862,-0.505200505256653,-0.490501552820206,-0.428731322288513,-0.50109875202179,-0.517695546150208,-0.519193291664124,-0.446291923522949,-0.403046458959579,-0.498391300439835,-0.514498174190521
3,-0.498651146888733,-0.527009606361389,-0.496384918689728,-0.497156292200089,-0.475678652524948,-0.436342656612396,-0.695634931325912,-0.362446933984756,-0.498344391584396,-0.415661156177521,-0.522832036018372,-0.539562046527863,-0.326926350593567,-0.510466679930687,-0.391620516777039,-0.519195705652237,-0.385807871818542,-0.495072901248932,-0.515882313251495,-0.527768850326538,-0.449760764837265,-0.495899140834808,-0.331389054656029,-0.290449261665344,-0.716900050640106,-0.418112486600876,-0.698976784944534,NA,-0.369315020740032,NA,-0.104045897722244,-0.519146740436554,-0.424719661474228,-0.427077665925026,-0.548722803592682,-0.506887644529343,-0.448133155703545,-0.752834558486938,-0.397194296121597,-0.448404997587204,-0.479429423809052,-0.468998998403549
4,-0.357432410120964,-0.517499536275864,-0.494942158460617,-0.643937289714813,-0.366101942956448,-0.645887166261673,-0.0227610878646374,-0.492220789194107,-0.608707338571548,-0.438186183571815,NA,-0.570767045021057,-0.370841592550278,-0.535816073417664,-0.460835784673691,-0.495317310094833,-0.493830800056458,-0.468430906534195,-0.483101010322571,-0.515093863010406,-0.503612339496613,-0.550949573516846,-0.572692513465881,-0.458198070526123,-0.353311419487,-0.597165882587433,-0.628057420253754,-0.528646528720856,-0.355332523584366,-0.411906823515892,-0.438597828149796,-0.506386816501617,-0.50298747420311,-0.541379898786545,-0.493431150913239,-0.471890419721603,-0.602167189121246,-0.615940481424332,-0.438307538628578,-0.351578056812286,-0.47767598927021,-0.392709612846375
5,-0.385832160711288,-0.507151395082474,-0.492252200841904,-0.677889943122864,-0.520437121391296,-0.492117181420326,-0.500129044055939,-0.611687183380127,-0.557149410247803,-0.467678412795067,-0.469738394021988,-0.512946605682373,-0.393756508827209,-0.419669300317764,-0.451160162687302,-0.372784614562988,-0.590316832065582,-0.331628978252411,-0.559682667255402,-0.541982442140579,-0.564242392778397,-0.491297900676727,-0.261560842394829,-0.350717023015022,-0.458090960979462,-0.452418893575668,-0.647200703620911,NA,NA,-0.706007719039917,-0.247759871184826,-0.578078508377075,-0.716964453458786,-0.274294823408127,-0.5489741563797,-0.47514633834362,-0.451045721769333,-0.230027735233307,-0.677660405635834,-0.416017055511475,-0.598877519369125,-0.522715032100677
6,-0.527493715286255,-0.643927872180939,-0.666095912456512,-0.391533806920052,-0.547910869121552,-0.323001697659492,-0.455769762396812,-0.570127874612808,-0.564194083213806,-0.387634322047234,NA,-0.0515938401222229,NA,-0.735760509967804,-0.561838239431381,-0.485477037727833,-0.335051700472832,-0.40424981713295,-0.594093710184097,-0.464507579803467,-0.449310302734375,-0.40260137617588,-0.957170009613037,-0.558385848999023,-0.294855237007141,NA,-0.49309494253248,-0.834288001060486,-0.718509435653687,-0.0148484911769629,NA,-0.503035351634026,-0.483780786395073,-0.376932203769684,-0.541000187397003,-0.435260325670242,-0.510370254516602,NA,-0.544013619422913,-0.235636234283447,-0.411469951272011,-0.390465214848518
7,-0.598681390285492,-0.476161658763885,-0.580649673938751,-0.530027240514755,-0.554078221321106,-0.56138950586319,-0.624427914619446,-0.536586165428162,-0.399791032075882,-0.616526186466217,-0.601143658161163,-0.549587547779083,-0.534076243638992,-0.368510186672211,-0.348828792572021,-0.507589995861053,-0.723853141069412,-0.701472774147987,-0.639278769493103,-0.494294911623001,-0.296932235360146,-0.526767194271088,-0.694652438163757,-0.333307191729546,-0.45163282752037,-0.429531425237656,-0.496118292212486,-0.461007565259933,-0.203129455447197,-0.401379853487015,-0.386406868696213,-0.611360847949982,-0.537477731704712,-0.583041906356812,-0.353637233376503,-0.585435569286346,-0.504249155521393,-0.569091379642487,-0.34470072388649,-0.497673943638802,-0.446784377098083,-0.436170980334282
8,-0.488168507814407,-0.525237590074539,-0.512669205665588,-0.502378299832344,-0.445095926523209,-0.426332056522369,-0.299069970846176,-0.47817599773407,-0.42671325802803,-0.283055171370506,-0.216172438114882,NA,-0.518808722496033,NA,-0.508321762084961,-0.317152007948607,-0.303951978683472,NA,-0.449704527854919,-0.454436376690865,-0.502631723880768,-0.298392951488495,NA,NA,-0.484457731246948,NA,-0.678512573242188,NA,-0.170343980193138,NA,NA,-0.84090667963028,NA,-0.323642820119858,-0.522707104682922,-0.445606157183647,-0.154729947447777,NA,-0.361032322049141,-0.247290715575218,-0.823973655700684,-0.100900739431381
9,-0.571481943130493,-0.57217675447464,-0.358996003866196,-0.495576947927475,-0.475322172045708,-0.396165728569031,-0.486438930034637,-0.503195524215698,-0.459023997187614,-0.484414502978325,-0.50351294875145,-0.548221498727798,-0.534991264343262,-0.504128873348236,-0.466195940971375,-0.467238038778305,-0.447667479515076,-0.518411755561829,-0.51649135351181,-0.478794693946838,-0.42858961224556,-0.482816457748413,-0.79109400510788,-0.262025445699692,-0.71062171459198,-0.916930347681046,-0.55916291475296,-0.532710760831833,-0.555670380592346,-0.508869171142578,-0.854719310998917,-0.395761042833328,-0.00782779511064291,-0.427974343299866,-0.259084828197956,-0.402008771896362,-0.773092448711395,-0.179304637014866,-0.440786391496658,NA,-0.840236872434616,-0.725333333015442
10,-0.404431939125061,-0.357074722647667,-0.456293478608131,-0.447089374065399,-0.514946401119232,-0.48313270509243,-0.533766269683838,-0.539765983819962,-0.602604746818542,-0.593956828117371,-0.556684076786041,-0.563294589519501,-0.660561978816986,-0.405451059341431,-0.558119654655457,-0.120664268732071,-0.596411317586899,-0.440686017274857,-0.55081182718277,-0.312479689717293,-0.332491427659988,-0.554871141910553,-0.580539286136627,-0.391516298055649,-0.498607605695724,-0.340141609311104,-0.374019756913185,-0.509142100811005,-0.544489324092865,-0.487876549363136,-0.627604007720947,-0.396200284361839,-0.354832649230957,-0.312987715005875,-0.444440126419067,-0.474451839923859,-0.618475615978241,-0.494251593947411,-0.489056617021561,-0.44780507683754,-0.540953099727631,-0.428909480571747
