"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,19.9172592163086,23.0222644805908,16.9361886978149,14.9907598495483,10.1346244812012,11.9111075401306,11.8340330123901,13.8594851493835,12.5514240264893,14.9214715957642,6.64395427703857,8.16318130493164,8.131591796875,8.98879337310791,12.9731845855713,15.9481887817383,12.9165091514587,13.018138885498,16.1883773803711,16.1068553924561,16.5371112823486,5.86522889137268,8.05218243598938,8.45687246322632,4.22369909286499,7.86534929275513,8.02554845809937,4.64298105239868,7.77293968200684,1.25329732894897,7.51447916030884,8.8411922454834,29.7714653015137,7.30497646331787,9.83365869522095,10.6099147796631,NA,10.641565322876,22.038646697998,9.16473293304443,13.4496364593506,10.9172248840332
2,21.0242433547974,15.1024923324585,16.1531181335449,17.5684690475464,11.0324082374573,6.87122488021851,11.9660940170288,14.5847702026367,7.8967022895813,12.9795246124268,5.63378000259399,4.16516590118408,5.42877101898193,6.44011878967285,17.2950706481934,15.0652275085449,20.7378969192505,19.4136257171631,23.1427974700928,12.3791122436523,21.673924446106,4.75759887695312,5.32454681396484,4.07757115364075,1.69959700107574,0.451775103807449,1.07767155766487,1.91411191225052,2.87193012237549,0.386399284005165,1.5637811422348,13.3143439292908,7.82415723800659,12.0221281051636,12.3877735137939,8.20233726501465,5.72364640235901,6.22581577301025,6.64421796798706,5.50559282302856,8.78391790390015,8.23368978500366
3,27.0476188659668,23.3513965606689,23.9663963317871,21.9339294433594,16.8823442459106,14.1327333450317,13.2023539543152,18.7823038101196,13.827543258667,22.0836486816406,13.8443098068237,14.1504220962524,12.2052593231201,8.28286004066467,22.0652770996094,18.497444152832,22.3783359527588,23.5906829833984,26.213773727417,17.8227310180664,23.9617328643799,9.90359020233154,14.3991627693176,8.59329795837402,5.87668371200562,4.03745806217194,4.20232629776001,2.84153151512146,6.36616122722626,7.46410775184631,5.99004912376404,17.1985111236572,16.3105182647705,17.4312705993652,17.3664979934692,12.8942966461182,12.9534902572632,15.7377309799194,13.9212465286255,13.3947439193726,17.2347011566162,18.8040380477905
4,55.1350612640381,27.076904296875,29.5205402374268,24.5880966186523,27.1695966720581,17.4897804260254,12.8731698989868,21.1584377288818,15.1017980575562,28.7914524078369,NA,16.3643617630005,NA,8.50234413146973,34.7862510681152,22.8692922592163,21.1106882095337,21.9469881057739,50.71510887146,22.5303564071655,27.8860187530518,18.9776306152344,11.3592720031738,10.4925990104675,5.31241488456726,1.00842821598053,4.56901931762695,0.111656650900841,14.0174436569214,NA,NA,27.7144947052002,17.1106081008911,20.96337890625,18.5526523590088,22.6491785049438,15.022497177124,18.7497987747192,18.3856182098389,14.7325258255005,19.3464136123657,22.0760154724121
5,36.8902893066406,27.0316896438599,25.8696050643921,18.2864189147949,19.0291881561279,13.0528335571289,13.9579887390137,19.4391460418701,14.7386102676392,21.6900901794434,8.60000228881836,7.0804443359375,10.5240497589111,8.74684572219849,25.0841789245605,25.3806734085083,25.0366344451904,26.784517288208,30.2117509841919,19.9259376525879,29.9857406616211,10.571213722229,9.08252000808716,8.9370231628418,7.7967095375061,3.3913242816925,4.48826789855957,6.21379661560059,7.34073495864868,5.42282772064209,5.68556427955627,18.7866439819336,8.79461193084717,14.0147256851196,14.2678580284119,13.400484085083,9.87505102157593,13.7262163162231,11.9961633682251,9.3245964050293,14.5784392356873,15.7958545684814
6,79.2243957519531,45.7380084991455,54.2474937438965,39.1036949157715,33.2492446899414,23.3365478515625,26.1827068328857,36.8382873535156,NA,33.8383369445801,9.0316219329834,NA,NA,NA,44.0694046020508,51.9200172424316,43.2588882446289,25.1614589691162,58.3115863800049,33.6718101501465,50.3161811828613,28.4445495605469,NA,NA,8.42286205291748,NA,NA,NA,23.5792875289917,NA,NA,37.4219398498535,NA,NA,23.113579750061,32.7889709472656,NA,NA,28.1921234130859,23.6859810352325,33.6218070983887,36.6735687255859
7,37.9945068359375,31.5066013336182,30.3550405502319,26.2244071960449,18.2837219238281,18.356764793396,17.7677755355835,24.2799425125122,20.8823595046997,24.4403610229492,5.13218641281128,9.47416687011719,8.56845617294312,15.1931648254395,23.2168445587158,30.5626049041748,29.6320114135742,25.9754447937012,35.5857353210449,26.5095901489258,33.6069297790527,11.6206846237183,16.4089260101318,16.8101997375488,15.6981873512268,8.20808792114258,13.1854782104492,NA,6.76281404495239,14.430103302002,13.8658952713013,23.752893447876,18.1549472808838,23.0138149261475,23.8825263977051,17.700611114502,15.687816619873,21.6036720275879,18.7801399230957,19.6258211135864,22.6888618469238,27.6750230789185
8,27.4031238555908,15.1395726203918,34.0087199211121,32.3949928283691,13.4099683761597,5.75510740280151,6.41685825586319,10.3587427139282,5.33661305904388,6.57325530052185,3.4492506980896,NA,8.94405364990234,0.631104111671448,15.1182699203491,NA,7.07157611846924,NA,28.537410736084,9.0427770614624,5.9071159362793,3.54752159118652,3.36449098587036,11.888072013855,1.23282685875893,-0.137123852968216,NA,0.441457137465477,3.11240592598915,3.24846935272217,NA,10.6148533821106,1.02543550729752,NA,29.9216136932373,9.66511201858521,4.92340874671936,4.36612129211426,2.37589168548584,3.15399360656738,4.40066874027252,9.53355979919434
9,54.9193134307861,29.9533920288086,NA,26.9103326797485,24.7171649932861,19.4907073974609,18.9656314849854,26.9559707641602,15.9273190498352,36.6470336914062,12.5495629310608,NA,NA,NA,31.7329502105713,25.1989593505859,NA,26.3636474609375,44.2154140472412,27.0594596862793,35.2038154602051,21.7010135650635,15.3576633930206,15.841103553772,9.57201480865479,NA,NA,NA,11.5992903709412,15.5686502456665,NA,68.0534973144531,NA,NA,NA,20.6492710113525,40.8936996459961,NA,22.165810585022,NA,NA,27.8219528198242
10,58.8423728942871,22.6881523132324,47.5230979919434,27.5829257965088,32.0255584716797,12.5382831096649,30.3425693511963,31.0403099060059,20.2224388122559,34.2630348205566,NA,NA,NA,13.5417232513428,40.3028621673584,52.8882713317871,43.6999053955078,35.0136137008667,44.4302711486816,25.3748741149902,31.9408168792725,20.5282707214355,5.62334108352661,12.8410301208496,8.19793891906738,NA,3.7060958147049,NA,16.3222980499268,NA,4.89489793777466,31.2562236785889,14.8789896965027,19.1689510345459,20.4195213317871,24.2014617919922,23.3503303527832,33.3179149627686,23.7427597045898,17.2959976196289,28.8926305770874,28.1816997528076
