"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.423532575368881,-0.365986406803131,-0.684873878955841,-0.330012142658234,-0.312852621078491,-0.47404982149601,-0.333075821399689,-0.437977910041809,-0.529075682163239,-0.36798956990242,-0.427957937121391,-0.439940139651299,-0.532757222652435,-0.290218859910965,-0.398358285427094,-0.345273405313492,-0.435779497027397,-0.367207273840904,-0.357392340898514,-0.439027234911919,-0.397290587425232,-0.171553134918213,-0.620922923088074,0.253708427771926,-0.641726404428482,-0.781188070774078,-0.293274659663439,-0.183411419391632,-0.25105407834053,0.579906523227692,-0.564909696578979,-0.578510344028473,-0.500869035720825,-0.472387939691544,-0.524165958166122,-0.291617795825005,NA,-0.120800822973251,-0.315689474344254,-0.0240336675196886,-0.289476901292801,-0.457768648862839
2,0.715994954109192,-0.261736661195755,0.0152526404708624,0.841631188988686,-0.0833761468529701,-0.101579431444407,1.84079265594482,0.673956990242004,0.173070684075356,0.518557965755463,0.868154764175415,-0.0919522196054459,0.102247439324856,0.890942573547363,0.849193513393402,-0.063380591571331,0.0293310414999723,-0.172702193260193,1.16430962085724,-0.0382790043950081,0.589483857154846,0.626679003238678,-0.688681870698929,1.77140021324158,0.0969450250267982,-0.0287047680467367,-0.188303101807833,-0.198432624340057,0.695061355829239,-0.1896583288908,0.151311982423067,-0.18977278470993,-0.240860767662525,-0.0693426355719566,-0.185435682535172,-0.266845971345901,-0.242925740778446,-0.328468710184097,0.0892769694328308,-0.337596505880356,-0.262991353869438,0.273652881383896
3,-0.485105231404305,-0.322849273681641,-0.460837155580521,-0.679692566394806,-0.569853365421295,-0.419150859117508,-0.417198307812214,-0.449632361531258,-0.421027779579163,-0.386797815561295,-0.295196861028671,-0.430118277668953,-0.339499473571777,-0.651786416769028,-0.462767317891121,-0.536881476640701,-0.473643630743027,-0.525677502155304,-0.57990574836731,-0.396648749709129,-0.520418584346771,-0.526622712612152,-0.889172613620758,-0.353850454092026,-0.45707805454731,-0.309296026825905,-0.443641901016235,-0.476750582456589,-0.504204586148262,-0.77914571762085,-0.555934950709343,-0.487621158361435,-0.524710834026337,-0.507619455456734,-0.301717802882195,-0.486820578575134,-0.393851965665817,-0.460461556911469,-0.501862049102783,-0.491527408361435,-0.435665190219879,-0.35604202747345
4,-0.511726170778275,-0.53079891204834,-0.410030797123909,-0.586017191410065,-0.48620243370533,-0.572872042655945,-0.198058173060417,-0.499961346387863,-0.525426134467125,-0.16646172106266,NA,-0.543980710208416,NA,-0.0493945330381393,-0.588875770568848,-0.487974599003792,-0.398785322904587,-0.304147332906723,-0.377464964985847,-0.633324265480042,-0.389079660177231,-0.354114338755608,-0.853190779685974,-0.42338228225708,-0.550105571746826,-0.558329403400421,-0.671016454696655,-0.0735090970993042,-0.308342188596725,NA,NA,-0.470073342323303,-0.430796012282372,-0.558614775538445,-0.489038676023483,-0.435438930988312,-0.441163301467896,-0.422495409846306,-0.457831859588623,-0.471985727548599,-0.569267481565475,-0.377114742994308
5,-0.386447012424469,-0.494666367769241,-0.506701707839966,-0.570045590400696,-0.440012216567993,-0.441436856985092,-0.53235524892807,-0.488378047943115,-0.446658909320831,-0.393033012747765,-0.515997231006622,-0.393109932541847,-0.470718145370483,-0.557378172874451,-0.422784715890884,-0.425079300999641,-0.317264348268509,-0.382992744445801,-0.428496271371841,-0.483573645353317,-0.505406454205513,-0.431184619665146,-0.622021108865738,-0.399146571755409,-0.44468192756176,-0.532209932804108,-0.489370062947273,-0.334608912467957,-0.554571270942688,-0.455909878015518,-0.501373678445816,-0.506932973861694,-0.51608681678772,-0.434432297945023,-0.559587627649307,-0.508701145648956,-0.444480448961258,-0.496809840202332,-0.408064335584641,-0.445254862308502,-0.435132935643196,-0.457153454422951
6,-0.398971408605576,-0.5911765396595,-0.523461580276489,-0.807017982006073,-0.374975621700287,-0.588157534599304,-0.476592898368835,-0.455137550830841,NA,-0.114161431789398,-0.673073932528496,NA,NA,NA,-0.469733864068985,-0.359501659870148,-0.434272438287735,-0.846869766712189,-0.450728207826614,-0.524685084819794,-0.346020087599754,-0.360071897506714,NA,NA,-0.642711818218231,NA,NA,NA,-0.225413955748081,NA,NA,-0.447474032640457,NA,NA,-0.930198520421982,-0.39587676525116,NA,NA,-0.383778601884842,-0.613365575671196,-0.611187279224396,0.041167825460434
7,-0.429072976112366,-0.482634633779526,-0.476676315069199,-0.414045915007591,-0.385235667228699,-0.576938480138779,-0.348690807819366,-0.453533172607422,-0.393129765987396,-0.433780372142792,-0.959247469902039,-0.298038423061371,-0.348343998193741,-0.525170594453812,-0.398543238639832,-0.507196709513664,-0.454117387533188,-0.494859308004379,-0.479531437158585,-0.508195579051971,-0.476642310619354,-0.431258589029312,-0.582136631011963,-0.347763121128082,-0.912761479616165,-0.493408620357513,0.480569988489151,NA,-0.669702410697937,-0.733952462673187,-0.770817816257477,-0.450846195220947,-0.399956375360489,-0.712662160396576,-0.468389630317688,-0.574937015771866,-0.41654434800148,-0.573673605918884,-0.519534289836884,-0.425226509571075,-0.478456914424896,-0.451630517840385
8,-0.615842521190643,-0.541302859783173,-0.296757405623794,-0.777514040470123,-0.509463906288147,-0.467992573976517,2.03093401808292,-0.243921607732773,-0.696667790412903,-0.703931093215942,-0.717038691043854,NA,-0.546760499477386,-0.466475278139114,-0.278695374727249,NA,-0.0151323080062866,NA,-0.443181499838829,-0.444924235343933,-0.179567471146584,-0.383094191551208,-0.684732913970947,-0.594533920288086,-0.372699946165085,-0.286589756608009,NA,-0.256989851593971,-0.24530103802681,-0.740403711795807,NA,-0.572983652353287,-0.902525097131729,NA,-0.622569262981415,-0.720899730920792,-0.652478456497192,-0.89278119802475,-0.585254490375519,-0.540791094303131,-0.564228475093842,-0.161517739295959
9,-0.342254906892776,-0.210203900933266,NA,-0.696780383586884,-0.433799758553505,-0.554657280445099,-0.37932163476944,-0.439323499798775,-0.13146897405386,-0.0688936933875084,-0.343755200505257,NA,NA,NA,-0.429082348942757,-0.232704266905785,NA,-0.0393902324140072,-0.454331889748573,-0.342604100704193,-0.733736157417297,-0.438224136829376,-1.15302836894989,-0.0442391037940979,-0.511300176382065,NA,NA,NA,-0.402907058596611,-0.761234164237976,NA,-0.331160008907318,NA,NA,NA,-0.328260600566864,-0.0733767002820969,NA,-0.329409822821617,NA,NA,-0.989146053791046
10,-0.40627110004425,-0.437445521354675,-0.57487565279007,-0.491034686565399,-0.426365032792091,-0.593053042888641,-0.122105374932289,-0.378578767180443,-0.392246067523956,-0.995232701301575,NA,NA,NA,0.0280987434089184,-0.442121356725693,-0.5618976354599,-0.129356876015663,-0.348335430026054,-0.479870438575745,-0.609744369983673,-0.123902164399624,-0.373926788568497,-0.628262385725975,-0.150887720286846,-0.465321242809296,NA,-0.847907036542892,NA,-0.404572308063507,NA,-0.230342641472816,-0.447241097688675,-0.265974186360836,2.83742570877075,-0.503694772720337,-0.434417754411697,-0.576132655143738,-0.231104081496596,-0.443450748920441,-0.380439639091492,-0.606659144163132,-0.543345272541046
