"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,203.323211669922,364.077178955078,219.417915344238,530.701354980469,115.001892089844,97.3921661376953,185.326232910156,87.2219581604004,62.1106338500977,271.16584777832,94.9924049377441,77.2861480712891,89.8022956848145,130.78596496582,56.8477630615234,57.3599853515625,67.0929832458496,156.176826477051,192.196235656738,50.6794090270996,124.587135314941,195.502227783203,203.50772857666,328.163452148438,116.721488952637,134.404373168945,120.31188583374,279.280700683594,110.330726623535,101.38688659668,95.7754096984863,159.997283935547,100.043888092041,NA,147.450057983398,134.354476928711,96.7158050537109,118.005922317505,97.9178466796875,64.4805507659912,100.986892700195,149.752136230469
2,222.774635314941,361.990936279297,238.29727935791,650.598083496094,133.843505859375,98.0990371704102,247.89030456543,67.4113807678223,51.7239475250244,303.633087158203,90.2899322509766,42.9639739990234,66.0786323547363,142.632766723633,54.1018409729004,54.5232963562012,63.0473670959473,158.532974243164,201.081657409668,61.7081031799316,144.344787597656,195.015998840332,255.602737426758,406.86572265625,109.19645690918,125.078636169434,206.586517333984,311.470329284668,109.402778625488,95.5316925048828,152.112548828125,123.610870361328,99.8302421569824,206.374160766602,221.32487487793,135.959518432617,134.18000793457,134.775344848633,89.4596405029297,77.8969039916992,86.1811103820801,209.66682434082
3,235.225280761719,355.75,266.913757324219,574.843902587891,130.791625976562,86.5107879638672,237.750671386719,95.7413940429688,60.3433513641357,271.026779174805,95.5327682495117,55.9246063232422,78.3234252929688,131.977210998535,56.5185508728027,51.0036811828613,71.8868255615234,151.300201416016,188.883941650391,67.9952850341797,154.861526489258,201.631042480469,210.608085632324,380.656341552734,109.82527923584,147.202430725098,185.302696228027,NA,110.139339447021,NA,88.3712005615234,134.994766235352,99.1770401000977,177.933311462402,188.093124389648,148.471069335938,138.680702209473,123.297035217285,106.785697937012,72.1940231323242,109.337261199951,215.44953918457
4,312.304534912109,416.831069946289,351.543609619141,625.671813964844,130.299495697021,97.4775276184082,283.176513671875,89.2929763793945,74.1336441040039,282.142486572266,NA,43.1873626708984,92.6375045776367,80.9081192016602,76.2847442626953,62.7735214233398,74.4427070617676,154.422882080078,228.21745300293,79.6107864379883,155.5283203125,250.221481323242,275.610870361328,420.881805419922,161.749702453613,152.215637207031,294.039001464844,311.450622558594,183.416076660156,117.182544708252,185.237594604492,195.755416870117,135.260467529297,237.15998840332,225.551071166992,228.531806945801,258.44775390625,213.199989318848,154.017715454102,82.9020385742188,177.032600402832,245.468902587891
5,225.446701049805,359.177093505859,301.108551025391,537.051361083984,131.712844848633,105.318313598633,241.840621948242,102.97184753418,71.2731285095215,252.323608398438,113.452842712402,69.0665817260742,85.7605209350586,116.312812805176,60.4063720703125,74.4713897705078,59.7930641174316,186.181251525879,219.227355957031,74.4995002746582,165.177047729492,195.806457519531,249.604293823242,361.346252441406,130.344970703125,171.436157226562,194.724723815918,NA,NA,130.183135986328,193.078922271729,117.493446350098,74.2681198120117,142.346710205078,219.407989501953,177.926620483398,138.186111450195,144.099609375,97.9295883178711,67.0749378204346,122.67399597168,224.618438720703
6,203.371696472168,342.436157226562,216.617294311523,518.378784179688,120.514114379883,105.931022644043,209.65111541748,85.5039672851562,40.5361213684082,235.926986694336,NA,67.5895156860352,NA,146.37317276001,56.4721984863281,79.6409034729004,54.7659091949463,176.804168701172,169.072021484375,50.2925300598145,123.173698425293,181.150840759277,298.058135986328,326.611022949219,141.674102783203,NA,169.6669921875,189.758407592773,103.115013122559,167.86067199707,NA,122.065612792969,124.631855010986,145.433258056641,191.258361816406,130.978973388672,120.597358703613,NA,94.4645309448242,111.27547454834,98.179328918457,171.725448608398
7,191.303146362305,306.212127685547,221.627685546875,502.356689453125,139.558944702148,78.0303192138672,202.24462890625,72.4938735961914,43.3740653991699,249.113220214844,102.446327209473,47.395580291748,73.668888092041,119.993194580078,50.7839469909668,44.6836853027344,55.6578140258789,118.209293365479,188.229446411133,50.5335693359375,150.820259094238,205.527450561523,212.583557128906,348.384658813477,101.294853210449,128.173614501953,164.602119445801,236.006561279297,111.108711242676,80.2226753234863,110.931266784668,131.320541381836,89.9410820007324,253.429153442383,206.596244812012,134.060478210449,114.777465820312,121.81867980957,88.0484428405762,63.6036281585693,88.9016723632812,187.413703918457
8,222.366806030273,355.867904663086,251.538589477539,524.358734130859,131.213165283203,115.542297363281,179.66780090332,90.3544502258301,74.3039169311523,254.475631713867,167.59215927124,NA,68.9309616088867,NA,61.0034561157227,46.9549970626831,71.2695617675781,NA,188.323684692383,60.8051509857178,104.362327575684,222.626770019531,NA,NA,119.267822265625,NA,114.340728759766,NA,109.98770904541,NA,NA,138.871292114258,NA,118.476669311523,216.597900390625,147.817314147949,153.268249511719,NA,99.3630752563477,82.36376953125,93.6050567626953,128.450744628906
9,310.788726806641,456.373504638672,376.791641235352,670.477783203125,157.342323303223,121.898139953613,258.482604980469,116.334411621094,81.7152938842773,309.38737487793,132.761871337891,78.9573135375977,116.54566192627,138.345581054688,80.2031631469727,71.3804321289062,80.2517509460449,182.564193725586,253.388824462891,101.797149658203,191.779113769531,241.417984008789,307.03010559082,327.837326049805,127.519927978516,227.490730285645,192.658569335938,327.444915771484,185.524284362793,122.557113647461,200.39054107666,180.760414123535,72.2605895996094,193.617492675781,164.913131713867,185.702667236328,169.984352111816,232.087898254395,158.529144287109,NA,98.3491401672363,192.131317138672
10,227.958877563477,337.143585205078,240.269599914551,471.555358886719,124.176986694336,90.8996200561523,212.611221313477,86.9290809631348,58.0797824859619,192.295761108398,105.714584350586,52.9759101867676,72.3064346313477,121.042694091797,56.5551338195801,38.2412567138672,74.8666534423828,134.024841308594,176.735885620117,47.7081604003906,150.082473754883,213.863540649414,218.740112304688,333.646179199219,110.637565612793,117.732418060303,169.774482727051,241.625106811523,114.369007110596,89.8916282653809,132.010795593262,133.376052856445,83.1842651367188,168.433815002441,171.294082641602,149.102409362793,123.822231292725,100.932369232178,95.6766967773438,58.8665580749512,104.120185852051,193.687133789062
