"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.442719757556915,-0.454665094614029,-0.192151814699173,-0.568327307701111,-0.484604060649872,-0.366500407457352,-0.354039996862411,-0.473503410816193,-0.669724762439728,-0.539937183260918,-0.657745003700256,-0.364187747240067,-0.458971589803696,-0.497062817215919,-0.498428881168365,-0.705760449171066,-0.478036656975746,-0.723680377006531,-0.494177579879761,-0.540064573287964,-0.384258046746254,-0.458273351192474,-0.927048146724701,-0.32673841714859,-0.546282052993774,-0.490606069564819,-0.688279509544373,-0.395069032907486,-0.466636896133423,-0.612978160381317,-0.555999994277954,-0.451109319925308,-0.794264048337936,NA,-0.303502887487411,-0.532276809215546,-0.49586808681488,-0.570551350712776,-0.618852853775024,-0.489753216505051,-0.967795789241791,-0.344825595617294
2,-0.51974168419838,-0.518114328384399,-0.412559896707535,-0.494000643491745,-0.461350828409195,-0.748203039169312,-0.887199938297272,-0.461045920848846,-0.47668568789959,-0.434775531291962,-0.732507348060608,-0.270943373441696,-0.237771317362785,-0.471533074975014,-0.518076956272125,-0.447969198226929,-0.58539605140686,-0.177592687308788,-0.438713654875755,-0.625542640686035,-0.503763541579247,-0.443244844675064,-0.458982676267624,-0.517603158950806,-0.526499330997467,-0.776328206062317,-0.370356947183609,-0.436299972236156,-0.47444087266922,-0.447946533560753,-0.641951084136963,-0.437321782112122,-0.576268821954727,-0.41096442937851,-0.394061833620071,-0.52878201007843,-0.467477530241013,-0.698734521865845,-0.514592826366425,-0.434867054224014,-0.508531391620636,-0.537286460399628
3,-0.477095037698746,-0.467265456914902,-0.442189395427704,-0.58171358704567,-0.415917456150055,-0.398215234279633,-0.571987122297287,-0.495528057217598,-0.566442757844925,-0.524645566940308,-0.145527184009552,-0.201095250435174,-0.59854382276535,-0.36362661421299,-0.488854557275772,-0.523150354623795,-0.529467940330505,-0.430429220199585,-0.501376986503601,-0.557582080364227,-0.484233856201172,-0.421124875545502,-0.424384847283363,-0.382791131734848,-0.382455989718437,-0.425396755337715,-0.440108587965369,NA,-0.587621554732323,NA,-0.784968554973602,-0.49756546318531,-0.605589270591736,-0.44177258014679,-0.353822261095047,-0.424264743924141,-0.425751268863678,-0.614777803421021,-0.497375845909119,-0.505236327648163,-0.42836044728756,-0.470002740621567
4,-0.458769172430038,-0.455661907792091,-0.541296124458313,-0.482535973191261,-0.35637141764164,-0.291777446866035,-0.514525711536407,-0.384339988231659,-0.431702360510826,-0.542694985866547,NA,-0.4345363676548,-0.521713018417358,-0.664567828178406,-0.442711174488068,-0.507187783718109,-0.493231773376465,-0.511926591396332,-0.485062152147293,-0.482597351074219,-0.595242142677307,-0.531510949134827,-0.497126400470734,-0.282490402460098,-0.524840354919434,-0.659296452999115,-0.379013538360596,-0.582025945186615,-0.416920855641365,-0.490479648113251,-0.60003650188446,-0.493050515651703,-0.401211485266685,-0.466803357005119,-0.498546600341797,-0.479940846562386,-0.380578339099884,-0.436852037906647,-0.576380014419556,-0.364347904920578,-0.325122267007828,-0.553517758846283
5,-0.573215007781982,-0.392176687717438,-0.470512419939041,-0.349522650241852,-0.470792904496193,-0.498752132058144,-0.292973041534424,-0.540243327617645,-0.602360248565674,-0.40148738026619,-0.478939354419708,-0.409312307834625,-0.561526417732239,-0.408786550164223,-0.589173853397369,-0.557561874389648,-0.549782752990723,-0.535721987485886,-0.460806667804718,-0.435491025447845,-0.535701021552086,-0.801404297351837,-0.714613080024719,-0.383291929960251,-0.480283722281456,-0.650957226753235,-0.386187076568604,NA,NA,-0.317671805620193,-0.327687069773674,-0.428112179040909,-0.439412012696266,-0.184387817978859,-0.311136215925217,-0.626384913921356,-0.514838755130768,-0.428009659051895,-0.540256679058075,-0.518083661794662,-0.427270874381065,-0.691930949687958
6,-0.442927345633507,-0.347707957029343,-0.487454473972321,-0.498743310570717,-0.424559444189072,-0.499578386545181,-0.416014537215233,-0.488231271505356,-0.193180024623871,-0.399211421608925,NA,-0.0639142915606499,NA,-0.435366719961166,-0.545216739177704,-0.314362190663815,-0.744805902242661,-0.278718382120132,-0.532485604286194,-0.696005463600159,-0.489964365959167,-0.429189041256905,-0.479207426309586,-0.412450850009918,-0.132372453808784,NA,-0.22333087772131,-0.704608976840973,-0.727606952190399,-0.609331905841827,NA,-0.485932171344757,-0.544105499982834,-0.360928475856781,-0.481379598379135,-0.508343815803528,-0.426914393901825,NA,-0.501784145832062,-0.528991162776947,-0.549170941114426,-0.561800271272659
7,-0.593628406524658,-0.469045132398605,-0.448926687240601,-0.401502266526222,-0.638971924781799,-0.541337132453918,-0.412501484155655,-0.640454709529877,-0.557472765445709,-0.804703891277313,-0.660559117794037,-0.389135479927063,-0.445607930421829,-0.466659426689148,-0.477446436882019,-0.573129892349243,-0.683016270399094,-0.220861792564392,-0.526503801345825,-0.515448749065399,-0.253834314644337,-0.536672830581665,-0.499728932976723,-0.382202446460724,-0.503189623355865,-0.522411227226257,-0.561446666717529,-0.392328083515167,-0.214864760637283,-0.407133907079697,-0.68593829870224,-0.613763332366943,-0.496832475066185,-0.46510437130928,-0.440107464790344,-0.42729863524437,-0.499024480581284,-0.460448354482651,-0.472190260887146,-0.496198520064354,-0.435578167438507,-0.605305016040802
8,-0.517218351364136,-0.611708283424377,-0.566536098718643,-0.715909272432327,-0.509645640850067,-0.576297298073769,-0.599356830120087,-0.45866023004055,-0.637088060379028,-0.503398567438126,-0.224194243550301,NA,-0.73038774728775,NA,-0.504764765501022,-0.477825246751308,-0.318414255976677,NA,-0.50201940536499,-0.558857679367065,-0.40848433971405,-0.482698768377304,NA,NA,-0.614359736442566,NA,-0.714487373828888,NA,-0.256917297840118,NA,NA,-0.514608174562454,NA,-0.35162878036499,-0.880062192678452,-0.548730999231339,-0.0602763630449772,NA,-0.515949964523315,-0.499076813459396,-0.80427211523056,-0.267639726400375
9,-0.597842454910278,-0.359507024288177,-0.658386170864105,-0.537053942680359,-0.518794298171997,-0.471679046750069,-0.522808372974396,-0.509190082550049,-0.544276535511017,-0.538815975189209,-0.539425641298294,-0.445730626583099,-0.469721257686615,-0.545775324106216,-0.502358615398407,-0.534163236618042,-0.507489413022995,-0.488497138023376,-0.492101222276688,-0.505457937717438,-0.511732041835785,-0.40401691198349,-0.628247112035751,-0.219891890883446,-0.464037299156189,-0.251384600996971,-0.403573840856552,-0.327171072363853,-0.451534196734428,-0.306642919778824,-0.637981832027435,-0.381688550114632,-0.0403080657124519,-0.673755317926407,-0.386385872960091,-0.574779242277145,-0.396829590201378,-0.378815948963165,-0.871749699115753,NA,-0.363257795572281,-0.437100559473038
10,-0.496669620275497,-0.625058263540268,-0.521327435970306,-0.613149106502533,-0.520722508430481,-0.487381398677826,-0.470381319522858,-0.532246500253677,-0.494536176323891,-0.42195263504982,-0.62816846370697,-0.823080360889435,-0.526046216487885,-0.587543547153473,-0.554735153913498,-0.494197994470596,-0.441295146942139,-0.534719660878181,-0.666977047920227,-0.27421023696661,-0.540394067764282,-0.456183344125748,-0.603774785995483,-0.443609192967415,-0.450234174728394,-0.62795028090477,-0.416473895311356,-0.566158950328827,-0.627128750085831,-0.703301221132278,-0.508195444941521,-0.532902300357819,-0.731233716011047,-0.547911673784256,-0.557289481163025,-0.517263561487198,-0.731369584798813,-0.318833205848932,-0.497803509235382,-0.532107293605804,-0.52230829000473,-0.457649499177933
