"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.463503420352936,-0.296464949846268,-0.335941210389137,-0.375135853886604,-0.484939604997635,-0.533779710531235,-0.420240312814713,-0.446218743920326,-0.456467121839523,-0.409532755613327,-0.513532638549805,-0.567366406321526,-0.420679092407227,-0.387869015336037,-0.425704687833786,-0.444434225559235,-0.423104330897331,-0.407953485846519,-0.350391268730164,-0.427065014839172,-0.422579050064087,-0.237400352954865,-0.816842824220657,-0.421887017786503,-0.212766591459513,-0.623819470405579,-0.570159777998924,-0.828058481216431,-0.45133313536644,-0.208027884364128,-0.024143485352397,-0.370998919010162,-0.382696181535721,-0.295421048998833,-0.31461513787508,-0.4522774964571,NA,-0.267613053321838,-0.219814658164978,-0.357891976833344,-0.548680543899536,-0.23107971996069
2,-0.309761121869087,-0.523757815361023,-0.360286921262741,-0.419797301292419,-0.420438021421432,-0.509115666151047,-0.39279268682003,-0.284006595611572,-0.58877021074295,-0.621377646923065,-0.53527820110321,-0.429346710443497,-0.446857154369354,-0.448101192712784,-0.374478220939636,-0.412542015314102,-0.427837878465652,-0.422502100467682,-0.415021151304245,-0.460886776447296,-0.403210818767548,-0.437891334295273,-1.05740523338318,-0.279057145118713,-0.252006590366364,-0.74449896812439,-0.550479173660278,-0.297958850860596,-0.139464907348156,-0.395145684480667,-0.346079841256142,-0.323964416980743,-0.348931282758713,-0.249345183372498,-0.202723279595375,-0.611666262149811,-0.214986823499203,-0.431806713342667,-0.312806278467178,-0.451609194278717,-0.509869426488876,-0.427699491381645
3,-0.454264625906944,-0.479566782712936,-0.450308352708817,-0.581881999969482,-0.383887410163879,-0.437166690826416,-0.337460786104202,-0.33625328540802,-0.497048586606979,-0.385404229164124,-0.38105845451355,-0.677189946174622,-0.381311684846878,-0.403490766882896,-0.310403913259506,-0.379971265792847,-0.386753588914871,-0.440933108329773,-0.531942367553711,-0.484824448823929,-0.3829425573349,-0.194023475050926,-0.479723557829857,-0.290069371461868,-0.564560055732727,-0.24615853279829,-0.278775602579117,-0.214710384607315,0.572781771421432,-0.708891212940216,-0.535896226763725,-0.455801069736481,-0.482631504535675,-0.541524305939674,-0.240757919847965,-0.411816403269768,-0.470762073993683,-0.419283926486969,-0.445284217596054,-0.428824871778488,-0.490570366382599,-0.470994651317596
4,-0.545778632164001,-0.435048073530197,-0.424450501799583,-0.896433293819427,-0.604759395122528,-0.549297332763672,-0.408285677433014,-0.38737878203392,-0.178772084414959,-0.501967310905457,NA,-0.448825687170029,NA,-0.94290030002594,-0.303464263677597,-0.295060992240906,-0.59625232219696,-0.481050834059715,-0.389857336878777,-0.546314775943756,-0.421731442213058,-0.43913671374321,-0.727750718593597,-0.326965272426605,-0.397853806614876,-0.516078650951385,-0.930606126785278,0.729954659938812,-0.14068965613842,NA,NA,-0.345929861068726,-0.435462206602097,-0.791550159454346,-0.357069998979568,-0.369424551725388,-0.474958807229996,-0.443918168544769,-0.412349432706833,-0.480633229017258,-0.456519290804863,-0.428622230887413
5,-0.387178421020508,-0.499600425362587,-0.466478243470192,-0.323956876993179,-0.348765790462494,-0.449196696281433,-0.584710359573364,-0.44367840886116,-0.46098056435585,-0.537324160337448,-0.376592352986336,-0.479577630758286,-0.523918986320496,-0.43821969628334,-0.367028832435608,-0.459992721676826,-0.447311460971832,-0.403678238391876,-0.357427299022675,-0.482033252716064,-0.431957826018333,-0.412791609764099,-0.436521351337433,-0.291901260614395,-0.480712279677391,-0.378723740577698,-0.532460868358612,-0.29029780626297,-0.463001981377602,-0.393735408782959,-0.419731661677361,-0.506973683834076,-0.338306069374084,-0.267975755035877,-0.480671912431717,-0.429864287376404,-0.541050553321838,-0.507768452167511,-0.518303036689758,-0.462076038122177,-0.518711149692535,-0.424818739295006
6,-0.369715690612793,-0.326106384396553,-0.521830260753632,-0.871580898761749,-0.437880396842957,-0.617240533232689,-0.844763040542603,-0.442774474620819,NA,0.174304962158203,-0.954500436782837,NA,NA,NA,-0.352731183171272,-0.57875257730484,-0.517846524715424,0.134851634502411,-0.408041223883629,-0.242802679538727,-0.514275401830673,-0.287615835666656,NA,NA,-0.141002580523491,NA,NA,NA,-0.142919726669788,NA,NA,-0.603777348995209,NA,NA,-0.114402777515352,-0.360586047172546,NA,NA,-0.474163353443146,-0.665836870670319,-0.497273743152618,-0.65948686003685
7,-0.443201810121536,-0.450301021337509,-0.43497821688652,-0.562056124210358,-0.474205672740936,-0.527651995420456,-0.184482917189598,-0.273757427930832,-0.377154320478439,-0.535674691200256,0.323765128850937,-0.543477475643158,-0.483080998063087,-0.542311310768127,-0.540220618247986,-0.561988294124603,-0.518873929977417,-0.397802442312241,-0.457665458321571,-0.511694669723511,-0.34628963470459,-0.587030112743378,-0.962379336357117,-0.237882494926453,-0.305429979227483,-0.934800982475281,-0.963076412677765,NA,-0.458172142505646,-0.194191679358482,-0.0892185717821121,-0.397887691855431,-0.518182039260864,-0.483205080032349,-0.471321329474449,-0.355753675103188,-0.397080391645432,-0.404073968529701,-0.441440165042877,-0.350415647029877,-0.415798187255859,-0.421867817640305
8,-0.492807507514954,-0.474807471036911,-0.538016900420189,-0.454827100038528,-0.673970580101013,-0.8534274995327,-0.664457634091377,-0.376903921365738,-0.375090330839157,0.197360098361969,-0.330385804176331,NA,-0.352109581232071,-0.667515575885773,-0.67078971862793,NA,0.261340737342834,NA,0.353600233793259,-0.477364718914032,1.55382251739502,-0.015362249687314,-0.0872763618826866,-0.5115025639534,-0.55689400434494,-0.237669095396996,NA,2.88696113973856,-0.304783899337053,-0.413412481546402,NA,0.00140154361724854,-0.413927033543587,NA,-0.413397610187531,-0.473707601428032,-0.640871703624725,-0.844795763492584,-0.0573099441826344,-0.392222732305527,-0.526392608880997,-0.138913691043854
9,-0.316578567028046,-0.266224168241024,NA,-0.40782618522644,-0.427585035562515,-0.397384434938431,-0.146378815174103,-0.437948346138,-0.47863544523716,-0.245562240481377,-0.289528623223305,NA,NA,NA,-0.454889476299286,-0.447306334972382,NA,-0.152932122349739,-0.449349462985992,-0.54644763469696,-0.0565588474273682,-0.572946548461914,-1.12240767478943,-0.0811728164553642,-0.567285478115082,NA,NA,NA,-0.422009199857712,-0.272397041320801,NA,0.933140635490417,NA,NA,NA,-0.377206712961197,-0.0786892846226692,NA,-0.512922525405884,NA,NA,-0.343284279108047
10,-0.422146081924438,-0.527455419301987,-0.509927332401276,-0.493443697690964,-0.406615376472473,-0.51176480948925,-0.620383143424988,-0.392883881926537,-0.72557133436203,-0.515300989151001,NA,NA,NA,-0.333384960889816,-0.391563341021538,-0.62339574098587,-0.361988067626953,0.0289348363876343,-0.516338884830475,-0.437991827726364,-0.343052566051483,-0.371082991361618,-0.859802454710007,-0.330687776207924,-0.48805895447731,NA,-0.544946976006031,NA,-0.547309130430222,NA,-0.333201617002487,-0.409554779529572,-0.843982696533203,-0.0678782537579536,-0.466490253806114,-0.410821408033371,-0.652259469032288,-0.219617595896125,-0.398110657930374,-0.334500893950462,-0.635723918676376,-0.186439454555511
