,BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave,PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave
count,56,56,402,0,24,31,4,12,31,6,1,3,10,4,22,38,102,27,12,33,12,64,17,37,23,6,24,3,2,2,5,226,123,14,49,179,136,62,592,216,560,206
mediansTime,12.3633800025662,12.3327987161299,12.158933931216,NA,12.3972317640426,12.4169929969966,12.4654373469826,12.4483436147063,12.1079128093395,11.4767544863062,9.82353484374633,11.8034494952875,10.9403084631226,11.8535036391805,12.511940458369,12.3316002113768,12.2222666276388,12.5807595949623,12.3544635730112,12.0136401450222,11.5419915031925,12.3883908690026,11.282424917361,11.5770151354774,12.1937631941647,12.8310228025953,11.233727837437,10.9952900406683,12.1425638737614,12.5876469107079,11.0783631083268,12.3471694338924,11.7076794183249,11.8511168552854,12.3992401715944,12.366029295209,11.9767528930038,11.4898077475829,12.3914536669923,11.6355015458722,11.8108127827497,12.4535110859761
mediansCell_length,2.14211190823691,2.25162775319376,2.23081417900093,NA,2.04502820486763,1.87986358439691,1.93634967466833,2.04502820486763,1.81844645923207,2.09357005655227,2.04502820486763,1.6094379124341,1.87986358439691,1.90887143103071,1.90887143103071,1.68374314399774,1.87986358439691,1.99283576493974,2.118412227749,1.75322890111027,2.04502820486763,2.18742176068697,2.04502820486763,2.2724413273866,2.04502820486763,1.9378792776645,2.06987037606437,2.2724413273866,1.90887143103071,1.83828945446874,1.9378792776645,2.0947125472611,1.87986358439691,2.18742176068697,2.0947125472611,2.04502820486763,1.9378792776645,2.06987037606437,1.99283576493974,1.81844645923207,1.9378792776645,2.14211190823691
mediansX.Rh103.Di,-0.0929002472261823,-0.109481701150872,-0.0992596563152777,NA,-0.126481929237567,-0.115797171668567,-0.167294784395463,-0.0978608447000364,-0.076760818219544,-0.100760762679224,-0.128838572709901,-0.0558361092212755,-0.114207464741414,-0.120726219205143,-0.135860409762978,-0.122033038429112,-0.0957128088594632,-0.12040216209982,-0.116581964753716,-0.0752329759374548,-0.125745070083093,-0.0828174028272117,-0.0775268534586848,-0.0928655819495109,-0.0949518483875665,-0.0690031523293028,-0.106953816875578,-0.0318908395710608,-0.138369878980629,-0.0838005030766839,-0.107733593141275,-0.108044088719826,-0.107500945728353,-0.0951695535070896,-0.128854154971658,-0.104529098080178,-0.0976183769628604,-0.106297401394378,-0.0965434861723956,-0.097651814636562,-0.0986140341854975,-0.0995758714789836
mediansX.Xe131.Di,-0.0666750981161439,-0.0740338536696511,-0.0885014917316576,NA,-0.086553876480234,-0.119103982379238,-0.0392177827334483,-0.0339770674912718,-0.0710105900734893,-0.08959485384761,-0.00353531585317368,-0.0762419767466393,-0.0648931002929256,-0.0551725936189071,-0.0731006346438676,-0.0689152079514607,-0.0748037830458524,-0.0548338839432155,-0.0872444783443009,-0.0844212722484071,-0.138797753222887,-0.0727742432592147,-0.116619734374867,-0.0938746142840032,-0.0506110582451298,-0.0504327849076442,-0.0921913795210784,-0.145869016614048,-0.130797800532952,-0.0925197580064977,-0.139478579017582,-0.0875491320757109,-0.109604527907076,-0.0876077441891545,-0.0931395669835206,-0.0789735447194203,-0.0917512211514021,-0.0897605950349638,-0.0786220570969088,-0.0818795634023579,-0.0962880292313919,-0.104627881895521
mediansX.Cs133.Di,-0.0913071641018523,-0.0807246296871287,-0.103070651582943,NA,-0.121770229278487,-0.0950356318386125,-0.0345554418373038,-0.0964454804467024,-0.0897769018519999,-0.134709043069379,-0.0619816452498768,-0.145342104129305,-0.112605749086365,-0.105914161268519,-0.126061723852049,-0.103470484534361,-0.0885367399446363,-0.0913544864754782,-0.0939552468946033,-0.0901314848261343,-0.108669373899788,-0.0846186316829522,-0.112946126749492,-0.093120647130081,-0.0710828094902252,-0.100937298846682,-0.0675885340249929,-0.12868871894636,-0.142094316540863,-0.100619261494148,-0.113834656996865,-0.0770172743144301,-0.101394953814665,-0.0463020468057881,-0.0870284371308878,-0.103572085572167,-0.0930353290127086,-0.0915197348384054,-0.0932898910807831,-0.0888345402427343,-0.100639997639276,-0.096381222085368
mediansX.La139.Di,0.156588541661353,-0.0276128671261277,-0.0540084983324203,NA,0.184384524232178,-0.0320468405698861,0.178400401926134,0.188754931407233,-0.00119957578470015,-0.00491072592434039,0.841770624219994,-0.146984388287466,0.0725582094452892,-0.0289472217498228,0.100464053137149,-0.0184730699825149,0.0303454475142679,-0.0266361865670049,0.169257430990511,0.0657130343916948,-0.0137155592938293,0.230404582679191,-0.0235777675361926,-0.0451041487852275,0.236752252599203,-0.0716424415729369,-0.0524440248485657,-0.0464361240667684,0.0704681187198449,0.00468801903449606,-0.0561923555196354,0.180037389112848,0.0566984091539567,-0.0245771921582338,-0.0407463057356246,0.221707836380311,-0.0416444327728545,-0.0433428768424728,0.131090913642268,-0.00164891201993725,-0.0230563541219631,-0.0585588682605206
mediansX.Ce140.Di,-0.0834630185576186,-0.0728580025803354,-0.084590353304857,NA,-0.0768839879339249,-0.106252570234545,-0.0962450981300535,-0.0562339172381659,-0.0717351931670251,-0.0110402886074603,-0.182058645224902,-0.0568861113392243,-0.0325119439096038,-0.033446329449066,-0.0738595300231121,-0.10900793484682,-0.0860758638999113,-0.115440760413131,-0.0955177641027038,-0.0675430770259977,-0.138431987495854,-0.0737667076113723,-0.0455337818485051,-0.0588849587705763,-0.0714514515245987,-0.103144545301566,-0.123396708296113,-0.194652383687462,-0.173937948357646,-0.124351407629677,-0.0367229915867652,-0.0772004819213482,-0.0851743796319133,-0.0739631392308273,-0.126105997233554,-0.0745009198350086,-0.0780385415528702,-0.0861613248161095,-0.0656327710530088,-0.0845681381289904,-0.0910163708494791,-0.0738665201385795
mediansX.Pr141.Di_clust,0.169251138645088,0.297467615272017,0.178404042894834,NA,0.374040015806246,0.530637341593162,0.957672235035816,0.339860518255827,0.549543878971251,0.758840451839215,0.196735322216422,0.125245269849063,0.609251329710012,0.472388725381565,0.0622839243079779,0.186947405755474,0.217990265734966,0.58589709235434,0.341987144224126,0.212899286630886,0.0727569328019226,0.139072478579157,0.232213633010313,0.536541153167128,0.107973274703615,0.0988422231487502,0.247181100849433,-0.109760349894897,0.726657034812558,0.276843725698245,0.00378379477687255,0.116071828180107,0.0172461781827888,0.22392717409213,0.142841905106966,0.105651045996417,0.0678061327294803,0.132534541587627,-0.00633657633111394,-0.0105541945637462,0.0303730578406996,0.128056228855718
mediansX.Nd142.Di_clust,0.0119876333944581,-0.0393930223209206,-0.0514362013953139,NA,-0.0171728154918358,-0.0201090253646774,0.28521429294643,0.0775431741673387,0.0851244036063917,-0.0903697897182042,-0.0417956695556086,-0.00317141403601358,0.0263330773187265,-0.00876076682522764,0.0122118500086164,-0.0180508585231096,-0.015116547637378,-0.0205947041177857,0.0941718608825123,0.050152416476284,0.139330650557183,-0.00708613292715654,-0.026938723578038,0.152781532936963,0.125261083920406,-0.115961462163397,-0.0761604200245487,-0.160806491615098,-0.0933905122713437,-0.131438449324443,-0.141160747228525,-0.0161446868657378,-0.0533663366556735,-0.0617757869257784,-0.012442402617436,-0.0169955967503852,-0.018166203627769,-0.0561966089627957,-0.0284116978078102,-0.0360636028927681,-0.0359773472934577,0.0259099241580257
