"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,129.732009884461,2299.97924252784,976.921189906218,10049.3879004691,215.618551331373,106568.266201362,392.162876177045,188.534413591751,459.573539795754,277.576043687322,210.587792138029,198.609910007377,914.470492307615,216.700837002014,244.474412117885,908.02806229608,543.877553767063,676.004748655028,202.678740561185,977.936048455505,1035.80949886184,134.741496344125,542.838926240839,175320.241205569,147.273483819314,868.423399713187,634.34076685727,325.742164408094,92.3003767472539,542.816853284905,2048.65866620452,156.387248798729,249.481839031572,327.754894765806,7525.23615154323,130.542958650995,1483.78614132606,5410.36938755789,142.065161954731,392.765733022529,714.106086522949,1573.08837993065
2,122.63058876129,2151.68503069375,25432.6176012324,4820.57831621152,149.446193662958,982.942859516646,206.162316781254,163.534794091942,617.190407798294,379.943449582116,78.8678683740654,425.683785579825,2548.33852858743,2113.52022385715,146.654429510171,630.29796302702,428.631916877825,2282.19954314881,116.61704383643,3820.5838662836,3742.47406983631,113.257353303645,344.74550724183,631.966995632103,168.107864953759,981.513020215115,308.281971984214,623.934071475992,119.399463430388,330.038829545735,1893.81532335422,143.686156544233,209.347674853684,369.701409543416,408.62925157949,113.720978295369,665.789337789141,297.438981536399,146.303373790273,306.236706173,856.345980283023,3929.6434713709
3,126.249965179944,1379.50733672622,1637.18433105225,809.384011258371,115.312728763751,672.548355816012,923.607901075502,129.792131234998,322.05950804752,1702.78653439403,134.606290458863,321.68435017347,642.482198846009,1310.62648224004,158.170752995658,377.864992106564,377.232424696262,1816.88602816101,142.623569418407,923.568703148184,10396.3373861431,133.556961470509,421.035169943975,618.032671025673,160.010073941836,100381.783157426,402.614645596927,1020.05805718784,143.146156481483,345.323810930997,28675.7287533111,133.380855827432,783.041269130086,1462.63434758275,628.509256194668,109.741133611354,303.219339272064,1293.55292986896,114.369208697081,132.78971661273,296.488561341219,409.885293628394
4,118.412121517742,1487.46568179019,1222.7819585541,581.900766548546,128.693712758926,481.398247831784,1174.52296317022,139.251906517081,336.312619430313,1617.66498068922,131.585322288083,338.356781544249,632.852360949198,954.69284859343,155.604828792276,402.181303346842,370.778142862721,3240.2614514689,140.274713966158,854.247211561892,2605.98771281147,146.965279538258,540.137197461664,433.721447283134,132.481286452045,517.350715714001,401.748016513983,735.042641599591,147.890030440511,326.501936540306,444.086724704731,135.567750662197,216.611721131606,819.751027927529,2247.78794606499,139.453023285552,3260.6543597031,2716.19455282865,128.031175618475,469.223857052017,295.209299312585,735.814603936938
5,122.196442113431,1984.65098419073,1108.02826331973,496.715434872821,122.506745284511,346.01412348552,565.108548085491,142.398420886552,352.424988808287,1249.52588249435,123.60094851342,265.965164609442,451.984598957613,1429.96244341051,150.810068694457,407.875578065638,381.875476769573,7403.56399969945,139.278763072148,540.24631117714,14644.5420515961,136.241710047082,1421.73840673007,3522.70184792884,114.285863160487,289.44441899127,1361.59286363576,3171.5799711454,155.715805483734,688.15929527693,4201.86653201399,142.956738297437,170.411966150535,614.088991977228,751.732075864083,136.941013970323,215.42718268112,275.935817566661,144.147453506028,287.74175179278,404.851052267413,1417.1756496344
6,71.4109416837143,372.205907839682,233.374041678009,78.0193378073494,183.197053032813,2308.81087244893,353.664207589567,134.56421454317,383.192428844457,421.274894914381,139.81154587886,37.5766044864264,174.858651488482,131.827639689091,122.276796006826,372.596162371153,90.8594151199188,132.373782390121,122.190052997834,278.474292778169,234.957929841848,85.7324653479942,NA,12.3378999043536,94.2805519320673,132.988663652123,NA,1726.86090930202,75.371494976014,NA,NA,116.362282254772,275.038958797336,NA,51.2684225301808,360.442310232624,410.205136931652,NA,254.694932818271,98.8979176150743,188.630071652019,311.971060551077
7,125.430505233171,9400.20282678255,2557.70133530861,711.24335338999,134.905180559218,3415.00151470942,976.593665029262,189.743625919667,468.861937451955,674.813403904076,158.99203880701,529.098443681501,399.856679853045,11245.8132481348,199.243267034801,488.611647967257,333.886867275489,823.744074340348,119.606197332177,525.555102698187,619.734749324701,128.638716467834,855.434535003384,3049.61808211919,131.016209635115,339.664898597135,3926.02505340247,1113.98438023218,140.102940667455,240.929055572026,547.853134437683,130.701266123501,249.579061577159,2485.83260149639,763.636903400046,114.808377327688,957.005651729437,741.60013282832,148.952387611211,347.9518530375,745.258296861253,1423.89057114204
8,147.094976114029,5771.9249966217,22492.1760021195,996.675026008437,110.240200260435,NA,447.829169822985,144.003267093195,474.599042405939,966.014024963641,121.975402770953,28.4087326720686,406.397593051064,3432.75033311666,154.775510824721,423.769974441567,363.24545717855,2132.4109229589,139.637665467643,524.809468023641,2174.18156271471,161.898715495546,150.609007465612,407.736661665629,64.2595823170016,NA,183.975072562247,692.366758872915,112.982980273522,NA,1094.46638473532,138.207665163696,NA,916.538969344382,550.859286442547,99.4536712896062,57.8121668799833,32.726873748059,139.987955129447,NA,37.3810117003641,277.169647154828
9,114.690673278072,1491.55642529501,252.407886437638,1035.3874227796,119.722781877319,473.009023772733,1921.23074675754,131.37320587582,656.497057519866,900.650615907621,136.953808424705,NA,488.674955476751,368.118295942123,169.418968686479,221.512669078257,521.068091989978,479.298719879481,122.115359188465,343.739775524867,1224.45197886563,120.862254953896,234.507753106817,1592.40989698228,126.423166518711,NA,NA,NA,192.558232496521,NA,27.7853098884316,142.225082327921,NA,686.451854828784,155.834839349278,123.998680203169,358.364275495786,70.370164111413,144.551589899351,488.975433615611,192.227258270881,5610.70414699977
10,108.169453727346,2001.68433804546,1757.17755851016,377.311050533873,132.644092495533,1001.80914836208,4992.65344997154,164.575103087264,625.31571355736,125.337898135014,188.176103345217,869.089074920452,1865.12275992091,487.255534546057,188.354189398504,136.57260222792,400.411591765007,383.4107527492,116.360327409359,760.182221521984,553.610562603861,124.746597802947,983.587121558495,881.334560772764,151.068032029801,453.040703777986,361.87423407154,764.480699395666,173.876587652932,441.134654280906,137.055540439305,124.28127246095,163.094150743561,387.415879343595,530.864500984243,127.262129591365,890.481458331506,433.052938583426,143.144102916873,320.462392937911,388.90961570867,4193.62196894691
