"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,386.891827238904,720.353210961358,380.949218442922,306.943253819871,146.868283086238,2430.28405053408,500.659739841565,1059.79492515551,13992591.6759853,157.04285630175,43.4603986283504,1105.18386983333,235.296620942899,605.946069765732,411.358223714208,572.454827023958,904.602093727274,394.387646959219,247.009842207583,1710.9491447238,338.469977922865,389.916626178065,1018.67203550347,356.294620620385,339.634401506156,553.584010690582,613.546642244152,955.507472272098,2860.02379478491,630.605865789909,494.885566885002,266.053918594717,2481.96365134856,160.347970859218,396.909779242721,287.367253323087,1107.50448506272,735.339315356609,337.642208767384,2548.43547178546,474.238233288844,421.784264317698
2,382.124353457235,535.947627267752,247.622150132752,359.682269701913,333.494038908869,283.963310733068,416.688627891817,246.745204080452,482.845562737806,397.889890993528,240.463878183614,1545.88380702615,697.238398456549,436.91663506494,214.72006783839,238.928378434662,259.518015282267,237.671875974635,255.340285032671,346.885011188299,276.490079301478,382.396600817727,733.569322688708,231.492408972815,308.300117242294,1097.38681617214,365.690861289163,760.942660165968,2223.79877579849,15930.7698184251,244.37905555494,308.59672309967,412.937182222421,170.057056993392,229.936634070517,270.560904448306,522.786503406454,379.170026048764,238.416632241385,536.732737631903,315.926968243968,287.373683518244
3,162.351544085568,225.15091472606,293.826404898895,128.345328564709,219.306375190236,210.940107547851,183.579640861436,208.938999666248,285.090398543473,207.612863703691,241.422031831057,286.318298092113,243.279482866885,255.691826687199,206.572308385872,189.450846484425,246.643852373315,152.342667025029,226.102591731083,228.941747391743,162.678413107056,178.294531926898,169.320979041779,181.830590534983,174.542529966359,223.961268729228,216.0124746734,139.893844295218,193.364236453092,220.610761096655,195.464119666445,186.426782549243,466.786318330348,139.593605680285,373.623883825496,169.008465006767,199.530349909055,355.485575659762,133.305029100729,57.8197817072845,115.83111983077,114.79686758487
4,181.796466929464,263.513566986965,156.067257052381,122.906898147126,215.133416897603,325.121762916526,205.75924006892,215.622733122668,237.782531007655,247.605706598378,251.878764442576,326.555351842926,232.37409676011,244.037645276048,205.970369978174,235.61417759,221.627388629576,181.134472743149,218.883722911674,280.368590243859,167.963213940568,235.340921223394,228.452469175499,179.744469041899,213.98210601677,270.698618651764,265.99967778522,145.723549762951,217.808150236589,224.315563038145,194.043743276928,196.020014024649,208.409918813729,143.922930636721,105.926237416585,200.664832839382,280.849132361968,211.561573109064,185.840016529373,311.990696013039,131.057815985584,175.799322237215
5,204.899190773433,173.70936451041,197.005876816175,99.7746679759462,241.801391865701,245.758051533058,144.650966288789,186.727058936496,292.224514384922,192.399722211573,250.731636755611,254.587244865245,266.148045829428,215.002188097341,195.659813660369,222.996447731183,220.700964892787,129.114495720791,199.950062410801,235.791129932914,142.818717583877,175.462892240607,213.06247417591,114.724405319791,223.850747161218,104.185428422884,339.59834928236,137.70016048361,203.233976805756,171.636015416407,118.807926965098,177.743144327108,436.411858539086,139.273617489015,128.132088523684,182.331450084294,222.229417629482,218.627065035324,225.34542992628,127.292625773328,857.559497160935,135.613612535348
6,420.21260034874,68.0331444978303,252.43029842668,291.46711402371,145.214998546886,138.386540626649,168.985475742822,133.95020852044,178.240274960009,95.0133755194782,44.1799846376097,8.71654205498813,100.007662660181,107.165542544328,143.757254486648,160.808463180258,89.1734075856903,18.1784043871742,74.7059267988462,192.86880293655,43.2681261953898,1127.54096017073,NA,278.07039073582,148.148439044083,98.9185623767338,NA,111.476481255989,87.485973487134,NA,NA,179.327519497723,79.4882385643516,NA,95.7603079359206,132.380842481534,161.285819056074,NA,70.4015720965282,166.352490918886,76.9743133406301,205.326895246525
7,287.721233806104,579.758937374779,330.859598086064,274.822687201269,351.969281649257,627.036001020978,279.136209141996,262.009063909539,1175.21434167189,321.424217769594,566.50561658375,395.687553336429,647.196215988431,508.657498859512,277.459736553787,478.266063283483,460.206967440848,294.60436270092,286.333200810941,1085.85408178401,361.051715069624,263.407991267924,452.982427281276,233.037560564108,311.096311797414,690.086677830561,227.449884487398,231.543104170542,242.086706944751,4965.13659334677,348.131804781635,334.023916679262,585.37007938957,323.494645664083,364.156200254663,319.281356516667,644.84144721529,314.229466603832,336.589079493485,791.363149211037,425.745295128228,346.090064562169
8,163.711506273325,159.490336273135,136.718183965434,111.921488463529,289.368543952359,NA,158.670496836685,166.164811064051,183.738303135891,153.182832282247,205.858738535395,120.510409471131,164.493785310678,161.441189353504,154.125151842598,155.153390905297,170.400811699061,117.640197032076,154.230709110059,181.959404547245,124.075384246837,80.7043384099586,114.369336018906,57.9244658290084,98.8922613325465,NA,20.7596696185448,111.210074559366,159.980134659703,NA,100.446405026428,137.894425477818,NA,147.174872315788,100.604079257174,331.87834319606,148.221245956427,822.702523119614,189.865419434942,NA,79.647171178811,115.858801585781
9,278.932311853749,249.404232623016,209.166338757874,177.165408087391,197.810408473401,518.035658980421,167.878370979441,179.667353322121,195.835751432168,182.693376975588,248.917327580785,NA,316.78223271834,1522.53741781923,225.965515746475,204.084450422074,269.436767146279,976.08423951505,221.171141577667,362.06357665141,169.644583356645,359.397374365177,504.111169986677,229.053074434876,392.969495162396,NA,NA,NA,161.581404911414,NA,233.8269935781,324.09282094364,NA,168.033937620127,561.192472592234,246.426320755126,277.332641545645,1916.73218689659,354.463914690941,215.817707624807,275.788432189842,248.678338855652
10,269.573191051996,252.002362671117,292.141068664961,225.19327167321,303.958997248785,1425.66154643455,516.355476600779,222.239626129967,2320.81398628403,210.50090059007,326.302787864712,409.682536898471,1677.08253200531,286.799269809252,279.840675160782,728.403080072526,1492.77884335488,322.70575717767,249.191781146265,530.811785996442,341.387769078354,276.752494056022,334.873898358179,225.710654550029,283.273429595273,861.889960382886,269.288833312624,1200.99824764482,248.491296247311,170.146071404466,641.972301046705,313.644643428767,214.430545836713,156.331152201162,186.22797249733,278.124026390367,909.012115788162,222.388227262721,297.879924785687,483.934043466667,214.432988771446,203.761257779563
