"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.0845880581449564,-0.0758566270247504,-0.0751446530910267,-0.0819770003896409,-0.0755667604051675,-0.0702961289145909,-0.0792169212348333,-0.0507036480327806,-0.0779131413808922,-0.0478505079247767,-0.0444495504087638,-0.0959998170724692,-0.0649012164824892,-0.0973550102262589,-0.0761187436895034,-0.0906330166935976,-0.0711810672595934,-0.0841671315825219,-0.0772721631383219,-0.0913033847478256,-0.0574980871836638,-0.0742005149580125,-0.106177368459142,-0.0520742054227403,-0.0836569486586398,-0.0934665048656942,-0.0550289914110781,-0.0852752821470982,-0.107513947777148,-0.0460785480225503,-0.0759439821905186,-0.0781783289490931,-0.0890706765606794,-0.0675288381192713,-0.0925831659056239,-0.0887312055315246,-0.0785256164912759,-0.0854469783009422,-0.0728201599827582,-0.0829421852535097,-0.0855890091274943,-0.086064130232126
2,-0.0730422644898223,-0.0807042548054294,-0.0769032602776972,-0.106746990812806,-0.0917523040271123,-0.074801198068088,-0.0730746744090537,-0.062294930053352,-0.0914980283117434,-0.0804263568893119,-0.0705576332707095,-0.104164163007073,-0.0741293679256862,-0.0981968421232932,-0.0737812593134166,-0.0890270877678217,-0.0658931709510971,-0.0701433675243189,-0.0574155289577705,-0.0758627201818198,-0.0720626138912182,-0.0753914382747467,-0.0826241128471099,-0.0565484626604651,-0.0731320276513349,-0.0902052950341808,-0.0686288624380507,-0.0680037162835604,-0.0725711706691782,-0.105131705762686,-0.0810684677586287,-0.0768840921928226,-0.0727888899099116,-0.0817244615047562,-0.09516821777221,-0.088504644397654,-0.0974024306913865,-0.0847971819837254,-0.0826714538921182,-0.0832474472108437,-0.0819777607726653,-0.0651213360236895
3,-0.0698541196419288,-0.0694507712834659,-0.0402882844549049,-0.0637746489351948,-0.0499526722892907,-0.0762515036650963,-0.0604078356264879,-0.0618937918002213,-0.0606679623200454,-0.0612428430095239,-0.0480568901108496,-0.0666571715747084,-0.0657849764818579,-0.0759029315550904,-0.0388996509712764,-0.0712625567608539,-0.0657738800130291,-0.0596114152563541,-0.0586750352603344,-0.0594686070881385,-0.0526287727773091,-0.061478610958645,-0.0980041821005053,-0.0406644440000186,-0.0517114572846732,-0.0841458939982519,-0.0463145240236415,-0.0782731954155364,-0.0796586301796547,-0.0631850658252831,-0.0716909016458463,-0.0333976973758074,-0.0709318798215688,-0.101798444782059,-0.0696236560367495,-0.0688529114615505,-0.034977749429623,-0.0217357164937959,-0.102813415661583,-0.106284232089238,-0.121662841615891,-0.0670906839474638
4,-0.0615788073805836,-0.0735521768058356,-0.0972637770327645,-0.0756816657441645,-0.0477132402088091,-0.0700380089084401,-0.0737328846946842,-0.0584686724894419,-0.0545550085246756,-0.0702019952082131,-0.0544685644106995,-0.0773575834237892,-0.0656065685957266,-0.0743853152369035,-0.0463859552342316,-0.0556620421627359,-0.0540476124629445,-0.0654015068589623,-0.0599766324229411,-0.0621372200671123,-0.0518152790672453,-0.0829795241669011,-0.11781013721744,-0.0483323161671783,-0.0734187247489065,-0.0878316463261358,-0.0866727535795894,-0.0595217670862279,-0.0589736752101137,-0.0705577829530312,-0.0772232247985587,-0.0486712451758108,-0.0602258882160021,-0.0860114234415769,-0.0461546361129454,-0.0585794542616798,-0.0501045998435914,-0.0161747220254207,-0.0526009789225447,-0.0852013719424684,-0.0509417450278546,-0.0481259892838593
5,-0.051921281911227,-0.0752638111702702,-0.0695785135678485,-0.0544594631121209,-0.0586192760587159,-0.0680824267119383,-0.0614904863728352,-0.0554115384809979,-0.0571768726011093,-0.060591496599521,-0.0553047778738609,-0.081948028276103,-0.0696030650136895,-0.0689376919714362,-0.047964613739516,-0.0567553351061264,-0.0529145337569842,-0.0536899847556499,-0.0531500163966469,-0.0545810380374556,-0.0438111090562245,-0.0414135054311055,-0.083396978831641,-0.0146639366695087,-0.0644964495489968,-0.0643014390657654,-0.0588411001906944,-0.0740299453862306,-0.0750850320712879,-0.0981572433508978,-0.0562502414495812,-0.0562891562318716,-0.0649115956224899,-0.0467803835196205,-0.0761561538482342,-0.0628247499282841,-0.00126877197482614,-0.0444423930011561,-0.117880100180139,-0.0465695151179897,-0.0690569276534917,-0.0377093084595755
6,-0.0806847386901617,-0.0736097070218094,-0.0705892165733332,0.268402262089914,-0.0121468492482448,-0.0533165288182147,-0.0949380040124977,-0.0218759537421256,-0.0898314838505217,-0.00582308570359862,-0.023399363426374,-0.109281463010914,-0.0532172015284142,-0.0387126393637052,-0.0645764023833977,-0.0583222752829425,-0.0829958582528465,0.112213434503811,0.0615451944708523,-0.0499135310412163,-0.0168455501263811,-0.0607626178368994,NA,-0.061697695387062,-0.0596583824132864,-0.019811884061029,-0.0950436541285045,-0.00956103912508572,-0.0396661130660877,NA,NA,-0.0462086724362178,-0.167159483069498,NA,-0.0884825817556402,-0.0756735703751164,-0.0588784660573839,-0.189688776366403,-0.134353126120032,0.00355762797900581,-0.0728174973355066,-0.0139086694319462
7,-0.0629879035899964,-0.0803746382201898,-0.0799966256192139,-0.0562238306826401,-0.0685280758209736,-0.089661216199582,-0.0589030516756252,-0.0739423584207816,-0.0837265157131371,-0.0851499852700162,-0.0711999269186062,-0.0936717618654394,-0.0923142125623424,-0.0777517208279215,-0.0838204268901279,-0.0864720721844407,-0.0743251429367573,-0.0687221354639582,-0.0453715595742467,-0.0769696754867591,-0.0713811777446078,-0.0785126330887141,-0.107280666700762,-0.0584088571712372,-0.0701372987351874,-0.0795313035486097,-0.0870679956352257,-0.0721624594077607,-0.108125666061297,-0.0989239693161809,-0.0970163555726617,-0.0791932455103382,-0.0870055609418468,-0.0798577673781847,-0.0883487859925367,-0.0831863110862002,-0.0935436711990184,-0.0845624720269843,-0.0802343999221721,-0.0845904717661554,-0.0827259814055574,-0.0843238099179763
8,-0.0414806183892253,-0.0188156034274553,-0.0927301239712761,-0.06232219407907,-0.0270048547173489,-0.015848435105307,-0.02534230523126,-0.0572920427428394,-0.0380534450715754,-0.0416576500023189,-0.0287337896680424,-0.052674797161665,-0.0625398988319448,-0.0364274489245137,-0.0369498091892341,-0.0510103248618938,-0.0370191713540475,-0.0492230996608132,-0.0280724577639468,-0.0590684968679491,-0.0439580324443464,-0.0377089979727841,-0.0337222137309434,0.000751601797155738,-0.10655231478882,-0.0862708172335954,-0.026922862573683,-0.0734644285655643,-0.038462065200022,-0.196650564180449,-0.14319563496136,-0.0210260413174644,-0.0383852863672284,-0.0291989078683763,-0.113055422609069,-0.0334707704049153,-0.0203683649839724,-0.0387551987748776,-0.0912830217536984,NA,0.158822543349364,-0.0976022667284144
9,-0.0521951155616743,-0.0651269816528978,-0.0534228328305715,-0.0806730346869697,-0.0705089739184658,-0.095476223884169,-0.0617497086161225,-0.0714966607536385,-0.079778115254163,-0.0862547437274974,-0.0929291447418741,-0.0904131900659259,-0.00818247381584228,-0.0848731633330531,-0.0605813193461587,-0.0487428660928875,-0.0514775269207284,-0.128002427517508,-0.0577057664279317,-0.0804944947568453,-0.073457803535252,-0.0739460039719361,-0.111644712024417,-0.0813689879596738,-0.113704927548912,-0.193992669496148,NA,NA,-0.0642988754071382,-0.014467183237447,-0.135372782230585,-0.0693761939394597,-0.108806274954883,0.0836184638572169,-0.0496366439714504,-0.0730007866470802,-0.0917402097705043,-0.0295081825231375,-0.0866996259558995,-0.0300310570629567,-0.0793832745801647,-0.0321076200482097
10,-0.062353699463844,-0.0797033941392076,-0.0506390418287121,-0.066532403757038,-0.0660826434661322,-0.105014913103296,-0.0797959758363747,-0.065101934130502,-0.0754466918626703,-0.11265086428714,-0.0444457513857079,-0.0209945529068982,-0.064562185861483,-0.0677407266848386,-0.061224370495761,-0.0644600861973932,-0.0181540218031941,-0.0889129377103778,-0.0683747446088809,-0.088597557601818,-0.0463072722172077,-0.0704048436326426,-0.0679770274299104,-0.0957452993152425,-0.0798940461804467,-0.0225231394365741,-0.0733275666362122,-0.0628129119691659,-0.102210436340158,-0.062616569996079,-0.129183150084177,-0.0706856962303997,-0.0775452699457879,-0.119973238350982,-0.0684995445036408,-0.074799053731796,-0.0777198319052898,-0.0710427134013451,-0.0760272418587999,-0.0874232871034763,-0.0786547897423678,-0.0789014570747497
