"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,-0.0968788349250381,-0.0923057800819679,-0.0770751063029683,-0.0552381658601608,-0.110273915615256,-0.0909529423476393,-0.0564463164366931,-0.0875526577909238,-0.0900162897098681,-0.0750018403301554,-0.159338018765705,-0.0766222656648018,-0.0638259237471229,-0.0797998018813273,-0.10225660462128,-0.083841227305337,-0.0858256641077435,-0.055052726719467,-0.0726492970520637,-0.089353989174199,-0.0883907787371075,-0.0695903586727589,-0.098177008306721,-0.0548518456062328,-0.0944915991928553,-0.0748880682214425,-0.0688940661877015,-0.0966910061628311,-0.114420672028735,-0.0837492347897646,-0.10600624188769,-0.0739502023414286,-0.0953774519265735,-0.080350434169863,-0.0742457449741011,-0.079526731837079,-0.0881372862997516,-0.0836486841170482,-0.0865860320929941,-0.0862748137439509,-0.0850887343133607,-0.0838986601264752
2,-0.0396623357063346,-0.056773722253578,-0.0657233832765021,-0.0482992950711059,-0.0455026114508148,-0.0810079575316477,-0.0415164078218585,-0.0358284364972589,-0.0757202915957109,-0.0491467669343658,-0.0182134020540069,-0.0727123356581891,-0.0496897571238038,-0.0482778650770263,-0.0408345753155539,-0.0608051099055975,-0.0590716447996728,-0.0623109867253243,-0.0326765970992346,-0.0740575816136511,-0.038620091220854,-0.0626570486540461,-0.0931751996675341,-0.0280082732032923,-0.06991153363609,-0.0598867813401919,-0.101686988076469,-0.0769581998343468,-0.0478797790354945,-0.0855778796264435,-0.0573839243734371,-0.0623196895886941,-0.0686307422016849,-0.1010353785019,-0.0641417686948084,-0.0598816323341807,-0.0649154138719835,-0.0580898665190275,-0.0644733250114069,-0.0633985026161019,-0.0549890690330248,-0.0568551015193514
3,-0.0529354733377007,-0.060832337588255,-0.0472928931097856,-0.0347820747606797,-0.0571496301161334,-0.0652414404538232,-0.0108357513946284,-0.0707949793157414,-0.0592072691477314,-0.0112812173379718,-0.0919016592890386,-0.056705365750843,-0.051944650662295,-0.0584956004686672,-0.0449566368016009,-0.0581492133623866,-0.0541731616923679,-0.0342444451852416,-0.0379908571361279,-0.0471128396006781,-0.0285576219542188,-0.0151288340952671,-0.0493035372024181,-0.0239386045986203,-0.109532007568338,-0.123686940772287,-0.0567226864127328,-0.0445826125578633,-0.0808257740315593,-0.0420264676037494,-0.0565915723822476,-0.034590036697336,-0.128965336827366,-0.058268023287994,-0.0615233970190447,-0.0426833771124121,-0.0916205826124831,-0.123313153202005,-0.0902065554739166,-0.120622054260496,-0.115352549391511,-0.0173558894433035
4,-0.0492041951037447,-0.0690680790453777,-0.0258792907766544,-0.0792593620152439,-0.066476659642943,-0.0617980748798078,-0.0469903193215933,-0.0730126068200563,-0.0710427007108613,-0.0294704096035588,-0.0732927081856915,-0.0682961725185773,-0.0584150919460964,-0.0524837553819548,-0.0439407406131148,-0.0638715236885056,-0.0773414787657615,-0.040882058459086,-0.0516485154052537,-0.0577503169072275,-0.0331819907719448,-0.0505935033156776,-0.0415312628973463,-0.00101562031779927,-0.0660547608264731,-0.0673467835390933,-0.0935853727154916,-0.0468790973910197,-0.069784129674291,-0.060253808599109,-0.0647341500301492,-0.0602239346875494,-0.0833592249601512,-0.0602530113807412,-0.0627821883340965,-0.0455860333500335,-0.0796213172433282,-0.0621847826452327,-0.0583308246078114,-0.063020080931741,-0.093866700564778,-0.0664671291518216
5,-0.0508429259083477,-0.0855078571639722,-0.0803470883784008,-0.0310479135448513,-0.058917934080983,-0.0544522152660155,-0.0176621525635559,-0.0699497807617711,-0.0712643641507151,-0.0261277343365793,-0.0743730140328832,-0.0752040187215369,-0.055997156172669,-0.04688534301345,-0.0382695460565196,-0.0510550784234476,-0.0581911874434163,-0.0298374302941663,-0.0424583619083227,-0.0579093688606223,-0.0376708121108992,-0.014459700656954,-0.0629573192708908,-0.030204641429131,-0.085713656450918,-0.046800097644629,-0.105342380021796,-0.0424568981801505,-0.0552739395855065,-0.0611777919237716,-0.0716527989349458,-0.054997311788982,-0.0504691480119488,-0.0544449926450067,-0.0623622936097628,-0.0390177960542272,-0.0942666979798882,-0.0979987426836687,-0.0644531984147069,-0.0845244094181684,-0.0681315008663873,-0.048373002785949
6,-0.116226934569946,-0.0270701885823939,-0.168968448201982,-0.0267614819329202,-0.0664616486033133,-0.0177018959301793,-0.0562811191175344,-0.0940316999160649,-0.0557311336337837,-0.109715890538118,-0.0976063658684237,-0.136118275194133,-0.148742457012934,-0.0278149437356474,-0.0911016473954079,0.107482790691162,-0.0447564897372637,-0.17025349748575,-0.0849087945657496,-0.0929730200938074,0.141240618607845,-0.115466667063039,NA,-0.0565025104995607,-0.109729901910586,-0.175397662613213,0.037381579061615,-0.0994925846749295,-0.012605135760254,NA,NA,-0.0775636677934236,-0.0968548524671404,NA,-0.0795219012620709,-0.0251342177664419,-0.160176100452119,-0.0299662741115921,-0.096340034521765,-0.0667115998580496,-0.108220546876885,-0.138691259372362
7,-0.0690670722148167,-0.0641755307935185,-0.0661942366809604,-0.0310987976351976,-0.0546301505509909,-0.0649618614905166,-0.0473177279627069,-0.0535168082695997,-0.0712228060158779,-0.0342378163659915,-0.0231581485471535,-0.0949286099240013,-0.061225709334614,-0.0720307614199387,-0.0680814514568642,-0.062271295143394,-0.0511136857005772,-0.057235845184188,-0.0413750993046145,-0.0681540780495706,-0.0540400268037315,-0.0529296640646467,-0.116999729294516,-0.0349823675505171,-0.0717340814218362,-0.0667511490504617,-0.0755213068576321,-0.0576796072387556,-0.109255487689312,-0.0511080823369647,-0.0922992295276566,-0.0660419962372008,-0.0758475631367269,-0.0857965054411355,-0.0588300507382072,-0.0524109054159194,-0.0745472351009326,-0.0667649650441129,-0.0737229517675058,-0.0728914206176496,-0.0693607666471372,-0.0619214675720564
8,-0.0358557206400932,-0.0931216377927472,-0.0458581126477298,-0.0182922488443713,0.0814609923986649,-0.0180596831158238,0.00873227168921605,-0.0423680110186144,-0.0960728765728976,-0.0136858467560667,-0.102974209612305,0.0563121671690248,0.000103308260257065,-0.0521178840258485,-0.0282861062472626,-0.0298555193766863,-0.0418095840216061,-0.0113532823621458,-0.036033589622965,-0.0539231933084443,0.00469857608115522,0.0391698713485638,0.157089725099667,-0.111125532513153,-0.0507780792548283,0.0731934704935489,0.0119135310845585,-0.0428344417820916,0.00781908303581767,0.220904799245782,-0.156719556656774,-0.0269336349615814,-0.160699845084387,-0.0622263330923624,-0.0736588839155859,-0.0465928130936079,0.0457214430180998,-0.129344014368526,-0.111528741358091,NA,-0.0634250058944909,-0.010948285041908
9,-0.0790944540324851,-0.0801252806558439,-0.103754010026628,-0.0542365801753409,-0.083530838828749,-0.0721965100203445,-0.0931194423829553,-0.0884275077409155,-0.0846270489543304,-0.0623351303635835,-0.0798769607127952,0.29413573036597,-0.127552302589573,-0.106003348888746,-0.075793550030979,-0.0735471538055715,-0.0659710272952615,-0.139171227507647,-0.0838584579925435,-0.0797536336166457,-0.073679635560358,-0.0894296157110509,-0.0881966108337985,-0.0804958150859432,-0.11486085340041,0.160454169869474,NA,NA,-0.103092577400665,-0.132120783462442,-0.0642448686260973,-0.0762478486098611,0.026491282178862,-0.118774809591297,-0.0568059058247233,-0.0740246451053549,-0.122696682755397,-0.130652915832753,-0.0799281602392981,-0.0860979355967912,-0.110411220262958,-0.0662478756460989
10,-0.0785818707242482,-0.0880176473172484,-0.0861158103090842,-0.045783018114945,-0.089904492711517,-0.0916038296326578,-0.0653457365952756,-0.0880509979284134,-0.0864122664560226,-0.0167681615908717,-0.0989229946629765,-0.0620543779702028,-0.102625192074869,-0.0490714787251266,-0.0772437265903203,-0.146884229045763,-0.056015935280067,-0.109573904302054,-0.0849785781127868,-0.0790859048626799,-0.0978889949564294,-0.0735769053528913,-0.148158558663575,-0.0700483207714261,-0.0790516273218664,-0.0744887822607533,-0.0964317562326172,-0.0978194833021006,-0.0847476694210597,-0.0676470987982073,-0.0486071672769912,-0.0781622915562998,-0.0947977040037819,-0.0303586476424155,-0.097896582008105,-0.0793581597173425,-0.0958601274854498,-0.114448219541884,-0.0861211044719454,-0.0879293927098156,-0.0919873801383836,-0.0706722532116141
