"name","BPD19H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","BPD19H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD00H06_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PBD03H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H03_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD00H06_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD01H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD03H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB078_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BB231_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BC641_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave","PPD14H00_BD620_CD3-CD8+.fcs.density.fcs.cluster.fcs.anno.Rsave"
1,10704,12331,15593.5,5688,10843,9568,7891,16176,16118,5959,8303,7697,7407,7458,19750,22690,32655,9172.5,12832,19618,11815,6118,4901,5537,7101,4660,3719,4457,5412,5506,3360,7798,5851,3450,4110,9387,10270,4592,16237,13349,15311,10498
2,10704,12331,15592,5688,10843,9567,7891,16175,16117,5959,8303,7697,7406,7458,19749,22691,32660,9172.5,12832,19617,11815,6118,4901,5537,7101,4660,3719,4457,5412,5506,3360,7798,5851,3450,4110,9387,10271,4592,16239,13349,15312,10497
3,10704,12331,15537.5,5688,10843,9565,7891,16174,16116,5958.5,8303,7695,7407,7458,19750,22691,32665,9173,12831,19612,11815,6118,4901,5537,7101,4659,3719,4457,5412,5505,3360,7799,5850,3450,4110,9387,10271.5,4592,16241,13345,15304,10497
4,10703,12331,15560,5688,10843,9565,7891,16173,16113,5958,8303,7695,7407,7458,19749,22691,32664,9173,12831,19611,11815,6118,4901,5537,7101,4659,3719,4457,5412,5505,3359,7799,5849.5,3450,4110,9387,10267,4592,16236,13346,15289.5,10497
5,10703,12331,15523,5688,10843,9565,7891,16173,16116,5958,8303,7691,7406,7458,19750,22690,32664,9173,12831,19609,11815,6118,4901,5537,7101,4658,3718,4457,5412,5506,3360,7799,5849,3450,4110,9387,10270,4592,16237.5,13344,15297.5,10497
6,10704,12330,15194,5688,10824,9566,7891,16055,16114,5956,8302,7691.5,7405,7458,19749,22664.5,32651.5,9173,12828,19614,11814,6118,NA,5537,7101,4660,3684,4457,5412,NA,NA,7799,5519.5,NA,4110,9387,10270.5,4592,16234,13347.5,15284,10498
7,10703,12331,15589,5688,10843,9567,7891,16173,16116,5959,8302,7697,7406,7458,19748,22691,32656,9172,12831,19617,11815,6118,4901,5537,7101,4660,3718,4457,5412,5506,3360,7798,5851,3450,4110,9386,10270,4592,16237,13349,15312,10495
8,10704,12331.5,15512,5688,10843,9560,7891,16174,16113.5,5959,8303,7694,7405,7458,19750,22689,32662,9173,12831,19607,11815,6118,4901,5537,7101,4659,3718,4457,5412,5505,3348,7799,5837,3450,4110,9387,10256,4592,16235,NA,15257.5,10497
9,10703,12332,15593,5688,10843,9568,7891,16175,16118,5959,8303,7666,7407,7458,19749,22690,32663,9173,12832,19618,11815,6118,4901,5537,7101,4660,NA,NA,5412,5505,3357,7798,5851,3450,4110,9387,10270,4592,16233,13347.5,15308,10497
10,10704,12331,15595,5688,10843,9568,7891,16176,16118,5959,8303,7697,7404.5,7458,19750,22690,32658,9173,12832,19618,11815,6118,4901,5537,7101,4660,3719,4457,5412,5506,3360,7798,5851,3450,4110,9387,10271,4592,16236,13349,15311,10497
11,10704,12331,15581.5,5688,10843,9565,7891,16173,16113,5958,8303,7696,7407,7458,19750,22691,32664,9173,12831,19609,11815,6118,4901,5537,7101,4659,3719,4457,5412,5506,3360,7799,5851,3450,4110,9387,10271,4592,16241,13348,15307,10498
12,10704,12331,15568,5688,10843,9565,7891,16173,16116,5958,8303,7695,7407,7458,19750,22691,32665,9173,12831,19611,11815,6118,4901,5537,7101,4659,3719,4457,5412,5506,3360,7799,5851,3450,4110,9387,10272,4592,16241,13348,15305,10498
13,10704,12331,15542,5688,10843,9565,7891,16174,16107,5958,8288.5,7694,7406,7458,19750,22689,32663,9173,12831,19607,11815,6118,4901,5537,7101,4656,3719,4457,5412,5506,3359,7799,5830,3450,4110,9387,10272,4592,16240,13349,15270,10497.5
14,10704,12331,15590,5688,10843,9567,7891,16175,16117,5959,8303,7697,7406,7458,19749,22691,32661,9172,12832,19617,11815,6118,4901,5537,7101,4660,3719,4457,5412,5506,3360,7798,5851,3450,4110,9387,10271,4592,16237,13349,15312,10497
